001-TIME,002-Massflow-Spec-001-SF-001,003-Pressure-Spec-001-SF-001,004-Massflow-Spec-001-SF-002,005-Pressure-Spec-001-SF-002
0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.1000000000000000E-005,0.1407551448000000E-012,0.2490906382378177E+001,0.5366655199999914E-015,0.2432101393652234E+001
0.2000000000000000E-005,0.7561138959999994E-013,0.2590032809060696E+001,-.1235659076000000E-013,0.2454502334258208E+001
0.3000000000000000E-005,0.5843277944000005E-013,0.2733879858690370E+001,-.2770469328000001E-013,0.2475825509865952E+001
0.4000000000000000E-005,0.5059799419999997E-013,0.2927629921620722E+001,-.3500546976000000E-013,0.2481023695772101E+001
0.5000000000000000E-005,0.4765164736000001E-013,0.3125960280547306E+001,-.4000017856000001E-013,0.2486569671222123E+001
0.6000000000000001E-005,0.4443696776000004E-013,0.3318983684942288E+001,-.4170050495999999E-013,0.2494265145572775E+001
0.7000000000000002E-005,0.4381528591999997E-013,0.3510783739326978E+001,-.4369573172000002E-013,0.2507254002553679E+001
0.8000000000000001E-005,0.4449275971999997E-013,0.3689320427924668E+001,-.4467341940000001E-013,0.2517701470270561E+001
0.9000000000000002E-005,0.4367182087999999E-013,0.3849659542467866E+001,-.4423771075999998E-013,0.2522248198463247E+001
0.1000000000000000E-004,0.4233281384000012E-013,0.4009700372013185E+001,-.4465747884000012E-013,0.2530756512894340E+001
0.1100000000000000E-004,0.4313811931816325E-013,0.4142587645480774E+001,                    NaN,0.2534356564300231E+001
0.1200000000000000E-004,0.4328393392000002E-013,0.4258700719275140E+001,-.4460700040000000E-013,0.2542594719009637E+001
0.1300000000000000E-004,0.4454855168000001E-013,0.4370880745492689E+001,-.4433069735999999E-013,0.2527021615812964E+001
0.1400000000000000E-004,0.4303685524000002E-013,0.4462654070534977E+001,-.4346990712000001E-013,0.2532323716149372E+001
0.1500000000000000E-004,0.4423771076000000E-013,0.4558279688327426E+001,-.4450604352000000E-013,0.2530781622725552E+001
0.1600000000000000E-004,0.4259051955999997E-013,0.4624844128004400E+001,-.4507459015999999E-013,0.2536891403647415E+001
0.1700000000000000E-004,0.4470530052000000E-013,0.4678660029754859E+001,-.4437851904000000E-013,0.2536364846958991E+001
0.1800000000000000E-004,0.4252410056000001E-013,0.4735917313072325E+001,-.4508256044000002E-013,0.2542062252583417E+001
0.1899999999999999E-004,0.4480360063999998E-013,0.4778029276902938E+001,-.4551029879999999E-013,0.2545212537963385E+001
0.2000000000000000E-004,0.4193695659999926E-013,0.4813073637422776E+001,-.4526322011999920E-013,0.2535682115332173E+001
0.2100000000000000E-004,0.4427756215999996E-013,0.4834928721981281E+001,-.4502942523999999E-013,0.2537207740932983E+001
0.2200000000000000E-004,0.4203259996000002E-013,0.4849129074786056E+001,-.4416863500000000E-013,0.2551604627248110E+001
0.2299999999999999E-004,0.4501348467999997E-013,0.4874941902327376E+001,-.4476109248000000E-013,0.2546905731572128E+001
0.2399999999999999E-004,0.4239657608000002E-013,0.4891913016104239E+001,-.4390561576000001E-013,0.2531829368679717E+001
0.2499999999999999E-004,0.4396937799999999E-013,0.4904955448039130E+001,-.4414472416000000E-013,0.2535768737378268E+001
0.2599999999999998E-004,0.4500285764000002E-013,0.4916501352048824E+001,-.4348319092000000E-013,0.2527287747757919E+001
0.2699999999999998E-004,0.4678288683999997E-013,0.4931845557781502E+001,-.4483548176000001E-013,0.2532055330016479E+001
0.2799999999999998E-004,0.4382325620000000E-013,0.4923289626756192E+001,-.4382325620000000E-013,0.2523135357397364E+001
0.2899999999999998E-004,0.4339817459999999E-013,0.4929993872464354E+001,-.4342474220000002E-013,0.2517473351245646E+001
0.3000000000000000E-004,0.4298106327999751E-013,0.4942654931517663E+001,-.4380997239999745E-013,0.2515154069471571E+001
0.3100000000000000E-004,0.4664739208000001E-013,0.4949959321726838E+001,-.4487533316000001E-013,0.2508224049938256E+001
0.3200000000000000E-004,0.4303685523999999E-013,0.4961971425609685E+001,-.4589552900000000E-013,0.2505386057988473E+001
0.3300000000000000E-004,0.4530307151999995E-013,0.4982368490599124E+001,-.4564579356000001E-013,0.2502293858993603E+001
0.3399999999999999E-004,0.4463622475999998E-013,0.4986772237012213E+001,-.4440508664000000E-013,0.2504270993077120E+001
0.3499999999999999E-004,0.4403314024000002E-013,0.4992578026636430E+001,-.4574409368000001E-013,0.2506529154978744E+001
0.3599999999999999E-004,0.4768618523999996E-013,0.5007250674490085E+001,-.4349381796000000E-013,0.2502542158220145E+001
0.3699999999999998E-004,0.4686524639999998E-013,0.4989217662064908E+001,-.4462559772000001E-013,0.2500423292097051E+001
0.3799999999999998E-004,0.4297840652000000E-013,0.4989744980083459E+001,-.4483016824000000E-013,0.2499974138029126E+001
0.3899999999999998E-004,0.4538277432000000E-013,0.4994232858795607E+001,-.4472655460000001E-013,0.2507952475041070E+001
0.4000000000000000E-004,0.4342474219999772E-013,0.5008074900601144E+001,-.4366119383999775E-013,0.2514882427519038E+001
0.4100000000000000E-004,0.4658628659999996E-013,0.5000693168248506E+001,-.4476109248000001E-013,0.2510032105507848E+001
0.4200000000000000E-004,0.4587693167999997E-013,0.5012942943000840E+001,-.4368776144000000E-013,0.2505637955488610E+001
0.4299999999999999E-004,0.4359477484000000E-013,0.4995621797199504E+001,-.4404642404000001E-013,0.2517036749184847E+001
0.4399999999999999E-004,0.4369838847999999E-013,0.4995678022796347E+001,-.4477437628000002E-013,0.2513648991944137E+001
0.4499999999999999E-004,0.4410487276000000E-013,0.5014420127032785E+001,-.4473186812000001E-013,0.2508885093847573E+001
0.4599999999999999E-004,0.4566704764000000E-013,0.5020934185067342E+001,-.4454855168000000E-013,0.2517454085507660E+001
