001-TIME,002-Massflow-Spec-001-SF-001,003-Pressure-Spec-001-SF-001,004-Massflow-Spec-001-SF-002,005-Pressure-Spec-001-SF-002
0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.5000000000000000E-005,0.7275484124799999E-013,0.2304994726639544E+001,-.2191720729600000E-013,0.2656966335989959E+001
0.1000000000000000E-004,0.4544334844800011E-013,0.4949660829542395E+001,-.4267181641600012E-013,0.2734585668114748E+001
0.1500000000000000E-004,0.4325842902400000E-013,0.5148645716100196E+001,-.4456555494399999E-013,0.2702634896367288E+001
0.2000000000000000E-004,0.4392368172799927E-013,0.5045000015180033E+001,-.4503527011199922E-013,0.2452395415772349E+001
0.2499999999999999E-004,0.4248265510400000E-013,0.5031663993922057E+001,-.4447628780800000E-013,0.2608604989997243E+001
0.3000000000000000E-004,0.4464419503999741E-013,0.4895827472057147E+001,-.4511391020799738E-013,0.2493630742367481E+001
0.3499999999999999E-004,0.4645716806400000E-013,0.5025552778694175E+001,-.4495450460800000E-013,0.2463565311175626E+001
0.4000000000000000E-004,0.4284184905599780E-013,0.5007078491993546E+001,-.4566864169599765E-013,0.2462903245527397E+001
0.4499999999999999E-004,0.4644866643200002E-013,0.5094983506369541E+001,-.4395343744000000E-013,0.2428584439763453E+001
0.5000000000000000E-004,0.4505652419199768E-013,0.5038708206558857E+001,-.4561125567999765E-013,0.2584083888908722E+001
0.5499999999999999E-004,0.4365375491199999E-013,0.5038708206558857E+001,-.4349009849599999E-013,0.2584083888908722E+001
0.6000000000000000E-004,0.4149434038399786E-013,0.4976432903989231E+001,-.4296618542399780E-013,0.2629462215338533E+001
