001-TIME,002-Massflow-Spec-001-SF-001,003-Pressure-Spec-001-SF-001,004-Massflow-Spec-001-SF-002,005-Pressure-Spec-001-SF-002
0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.5000000000000000E-005,0.7308853030400000E-013,0.3047418308502871E+001,-.2355377145600001E-013,0.2608331042460211E+001
0.1000000000000000E-004,0.4280571712000012E-013,0.3939825955010785E+001,-.4172813526400011E-013,0.2596176961367860E+001
0.1500000000000000E-004,0.4268669427200002E-013,0.4478825364269253E+001,-.4307564393600000E-013,0.2584401102818590E+001
0.2000000000000000E-004,0.4551348691199922E-013,0.4795084294395991E+001,-.4337532646399924E-013,0.2590852966040118E+001
0.2499999999999999E-004,0.4275683273600000E-013,0.5009594385883915E+001,-.4467607616000000E-013,0.2569893185825930E+001
0.3000000000000000E-004,0.4051877811199767E-013,0.4963360726123262E+001,-.4434663791999743E-013,0.2535185590191635E+001
0.3499999999999999E-004,0.4307776934400001E-013,0.4942743606514933E+001,-.4202569238399999E-013,0.2557125395080740E+001
0.4000000000000000E-004,0.4397681692799774E-013,0.4846822113599464E+001,-.4245502479999781E-013,0.2541189057320661E+001
0.4499999999999999E-004,0.4598957830400003E-013,0.4884181334636695E+001,-.4553474099200000E-013,0.2510860761072681E+001
0.5000000000000000E-004,0.4325205279999779E-013,0.4967581926418702E+001,-.4645504265599761E-013,0.2500421596090820E+001
0.5499999999999999E-004,0.4394812391999997E-013,0.4975527200561242E+001,-.4454217545600000E-013,0.2499362406502649E+001
0.6000000000000000E-004,0.4587161815999762E-013,0.4973044248261038E+001,-.4489924399999769E-013,0.2520570904190151E+001
