001-TIME,002-Charge,003-Charge-absError,004-Charge-relError
0.6272372175173261E-011,0.1802448596250002E-005,0.6839791049078475E-019,0.3794721837454301E-013
0.1254474435034652E-010,0.1802448596250002E-005,0.6839791049078475E-019,0.3794721837454301E-013
0.1881711652551978E-010,0.1802448596250002E-005,0.6839791049078475E-019,0.3794721837454301E-013
0.2508948870069304E-010,0.1802448596250002E-005,0.6839791049078475E-019,0.3794721837454301E-013
0.3136186087586631E-010,0.1802448596250002E-005,0.6839791049078475E-019,0.3794721837454301E-013
0.3763423305103957E-010,0.1802448596250002E-005,0.6839791049078475E-019,0.3794721837454301E-013
0.4390660522621283E-010,0.1802448596250002E-005,0.6839791049078475E-019,0.3794721837454301E-013
0.5017897740138609E-010,0.1802448596250002E-005,0.6839791049078475E-019,0.3794721837454301E-013
0.5645134957655935E-010,0.1802448596250002E-005,0.6839791049078475E-019,0.3794721837454301E-013
0.6272372175173262E-010,0.1802448596250002E-005,0.6839791049078475E-019,0.3794721837454301E-013
0.6899609392690588E-010,0.1802448596250002E-005,0.6839791049078475E-019,0.3794721837454301E-013
0.7526846610207914E-010,0.1802448596250002E-005,0.6839791049078475E-019,0.3794721837454301E-013
0.8154083827725240E-010,0.1802448596250002E-005,0.6839791049078475E-019,0.3794721837454301E-013
0.8781321045242566E-010,0.1802448596250002E-005,0.6839791049078475E-019,0.3794721837454301E-013
0.9408558262759892E-010,0.1802448596250002E-005,0.6839791049078475E-019,0.3794721837454301E-013
0.1000000000000000E-009,0.1802448596250002E-005,0.6839791049078475E-019,0.3794721837454301E-013
