001-TIME,002-NumDens-Spec-001,003-NumDens-Spec-002,004-NumDens-Spec-003,005-NumDens-Spec-004,006-NumDens-Spec-005,007-NumDens-Spec-006,008-NumDens-Spec-007,009-NumDens-Spec-008,010-NumDens-Spec-009,011-NumDens-Spec-010,012-NumDens-Spec-011,013-NumDens-Spec-012,014-NumDens-Spec-013,015-NumDens-Spec-014,016-NumDens-Spec-015,017-NumDens-Spec-016,018-NumDens-Spec-017,019-NumDens-Spec-018,020-NumDens-Spec-019
0.0000000000000000E+000,0.5000032833705771E+022,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.4999932730944280E+022,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.9999965564650050E+022
0.9999999999999989E-007,0.4999432217136826E+022,0.4004110459633443E+018,0.2002055229816721E+018,0.0000000000000000E+000,0.4921652371458445E+022,0.0000000000000000E+000,0.1001027614908361E+018,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1565607189716676E+021,0.0000000000000000E+000,0.6006165689450163E+018,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1007894664346632E+023
0.1999999999999995E-006,0.4998931703329371E+022,0.5005138074541803E+018,0.3003082844725082E+018,0.2002055229816721E+018,0.4839568107035961E+022,0.0000000000000000E+000,0.9009248534175246E+018,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.3205290422936570E+021,0.1001027614908361E+018,0.3003082844725082E+018,0.1001027614908361E+018,0.1001027614908361E+018,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1016153142169626E+023
0.3000000000000007E-006,0.4997430161907009E+022,0.1001027614908361E+019,0.8008220919266885E+018,0.7007193304358524E+018,0.4766192782863177E+022,0.0000000000000000E+000,0.2002055229816721E+019,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.4666790740702777E+021,0.1001027614908361E+018,0.1101130376399197E+019,0.4004110459633443E+018,0.4004110459633443E+018,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1023680869833737E+023
0.4000000000000029E-006,0.4995928620484646E+022,0.1001027614908361E+019,0.1101130376399197E+019,0.1701746945344213E+019,0.4689213759276725E+022,0.0000000000000000E+000,0.3803904936651770E+019,0.0000000000000000E+000,0.1001027614908361E+018,0.0000000000000000E+000,0.6197361963897660E+021,0.3003082844725082E+018,0.1801849706835049E+019,0.8008220919266885E+018,0.8008220919266885E+018,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1031629029096110E+023
0.5000000000000039E-006,0.4992925537639921E+022,0.2002055229816721E+019,0.1201233137890033E+019,0.3503596652179262E+019,0.4607429803138711E+022,0.0000000000000000E+000,0.6806987781376852E+019,0.0000000000000000E+000,0.2002055229816721E+018,0.0000000000000000E+000,0.7822029782893929E+021,0.4004110459633443E+018,0.2702774560252574E+019,0.1301335899380869E+019,0.1301335899380869E+019,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1040197825479724E+023
0.6000000000000008E-006,0.4987920399565379E+022,0.3303391129197590E+019,0.2102157991307557E+019,0.6006165689450163E+019,0.4525245435954735E+022,0.0000000000000000E+000,0.1171202309442782E+020,0.0000000000000000E+000,0.4004110459633443E+018,0.0000000000000000E+000,0.9451702739964740E+021,0.7007193304358524E+018,0.4504624267087623E+019,0.1901952468325885E+019,0.1901952468325885E+019,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1049086950700111E+023
0.6999999999999977E-006,0.4980713000738040E+022,0.4304418744105951E+019,0.3303391129197590E+019,0.1031058443355611E+020,0.4439557472118579E+022,0.0000000000000000E+000,0.1992044953667638E+020,0.0000000000000000E+000,0.4004110459633443E+018,0.0000000000000000E+000,0.1115445071292386E+022,0.1401438660871705E+019,0.7207398827340197E+019,0.2602671798761738E+019,0.2302363514289229E+019,0.0000000000000000E+000,0.3003082844725082E+018,0.0000000000000000E+000,0.1058776898012424E+023
0.7999999999999947E-006,0.4971503546680882E+022,0.6006165689450163E+019,0.4905035313050967E+019,0.1451490041617123E+020,0.4350165706107263E+022,0.0000000000000000E+000,0.3073154777768667E+020,0.1001027614908361E+018,0.7007193304358524E+018,0.0000000000000000E+000,0.1290524801139858E+022,0.3003082844725082E+019,0.9609865103120261E+019,0.4704829790069295E+019,0.3503596652179262E+019,0.0000000000000000E+000,0.1201233137890033E+019,0.0000000000000000E+000,0.1069117513274427E+023
0.8999999999999916E-006,0.4954886488273404E+022,0.9609865103120261E+019,0.6206371212431836E+019,0.2382445723481898E+020,0.4258171268297185E+022,0.0000000000000000E+000,0.5065199731436305E+020,0.2002055229816721E+018,0.1301335899380869E+019,0.0000000000000000E+000,0.1468407408309074E+022,0.5305446359014311E+019,0.1291325623231785E+020,0.7908118157776049E+019,0.5705857404977656E+019,0.0000000000000000E+000,0.2202260752798393E+019,0.0000000000000000E+000,0.1080729433607364E+023
0.9999999999999934E-006,0.4935166244259709E+022,0.1361397556275370E+020,0.7707912634794377E+019,0.3533627480626513E+020,0.4156767170906968E+022,0.0000000000000000E+000,0.7267460484234698E+020,0.3003082844725082E+018,0.3403493890688426E+019,0.1001027614908361E+018,0.1660404504848498E+022,0.7808015396285213E+019,0.1901952468325885E+020,0.1341377003977203E+020,0.8708940249702737E+019,0.0000000000000000E+000,0.4704829790069295E+019,0.0000000000000000E+000,0.1093912967295707E+023
0.1100000000000001E-005,0.4903533771628604E+022,0.1851901087580467E+020,0.1091120100250113E+020,0.5535682710443234E+020,0.4040848173100579E+022,0.1001027614908361E+018,0.1085113934560663E+021,0.5005138074541803E+018,0.5805960166468491E+019,0.1001027614908361E+018,0.1876826675191685E+022,0.1081109824101029E+020,0.3033113673172333E+020,0.2302363514289229E+020,0.1191222861740949E+020,0.1001027614908361E+018,0.1101130376399197E+020,0.0000000000000000E+000,0.1110820323711509E+023
0.1200000000000008E-005,0.4855384343351513E+022,0.2822897874041577E+020,0.1781829154536882E+020,0.7858066777030631E+020,0.3899102662829556E+022,0.0000000000000000E+000,0.1626669874226086E+021,0.8008220919266885E+018,0.9209454057156917E+019,0.4004110459633443E+018,0.2136192930214442E+022,0.1801849706835049E+020,0.4474593438640372E+020,0.3793894660502687E+020,0.1711757221493297E+020,0.8008220919266885E+018,0.2002055229816721E+020,0.0000000000000000E+000,0.1132702787373407E+023
0.1300000000000016E-005,0.4783110149555129E+022,0.4144254325720613E+020,0.2782856769445242E+020,0.1175206419902415E+021,0.3736836086452910E+022,0.1001027614908361E+018,0.2408472441469516E+021,0.8008220919266885E+018,0.1471510593915290E+020,0.5005138074541803E+018,0.2430495048997500E+022,0.2722795112550741E+020,0.7327522141129200E+020,0.5896052651810244E+020,0.2072127162860306E+020,0.1401438660871705E+019,0.3683781622862767E+020,0.0000000000000000E+000,0.1161262105226742E+023
0.1400000000000023E-005,0.4676700914090370E+022,0.6176340383984585E+020,0.3673771346713684E+020,0.1821870259133216E+021,0.3544238373344541E+022,0.1001027614908361E+018,0.3633730242117349E+021,0.1201233137890033E+019,0.2372435447332815E+020,0.5005138074541803E+018,0.2769442999405470E+022,0.3873976869695355E+020,0.1014040973902169E+021,0.9299546542498670E+020,0.2402466275780065E+020,0.1501541422362541E+019,0.6696874743736933E+020,0.5005138074541803E+018,0.1198610445538973E+023
0.1500000000000031E-005,0.4523743894532373E+022,0.8478703898273815E+020,0.5315456635163395E+020,0.2742815664848908E+021,0.3318406543421215E+022,0.3003082844725082E+018,0.5329471021772112E+021,0.1701746945344213E+019,0.3723822727459101E+020,0.7007193304358524E+018,0.3155239042191153E+022,0.5725877957275822E+020,0.1663707895977695E+021,0.1452491069232031E+021,0.2452517656525484E+020,0.2202260752798393E+019,0.1169200254212965E+021,0.1601644183853377E+019,0.1249662853899299E+023
0.1600000000000038E-005,0.4297912064609046E+022,0.1259292739554718E+021,0.8108323680757721E+020,0.3984089907335275E+021,0.3063144501619583E+022,0.1201233137890033E+019,0.7718923938558369E+021,0.2202260752798393E+019,0.5535682710443234E+020,0.1501541422362541E+019,0.3588083382877528E+022,0.8348570308335727E+020,0.2694766339333307E+021,0.2095150798003199E+021,0.2112168267456641E+020,0.2902980083234246E+019,0.1812861010599041E+021,0.4204315982615115E+019,0.1315870820349338E+023
0.1700000000000046E-005,0.3961967197045800E+022,0.1707753111033663E+021,0.1318353368834311E+021,0.5885041348046252E+021,0.2801575985844029E+022,0.3503596652179262E+019,0.1127257197148305E+022,0.3503596652179262E+019,0.8098313404608638E+020,0.2102157991307557E+019,0.4013219810929109E+022,0.1204236220734758E+021,0.4501621184242897E+021,0.2898975972774612E+021,0.1621664736151544E+020,0.4704829790069295E+019,0.2597666660687196E+021,0.9209454057156917E+019,0.1403560839415310E+023
0.1800000000000053E-005,0.3483475997119604E+022,0.2360423115953914E+021,0.1964016180450203E+021,0.8513739864795607E+021,0.2536904284462258E+022,0.6506679496904344E+019,0.1625068230042233E+022,0.5305446359014311E+019,0.1272306098548526E+021,0.3203288367706754E+019,0.4410827979570709E+022,0.1881931916027718E+021,0.7333528306818650E+021,0.3822924461335029E+021,0.1381418108573538E+020,0.6406576735413508E+019,0.3454546299048753E+021,0.1661705840747879E+020,0.1516847134594490E+023
0.1900000000000061E-005,0.2877654084577064E+022,0.2817892735967035E+021,0.2713785864016566E+021,0.1217850196297512E+022,0.2331393315121572E+022,0.1051078995653779E+020,0.2243302885009636E+022,0.6006165689450163E+019,0.1697742834884579E+021,0.5605754643486819E+019,0.4698223007810900E+022,0.2850926647259011E+021,0.1221553998472672E+022,0.4743869867050721E+021,0.1081109824101029E+020,0.5906062927959328E+019,0.4299413606031409E+021,0.2772846493296159E+020,0.1656890897920169E+023
0.2000000000000069E-005,0.2171729410543688E+022,0.3178262677334045E+021,0.3368457924166633E+021,0.1635278711714298E+022,0.2191950168364837E+022,0.2102157991307557E+020,0.2941019132600764E+022,0.8208426442248557E+019,0.2306367624748863E+021,0.7908118157776049E+019,0.4854583521259585E+022,0.4316431075484851E+021,0.1930181447066301E+022,0.5490636467772358E+021,0.7307501588831032E+019,0.6806987781376852E+019,0.4932063058653493E+021,0.4174285154167864E+020,0.1817695973979048E+023
