001-TIME,002-nPart-Spec-001,003-nPart-Spec-002,004-nPart-Spec-003,005-nPart-Spec-004,006-TempTra-001,007-TempTra-002,008-TempTra-003,009-TempTra-004,010-TempVib001,011-TempVib002,012-TempVib003,013-XiVibMean001,014-XiVibMean002,015-XiVibMean003,016-TempRot001,017-TempRot002,018-TempRot003,019-TempTotal001,020-TempTotal002,021-TempTotal003,022-TempTotal004
1E-07,2973,23,23,3019,7015.26492997758,6998.9324268489,7386.55118007371,7017.96911552917,6980.20473470441,5025.86024267478,0,14.4152353379723,8.80484171350308,0,6895.03755238366,5678.36097940734,0,6972.84155918112,5557.89691791569,7386.55118007371,6965.21373358702
2E-07,2953,43,43,3039,6978.25437394046,8644.70561556484,6158.11359474729,6990.22915178993,6965.60349467616,4706.94823278841,0,14.4083890862277,8.62003011435758,0,6898.4098312242,5456.06214003898,0,6957.58579411824,5668.68454660577,6158.11359474729,6928.03658114818
3E-07,2933,63,63,3059,6873.82606717008,7224.26915938773,5392.18773558608,6850.52914004354,6965.41549587751,4985.9385033863,0,14.4083007678799,8.7827993809808,0,6898.62967227167,5647.20892254211,0,6942.13449064617,5574.3793663979,5392.18773558608,6882.04452059176
4E-07,2909,87,87,3083,6941.19404074599,6752.74402499516,5566.20336321228,6897.07489046518,6942.10364484529,4817.14543049382,0,14.397315793949,8.68621099553959,0,6845.85059307152,5771.0110440253,0,6927.81313865497,5407.3856651419,5566.20336321228,6846.48416017325
5E-07,2893,103,103,3099,6902.23461514296,6946.02477601437,6705.91507532223,6897.16506818207,6924.93308790219,4791.80667365617,0,14.3891819826864,8.67121898475444,0,6841.65428845959,5790.89999458846,0,6909.33992595605,5436.60205703241,6705.91507532223,6853.63009694203
6E-07,2868,128,128,3124,6821.57521286161,5948.09547480727,7563.92869796665,6816.20256229263,6916.9744720928,4975.71061976693,0,14.3853995607638,8.77710409422178,0,6797.10200367205,5460.02540738822,0,6885.29419126089,5271.44508168317,7563.92869796665,6846.97553915858
7E-07,2849,147,147,3143,6855.43358029054,6055.36779823177,6731.09552248123,6812.19865682233,6905.25588031047,4815.16584011588,0,14.3798158365045,8.68504450796546,0,6784.0627689576,5350.05383065304,0,6880.08164722445,5177.79802982907,6731.09552248123,6793.49664814893
8.00000000000001E-07,2826,170,170,3166,6810.05284881415,5657.49199043302,6954.01057963004,6755.89538460502,6895.85594037813,4824.00801047068,0,14.3753245289744,8.69024860266944,0,6742.02565894922,5383.06852660008,0,6860.57306093459,5108.38941212485,6954.01057963004,6771.50583348057
9.00000000000001E-07,2799,197,197,3193,6782.28633656016,5989.53404306445,5959.69584012477,6682.62378422179,6874.80007492966,4831.72841294466,0,14.3652237744444,8.69477940893066,0,6752.67658940084,5732.45031239891,0,6843.18187722034,5251.98532302586,5959.69584012477,6690.50023911068
1E-06,2779,217,217,3213,6706.48648987599,5786.3757971254,6048.04291583066,6599.8738923364,6854.55887094201,4896.46101830334,0,14.3554610418816,8.73229570599548,0,6804.3807025334,5795.11111014107,0,6825.34058661034,5260.6740859107,6048.04291583066,6667.1687144625
1.1E-06,2758,238,238,3234,6677.07470981653,6577.07440333737,6458.92552233869,6653.66111069415,6847.03891899613,4810.94271397627,0,14.3518207546813,8.68255331161782,0,6672.87587010687,5645.58794528643,0,6796.31216650303,5342.3442077369,6458.92552233869,6664.48087537828
