001-TIME,002-nPart-Spec-001,003-nPart-Spec-002,004-nPart-Spec-003,005-nPart-Spec-004,006-nPart-Spec-005,007-TempTra-001,008-TempTra-002,009-TempTra-003,010-TempTra-004,011-TempTra-005,012-TempVib001,013-TempVib002,014-TempVib003,015-TempVib004,016-XiVibMean001,017-XiVibMean002,018-XiVibMean003,019-XiVibMean004,020-TempRot001,021-TempRot002,022-TempRot003,023-TempRot004,024-TempTotal001,025-TempTotal002,026-TempTotal003,027-TempTotal004,028-TempTotal005
0,99897,0,0,99897,199794,4999.92043447832,0,0,4999.96370901459,4999.94207174645,5001.44529468017,0,0,0,8.7913966147981,0,0,0,4992.19255474725,0,0,0,4999.25937530783,0,0,4999.96370901459,4999.61154216121
2E-06,92971,6926,6926,92971,199794,5009.97620140547,5116.46857771831,5554.51695089567,4970.41599037139,5014.13600124562,4977.16231937742,5685.38428181244,5694.20067844048,0,8.77791366132694,4.4129173771271,1.09029841878665,0,4963.65460399446,5509.28919845385,5611.45024645808,0,4981.08158032742,5470.74391913487,5598.21982390697,4970.41599037139,5014.48653878368
4E-06,87210,12687,12687,87210,199794,5034.75363486504,5079.36808533836,5278.10693575701,4972.63543403806,5025.92513434676,4955.78274329565,5657.6968628922,5658.4935416098,0,8.76595048704316,4.40606792079871,1.08578793481536,0,4971.68260902038,5421.65858874299,5426.28568740921,0,4975.05764687413,5422.92027160875,5394.66977003629,4972.63543403806,5029.08535013415
6E-06,82047,17850,17850,82047,199794,5039.4390203885,5064.92643372103,5145.58871268925,4998.09750686474,5034.22252327382,4939.6820748884,5635.69201466738,5632.13871459576,0,8.75688353305787,4.40058255007006,1.0824315818304,0,4989.00150229694,5319.01024469224,5343.96826036178,0,4969.98854967517,5379.71192509572,5297.40565812054,4998.09750686474,5047.38933872559
8E-06,77606,22291,22291,77606,199794,5043.44620642956,5051.24604741014,5200.58419161731,5023.069847157,5053.93351508453,4926.15487397246,5603.95425280466,5567.18511763703,0,8.74922719136647,4.3926051081939,1.07405927089563,0,4975.58476905092,5268.8388494311,5359.03456058286,0,4960.06605291881,5347.66905784384,5317.58203927524,5023.069847157,5067.67148596637
1E-05,73773,26124,26124,73773,199794,5042.51995800796,5063.74054416461,5190.5669083886,5037.00082716812,5062.61456688036,4911.37393248384,5586.1206532818,5572.12665421291,0,8.7408206245039,4.38808804366331,1.07470128740512,0,5000.68767878645,5256.85854031665,5264.03281718141,0,4956.24113033717,5340.17292396837,5282.2577654847,5037.00082716812,5078.89034837037
1.2E-05,70453,29444,29444,70453,199794,5053.91573115218,5148.71122218157,5096.21295427278,5038.8429001239,5068.80422485568,4900.48618540516,5560.00500923476,5554.98924081402,0,8.73460098260889,4.38142790998745,1.07247114724108,0,5017.45613821653,5227.98750508062,5287.60682989201,0,4955.54017001137,5345.20470498406,5240.27491198003,5038.8429001239,5084.30249297842
1.4E-05,67673,32224,32224,67673,199794,5072.93091843769,5122.85685345807,5121.77150800647,5053.70922268394,5082.34993338117,4891.84197408815,5544.77088354066,5547.46327334633,0,8.72964637335546,4.37751773660106,1.07148856206665,0,5021.18707245855,5197.80966346189,5251.01569938101,0,4955.06834792998,5322.49944936631,5239.4711846132,5053.70922268394,5093.61115071279
1.6E-05,65211,34686,34686,65211,199794,5085.55037908423,5095.41215596,5134.18282300838,5061.68574906641,5087.91628674199,4882.73585834961,5541.92959819295,5552.10952307912,0,8.72441105469437,4.37678639835113,1.07209540518926,0,5044.34961915976,5175.93530617463,5199.21113303012,0,4956.98567659859,5307.02689236669,5229.39112859613,5061.68574906641,5099.22108679018
1.8E-05,63145,36752,36752,63145,199794,5092.12265168345,5123.1156163946,5126.67636510069,5082.18101668715,5101.03786922118,4884.12157161417,5534.25208246616,5502.89029311051,0,8.72520879282513,4.37480697711187,1.06562864905995,0,5017.49043091265,5168.41796685306,5170.06008476482,0,4953.66963931983,5309.58171026586,5207.07557965967,5082.18101668715,5106.3694525006
2E-05,61281,38616,38616,61281,199794,5087.175032569,5095.38078485121,5162.76754974783,5078.9836460688,5100.85901515801,4880.22837720422,5513.21448031715,5489.62990052628,0,8.72296656014821,4.36935860748629,1.06387185414232,0,5039.1240601935,5192.62228868039,5148.00108567248,0,4954.77361308304,5299.57757709454,5215.24338279234,5078.9836460688,5109.85817784856
2.2E-05,59721,40176,40176,59721,199794,5089.14025669575,5144.44800225602,5159.62201272168,5075.10983048334,5110.24103015189,4878.05082778849,5488.18698810541,5449.91490879619,0,8.72171111761052,4.36282988886938,1.05857281567729,0,5049.26693844491,5193.03728065763,5148.59500699005,0,4955.9573027579,5303.23113140934,5206.70276351621,5075.10983048334,5111.82750446374
2.4E-05,58332,41565,41565,58332,199794,5102.0088761368,5110.69615371258,5131.3376898671,5079.02750473907,5103.20805868865,4876.92905990765,5477.66818703091,5440.7132227293,0,8.72106400660429,4.36007054586498,1.05733699846373,0,5067.64916748198,5207.14093333787,5162.68298321885,0,4961.66476724856,5293.06540343332,5195.69019066357,5079.02750473907,5113.56090712544
2.59999999999999E-05,57143,42754,42754,57143,199794,5118.77265415579,5116.54051862119,5152.93093257667,5096.64126348734,5119.27475259715,4875.41137395123,5465.39625244399,5436.18421365353,0,8.72018810497884,4.35683971590203,1.0567276156126,0,5046.01517860042,5180.48666432211,5164.5415223308,0,4959.7781799801,5281.81747571398,5206.18456462108,5096.64126348734,5120.56425863913
2.79999999999999E-05,56113,43784,43784,56113,199794,5112.35806797228,5126.52101327925,5142.48916814252,5090.61133761315,5115.95725616878,4878.51273221001,5455.72379168583,5425.7657112881,0,8.72197750235216,4.35428440391249,1.05532297783568,0,5036.6486330415,5206.99021989172,5164.42919285533,0,4958.38948175628,5288.27532465831,5199.10518940908,5090.61133761315,5120.56944355288
2.99999999999999E-05,55332,44565,44565,55332,199794,5103.8854259873,5104.70681484514,5182.16219885452,5080.54662974387,5115.06507754608,4881.74606316064,5449.98076811067,5407.60171071037,0,8.72384100855684,4.35276348230674,1.05286464960486,0,5056.52826931114,5165.14910881467,5194.17635969949,0,4962.61930175643,5267.39021237015,5225.3459852893,5080.54662974387,5121.86174745221
3.19999999999999E-05,54630,45267,45267,54630,199794,5102.27107626782,5121.18832936309,5157.51705285395,5104.5119272725,5119.6868375438,4881.81204950657,5436.3788701695,5400.90880984944,0,8.72387901768061,4.34915023768919,1.05195579270821,0,5052.0049238524,5176.06185275761,5191.92133630328,0,4961.40763039351,5269.55138820221,5211.19324393897,5104.5119272725,5126.94601789057
3.4E-05,53975,45922,45922,53975,199794,5085.48833052938,5119.81789576792,5161.56055624557,5115.78921481859,5119.04970511387,4883.39572180893,5426.52505077213,5401.52683874826,0,8.72479097748263,4.34652288182772,1.05203978612586,0,5061.41069883079,5184.39443269953,5176.81681624163,0,4960.83809494487,5267.38817570444,5208.31613064916,5115.78921481859,5130.04020241275
3.6E-05,53482,46415,46415,53482,199794,5112.29011331639,5137.09014547897,5135.15409170082,5098.07044965235,5119.55674293219,4887.55286160261,5420.78202719697,5388.3423688299,0,8.72718250676652,4.34498780077049,1.05024490771646,0,5059.02861321297,5197.3144663892,5153.79401113192,0,4968.2634122749,5273.7080666589,5185.26603629729,5098.07044965235,5124.38286731486
3.80000000000001E-05,53064,46833,46833,53064,199794,5142.8499744832,5125.27424449531,5146.40859324665,5092.19956301925,5126.1118501957,4885.77123026246,5413.64858738782,5371.70014396099,0,8.72615798480971,4.34307715789203,1.04797016840548,0,5085.70331619547,5160.87250883099,5164.28008484875,0,4978.87307609866,5256.68840623813,5191.35620376344,5092.19956301925,5123.9009767178
4.00000000000001E-05,52560,47337,47337,52560,199794,5117.80217775793,5168.00948488925,5148.85161688596,5085.7812701037,5128.63048937576,4890.060342748,5395.93589362444,5351.4332693227,0,8.72862336258699,4.33831410798486,1.04518614136839,0,5040.04500812294,5209.3573669386,5190.41026802756,0,4966.99757396494,5275.65372834348,5197.62643225316,5085.7812701037,5126.01839397785
4.20000000000002E-05,52208,47689,47689,52208,199794,5123.91937821314,5136.11986435577,5149.59005303847,5117.20553653213,5131.20448962249,4889.20252025089,5394.72683602967,5351.94857701509,0,8.72813057814287,4.33798800246413,1.04525711766712,0,5053.45162488775,5203.95197925685,5165.55051084147,0,4970.46863080355,5264.31988595207,5189.85924231773,5117.20553653213,5131.31846490045
4.40000000000002E-05,51949,47948,47948,51949,199794,5106.68672199208,5162.29880703551,5144.52794603435,5110.32728788273,5130.06091251579,4893.2276873527,5376.89323650681,5348.62105368334,0,8.73044161504925,4.33316327496526,1.04479862413489,0,5069.86007911156,5197.77583353768,5183.1951934289,0,4972.67366119229,5262.58792012969,5192.59748663013,5110.32728788273,5130.81997550886
4.60000000000003E-05,51775,48122,48122,51775,199794,5116.49218750049,5121.40833952212,5145.73988203725,5108.57158392046,5122.6682657297,4893.88755081202,5376.04689619047,5364.14094937412,0,8.73082016838383,4.33293361972086,1.04693355859468,0,5085.42726583125,5187.80823357487,5201.92225414277,0,4978.22997308866,5247.46466516596,5202.13477170066,5108.57158392046,5130.7835806633
4.80000000000003E-05,51480,48417,48417,51480,199794,5125.14542034274,5168.04868628282,5132.68597954473,5085.77547595344,5127.22543247895,4896.72496368707,5370.66658989374,5363.71859498699,0,8.73244696939002,4.33147221121926,1.04687557764151,0,5083.96122447429,5178.73463308882,5187.81786220933,0,4981.36603892186,5256.09922165728,5190.91872529136,5085.77547595344,5125.62796241725
5.00000000000004E-05,51313,48584,48584,51313,199794,5142.6864950285,5109.04673324787,5166.39674190434,5127.6691473438,5136.41503185203,4891.31408332069,5368.36938046368,5326.42072853772,0,8.72934332442086,4.33084747081832,1.04172907631872,0,5073.66219671291,5193.73473595166,5196.76533235613,0,4979.65214066931,5242.35146384445,5204.04139922264,5127.6691473438,5136.11283677722
5.20000000000004E-05,51080,48817,48817,51080,199794,5133.7583440297,5156.75299410018,5174.52814970475,5121.20245279263,5146.12825759938,4900.09026732957,5368.79255062184,5321.88563279789,0,8.73437437543937,4.33096258915915,1.04109975013729,0,5050.86675945394,5172.49198846496,5153.65813885691,0,4978.365304809,5250.21498870896,5193.01382644447,5121.20245279263,5133.75287610057
5.40000000000005E-05,50958,48939,48939,50958,199794,5100.63346675818,5178.35285146505,5164.83525748471,5100.33773096776,5135.32124667213,4899.82632194584,5359.3014485029,5337.07915143531,0,8.73422328686937,4.3283768894071,1.04320507877126,0,5072.15117846428,5189.29621228561,5176.6925118753,0,4975.79883723885,5257.36273044109,5198.49292938009,5100.33773096776,5131.0794487255
5.60000000000005E-05,50702,49195,49195,50702,199794,5142.35721956053,5131.56539178616,5166.39819102027,5106.0419171741,5136.40375330031,4898.57258137315,5355.61382283885,5305.19065436186,0,8.73350542902597,4.32737012714359,1.03877632931073,0,5088.9712172036,5197.58551441526,5177.62608341878,0,4986.97990767632,5244.62426748088,5193.99154790521,5106.0419171741,5131.60604223092
5.80000000000006E-05,50643,49254,49254,50643,199794,5129.34963980879,5157.94688225816,5144.68589024218,5132.16960889986,5140.89509138955,4895.66918215217,5352.53072597218,5308.99203550616,0,8.73184183345908,4.32652749176355,1.03930629051067,0,5092.21467691765,5189.70834182034,5179.65856776254,0,4983.28062082068,5248.69924104632,5184.54307810519,5132.16960889986,5136.06846637649
6.00000000000006E-05,50528,49369,49369,50528,199794,5116.19066873436,5164.7085236542,5154.74205485168,5116.97916230855,5137.90484615751,4896.92292272486,5355.00929404146,5304.36120461642,0,8.73256040793049,4.32720497032175,1.0386606205644,0,5108.83880331661,5169.46162789245,5192.39268749293,0,4984.7250999423,5245.8272537073,5192.9466831164,5116.97916230855,5134.14188339019
6.20000000000007E-05,50440,49457,49457,50440,199794,5143.37228908174,5149.19484769007,5151.55138056109,5126.59784056957,5142.60337923175,4901.34400790226,5354.88838828199,5301.43970907573,0,8.73509185909788,4.327171935107,1.03825286217019,0,5081.96018472788,5174.8032401044,5173.64409249554,0,4987.39256369952,5242.82130219289,5184.64164930537,5126.59784056957,5134.59218586936
