001-TIME,002-NumDens-Spec-001,003-NumDens-Spec-002,004-NumDens-Spec-003,005-NumDens-Spec-004,006-NumDens-Spec-005,007-NumDens-Spec-006,008-NumDens-Spec-007,009-NumDens-Spec-008,010-NumDens-Spec-009,011-NumDens-Spec-010,012-NumDens-Spec-011,013-TempTra-001,014-TempTra-002,015-TempTra-003,016-TempTra-004,017-TempTra-005,018-TempTra-006,019-TempTra-007,020-TempTra-008,021-TempTra-009,022-TempTra-010,023-TempTra-011,024-TempVib001,025-TempVib002,026-TempVib003,027-TempVib004,028-TempVib005,029-TempVib006,030-TempVib007,031-TempVib008,032-TempVib009,033-TempVib010,034-XiVibMean001,035-XiVibMean002,036-XiVibMean003,037-XiVibMean004,038-XiVibMean005,039-XiVibMean006,040-XiVibMean007,041-XiVibMean008,042-XiVibMean009,043-XiVibMean010,044-TempRot001,045-TempRot002,046-TempRot003,047-TempRot004,048-TempRot005,049-TempRot006,050-TempRot007,051-TempRot008,052-TempRot009,053-TempRot010,054-TempElec001,055-TempElec002,056-TempElec003,057-TempElec004,058-TempElec005,059-TempElec006,060-TempElec007,061-TempElec008,062-TempElec009,063-TempElec010,064-XiElecMean001,065-XiElecMean002,066-XiElecMean003,067-XiElecMean004,068-XiElecMean005,069-XiElecMean006,070-XiElecMean007,071-XiElecMean008,072-XiElecMean009,073-XiElecMean010,074-TempTotal001,075-TempTotal002,076-TempTotal003,077-TempTotal004,078-TempTotal005,079-TempTotal006,080-TempTotal007,081-TempTotal008,082-TempTotal009,083-TempTotal010,084-TempTotal011
0.00000000000000E+000,2.00000112115093E+022,2.00000112115093E+022,2.00000112115093E+022,1.99999911909570E+022,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,8.00000248254847E+022,9.99556471888745E+002,9.98967531777490E+002,9.99288704168770E+002,1.50026765965956E+005,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,3.82561166970867E+004,9.94984455846880E+002,9.96719327964180E+002,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,3.26746671593352E+000,2.33997728424755E-001,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,9.97949378767277E+002,1.00015718093105E+003,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,9.97360745300641E+002,9.99321606008687E+002,9.99288704168770E+002,1.50026765965956E+005,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,3.82556562838823E+004
5.00000000000000E-011,1.65918525321354E+022,1.72210584497622E+022,1.97746598748411E+022,2.46751905636250E+022,3.03463523514699E+021,1.41521280085284E+021,2.25351336668170E+020,3.73523444226905E+020,3.73523444226905E+020,2.72747992178851E+021,8.64124876032739E+022,1.00011192531462E+003,1.00033674998092E+003,1.00274246636964E+003,7.51541038820228E+004,1.00764240230357E+003,1.00652022856310E+003,1.03885422803165E+003,2.26343667734175E+004,3.87909123103489E+004,1.04173827432023E+004,2.27301019396132E+004,1.14938980821144E+003,1.11737979772013E+003,0.00000000000000E+000,0.00000000000000E+000,1.89928583408414E+004,3.89250886362664E+004,0.00000000000000E+000,5.14319476440040E+004,0.00000000000000E+000,0.00000000000000E+000,3.66241257248732E+000,3.06144791704395E-001,0.00000000000000E+000,0.00000000000000E+000,7.62769459061789E+000,1.91954930486108E+000,0.00000000000000E+000,1.93993727000885E+000,0.00000000000000E+000,0.00000000000000E+000,1.40897750987248E+003,1.21851448346243E+003,0.00000000000000E+000,0.00000000000000E+000,2.33714391128993E+004,3.94616617877376E+004,0.00000000000000E+000,5.19533575452042E+004,0.00000000000000E+000,0.00000000000000E+000,1.75848532967746E+004,1.18974945407093E+004,2.10728943526096E+004,0.00000000000000E+000,0.00000000000000E+000,3.53449202833053E+004,5.88178646889689E+004,4.32776121280978E+004,4.02029731459766E+004,1.93335737390108E+004,2.79855213771300E-001,1.81157518811874E-001,5.98113410724540E-002,0.00000000000000E+000,0.00000000000000E+000,8.32392203131987E-001,3.75575072571497E-001,3.17401479726863E+000,5.25978197801529E+000,2.22802281150816E+000,1.67172843799745E+003,1.44614591365961E+003,1.39506165406933E+003,7.51541038820228E+004,1.54135441638039E+004,2.40046118726309E+004,7.46749396509563E+003,4.04340801774756E+004,3.96901045838089E+004,1.42171896007195E+004,2.41377639519477E+004
1.00000000000000E-010,1.50298690623847E+022,1.57621007421378E+022,1.96731756952417E+022,2.68086807192791E+022,4.44642452155684E+021,2.03542949049776E+021,3.26835516267579E+020,5.23717627567755E+020,5.23717627567755E+020,4.40496195774734E+021,8.95349129602483E+022,1.00345843383461E+003,1.00333160805019E+003,1.00866645180612E+003,4.90695032467363E+004,1.00769667528434E+003,1.01437717893535E+003,1.04195335727386E+003,2.22811183470575E+004,3.81133632397093E+004,9.89985815376977E+003,1.61764028550641E+004,1.32309582962158E+003,1.29630934843967E+003,0.00000000000000E+000,0.00000000000000E+000,1.83752369313831E+004,3.76991409023035E+004,0.00000000000000E+000,5.06449781270367E+004,0.00000000000000E+000,0.00000000000000E+000,4.04200312894437E+000,4.12111831107582E-001,0.00000000000000E+000,0.00000000000000E+000,7.61545271501675E+000,1.91697032082646E+000,0.00000000000000E+000,1.93901363964504E+000,0.00000000000000E+000,0.00000000000000E+000,1.83104320088167E+003,1.52009177917113E+003,0.00000000000000E+000,0.00000000000000E+000,2.29167581627650E+004,3.82723149953309E+004,0.00000000000000E+000,5.11437140172021E+004,0.00000000000000E+000,0.00000000000000E+000,1.98682171544024E+004,1.32217796472818E+004,2.17694859014562E+004,0.00000000000000E+000,0.00000000000000E+000,3.46528714945413E+004,5.83553467490818E+004,4.24835458505180E+004,3.95856683759808E+004,1.90041582120415E+004,4.34727105919859E-001,3.20131621088903E-001,8.82650730237748E-002,0.00000000000000E+000,0.00000000000000E+000,8.33356932701178E-001,3.49072823278167E-001,3.19090827147116E+000,5.25105245130509E+000,2.14774170080156E+000,2.17983114617037E+003,1.88706440054981E+003,1.60202719041739E+003,4.90695032467363E+004,1.49651668152053E+004,2.33195451680514E+004,7.01571060252470E+003,3.97725853994143E+004,3.90503529801714E+004,1.36983558306667E+004,1.81765267503410E+004
1.50000000000000E-010,1.42036008484870E+022,1.48924279708577E+022,1.96200611699946E+022,2.79256073114416E+022,5.19811617814383E+021,2.34754990082619E+021,3.79950041514617E+020,5.98294184878428E+020,5.98294184878428E+020,5.52006667965065E+021,9.12839684706731E+022,1.00728860533382E+003,1.00844228302506E+003,1.01599159680997E+003,3.65784200925457E+004,1.01284870435853E+003,1.01935117799053E+003,1.04704436660644E+003,2.20250911470544E+004,3.76491786605320E+004,9.52338754973883E+003,1.27849601874944E+004,1.51610252007728E+003,1.48354869739337E+003,0.00000000000000E+000,0.00000000000000E+000,1.80664262266540E+004,3.68937621024966E+004,0.00000000000000E+000,5.02968510951770E+004,0.00000000000000E+000,0.00000000000000E+000,4.39837483586387E+000,5.17007535943261E-001,0.00000000000000E+000,0.00000000000000E+000,7.60902498206096E+000,1.91518416479074E+000,0.00000000000000E+000,1.93859593523428E+000,0.00000000000000E+000,0.00000000000000E+000,2.22703334427327E+003,1.84992725609545E+003,0.00000000000000E+000,0.00000000000000E+000,2.25939824639907E+004,3.75327183899083E+004,0.00000000000000E+000,5.05346723397811E+004,0.00000000000000E+000,0.00000000000000E+000,2.10391729788269E+004,1.39722078743395E+004,2.19784633661102E+004,0.00000000000000E+000,0.00000000000000E+000,3.39608227057772E+004,5.83553467490818E+004,4.15306663174223E+004,3.88140374134860E+004,1.87159196259433E+004,5.25814440710357E-001,4.19406106096096E-001,9.86943725904574E-002,0.00000000000000E+000,0.00000000000000E+000,8.34193178025581E-001,3.49072823278167E-001,3.20937439665979E+000,5.23291505024238E+000,2.08072212773763E+000,2.53995766785873E+003,2.24920588776766E+003,1.68365279551241E+003,3.65784200925457E+004,1.47271021986568E+004,2.28549621548013E+004,7.02027097753105E+003,3.92134913041278E+004,3.83895733885889E+004,1.32880305315847E+004,1.50818884469668E+004
2.00000000000000E-010,1.37224469151051E+022,1.43257462380581E+022,1.95910313691623E+022,2.85654441423387E+022,5.64081063056090E+021,2.51566247847390E+021,4.08979842346959E+020,6.36753665843207E+020,6.36753665843207E+020,6.31720498995448E+021,9.23608339376870E+022,1.01233338414237E+003,1.01270824734963E+003,1.02442895000099E+003,2.95665989763926E+004,1.01734940974155E+003,1.02696332357068E+003,1.06613497191312E+003,2.18480279191774E+004,3.73161657569771E+004,9.24021545823434E+003,1.08038835269210E+004,1.68980854148742E+003,1.66114145980359E+003,0.00000000000000E+000,0.00000000000000E+000,1.77576155219249E+004,3.64363048497603E+004,0.00000000000000E+000,4.98297954222560E+004,0.00000000000000E+000,0.00000000000000E+000,4.67158390180484E+000,6.08704415465068E-001,0.00000000000000E+000,0.00000000000000E+000,7.60237882515188E+000,1.91413498594993E+000,0.00000000000000E+000,1.93802646271536E+000,0.00000000000000E+000,0.00000000000000E+000,2.60097449360662E+003,2.17940533268541E+003,0.00000000000000E+000,0.00000000000000E+000,2.23087542602024E+004,3.69861697434545E+004,0.00000000000000E+000,5.00985327046452E+004,0.00000000000000E+000,0.00000000000000E+000,2.17417464734816E+004,1.45019219169685E+004,2.21177816758795E+004,0.00000000000000E+000,0.00000000000000E+000,3.32687739170132E+004,5.83553467490818E+004,4.04189735288106E+004,3.83896403841139E+004,1.85100349215875E+004,5.83560759892872E-001,4.97886705304238E-001,1.06191344065403E-001,0.00000000000000E+000,0.00000000000000E+000,8.34896581756792E-001,3.49072823278167E-001,3.22798423374958E+000,5.21921297099258E+000,2.03471576449203E+000,2.81036129312653E+003,2.55926643252384E+003,1.74554726780398E+003,2.95665989763926E+004,1.44948568451320E+004,2.25283920224759E+004,7.03737177495832E+003,3.86370261009831E+004,3.79978238083936E+004,1.29864940325091E+004,1.32757476137287E+004
2.50000000000000E-010,1.34259625561216E+022,1.39266565485465E+022,1.95729528104371E+022,2.89538428569232E+022,5.91613326576530E+021,2.61065999912870E+021,4.27058401072204E+020,6.57915389622370E+020,6.57915389622370E+020,6.92538932766820E+021,9.30744865449074E+022,1.01750633116557E+003,1.01806557014787E+003,1.03278686596619E+003,2.52568550270940E+004,1.02302433313284E+003,1.03713669298716E+003,1.07318253100560E+003,2.16777544189424E+004,3.69404916168132E+004,9.00671902487686E+003,9.55681989492217E+003,1.88281523194312E+003,1.83123500657337E+003,0.00000000000000E+000,0.00000000000000E+000,1.74488048171957E+004,3.61350319766300E+004,0.00000000000000E+000,4.93230276752300E+004,0.00000000000000E+000,0.00000000000000E+000,4.93261043040011E+000,6.88979680329247E-001,0.00000000000000E+000,0.00000000000000E+000,7.59550292427316E+000,1.91342972644199E+000,0.00000000000000E+000,1.93739650176417E+000,0.00000000000000E+000,0.00000000000000E+000,2.92989659897662E+003,2.49328757592896E+003,0.00000000000000E+000,0.00000000000000E+000,2.20607170672330E+004,3.66191421270163E+004,0.00000000000000E+000,4.95912873848759E+004,0.00000000000000E+000,0.00000000000000E+000,2.22101288032514E+004,1.48550646120545E+004,2.21177816758795E+004,0.00000000000000E+000,0.00000000000000E+000,3.27744533536104E+004,5.83553467490818E+004,3.95057973095938E+004,3.80038249028665E+004,1.83041502172317E+004,6.23155204544147E-001,5.53799790548830E-001,1.06191344065403E-001,0.00000000000000E+000,0.00000000000000E+000,8.35315313736918E-001,3.49072823278167E-001,3.24048460505536E+000,5.20429061660891E+000,1.99026882633612E+000,3.03529508975878E+003,2.80791389864965E+003,1.75361945174832E+003,2.52568550270940E+004,1.42688192943528E+004,2.23092307944417E+004,7.04368476914898E+003,3.81014499209791E+004,3.76150039788853E+004,1.27148133402556E+004,1.21300621199017E+004
3.00000000000000E-010,1.32336251101931E+022,1.36352974509512E+022,1.95621617327483E+022,2.91986942115297E+022,6.09501690054942E+021,2.66583664126245E+021,4.37849478760916E+020,6.71369200766738E+020,6.71369200766738E+020,7.39775423859116E+021,9.35689741661198E+022,1.02298278948134E+003,1.02426059906179E+003,1.04185634080129E+003,2.24066400909916E+004,1.02842218817366E+003,1.04770186095663E+003,1.08192441903667E+003,2.15397298302569E+004,3.66760911142700E+004,8.82417063417513E+003,8.72113644576211E+003,2.02757024978490E+003,1.99148534922830E+003,0.00000000000000E+000,0.00000000000000E+000,1.74488048171957E+004,3.58910289023454E+004,0.00000000000000E+000,4.90032955405811E+004,0.00000000000000E+000,0.00000000000000E+000,5.10411202046956E+000,7.58072380273138E-001,0.00000000000000E+000,0.00000000000000E+000,7.59550292427316E+000,1.91284998544922E+000,0.00000000000000E+000,1.93699241307317E+000,0.00000000000000E+000,0.00000000000000E+000,3.23244665102607E+003,2.79268763986554E+003,0.00000000000000E+000,0.00000000000000E+000,2.18296627123449E+004,3.63465011227073E+004,0.00000000000000E+000,4.91847592794664E+004,0.00000000000000E+000,0.00000000000000E+000,2.24443199681363E+004,1.50757787964832E+004,2.20481225209948E+004,0.00000000000000E+000,0.00000000000000E+000,3.20824045648463E+004,5.82011741024528E+004,3.87117310320141E+004,3.76951725178686E+004,1.81394424537471E+004,6.43245073314791E-001,5.90113062135630E-001,1.02386812640267E-001,0.00000000000000E+000,0.00000000000000E+000,8.35781120258019E-001,3.40561334799189E-001,3.24897978834508E+000,5.19057603717095E+000,1.95583255526155E+000,3.19334188849302E+003,3.00310400168830E+003,1.73511761657130E+003,2.24066400909916E+004,1.42334165678929E+004,2.21076636160286E+004,6.90507986068992E+003,3.76676220821449E+004,3.73219088796433E+004,1.25004675394219E+004,1.13598312586204E+004
3.50000000000000E-010,1.31025905954016E+022,1.34168532048259E+022,1.95550143955779E+022,2.93603801918897E+022,6.21712224901594E+021,2.69826993598548E+021,4.44996815931362E+020,6.80298367091721E+020,6.80298367091721E+020,7.76977614139570E+021,9.39256002642071E+022,1.02954285830466E+003,1.02904888030298E+003,1.05174836476672E+003,2.04237411081095E+004,1.03430666652441E+003,1.05965915491942E+003,1.09687500864058E+003,2.14248374998016E+004,3.64466619451170E+004,8.68242418249192E+003,8.13537709240774E+003,2.22057694024061E+003,2.14600526812125E+003,0.00000000000000E+000,0.00000000000000E+000,1.71399941124666E+004,3.57018345511955E+004,0.00000000000000E+000,4.87420383874131E+004,0.00000000000000E+000,0.00000000000000E+000,5.30602601897048E+000,8.19099254844236E-001,0.00000000000000E+000,0.00000000000000E+000,7.58838516387734E+000,1.91239509654354E+000,0.00000000000000E+000,1.93665833429361E+000,0.00000000000000E+000,0.00000000000000E+000,3.52147278757110E+003,3.07712395670787E+003,0.00000000000000E+000,0.00000000000000E+000,2.16439265982152E+004,3.60881619753675E+004,0.00000000000000E+000,4.88268538311118E+004,0.00000000000000E+000,0.00000000000000E+000,2.26004474113929E+004,1.52523501440262E+004,2.19784633661102E+004,0.00000000000000E+000,0.00000000000000E+000,3.13903557760823E+004,5.82011741024528E+004,3.79176647544343E+004,3.73865201328707E+004,1.80159116311336E+004,6.56738286152938E-001,6.19882532643906E-001,9.86943725904574E-002,0.00000000000000E+000,0.00000000000000E+000,8.36102757808358E-001,3.40561334799189E-001,3.25495829384484E+000,5.17521229045411E+000,1.93065676433699E+000,3.35285802451927E+003,3.17656610648130E+003,1.71827069936866E+003,2.04237411081095E+004,1.40173380406514E+004,2.19238465280552E+004,6.91850627748536E+003,3.72605570113667E+004,3.70416270018931E+004,1.23370611890485E+004,1.08126728817228E+004
4.00000000000000E-010,1.30088143284370E+022,1.32453171127352E+022,1.95500292780557E+022,2.94739367645249E+022,6.30449193924514E+021,2.71947170086924E+021,4.49981933453605E+020,6.86704943827134E+020,6.86704943827134E+020,8.07044479580957E+021,9.41958977407846E+022,1.03651736089080E+003,1.03424716577584E+003,1.06086442649631E+003,1.89788238327723E+004,1.03981671677691E+003,1.07081767049906E+003,1.10480722061302E+003,2.13266232545207E+004,3.61992609136899E+004,8.56467267448156E+003,7.70619676567607E+003,2.37498229260517E+003,2.29277223323146E+003,0.00000000000000E+000,0.00000000000000E+000,1.71399941124666E+004,3.55496393105441E+004,0.00000000000000E+000,4.83993013737523E+004,0.00000000000000E+000,0.00000000000000E+000,5.44896014818058E+000,8.72398971338605E-001,0.00000000000000E+000,0.00000000000000E+000,7.58838516387734E+000,1.91202570610511E+000,0.00000000000000E+000,1.93621465501264E+000,0.00000000000000E+000,0.00000000000000E+000,3.78277179582535E+003,3.35037331699685E+003,0.00000000000000E+000,0.00000000000000E+000,2.14687369962499E+004,3.58473828570075E+004,0.00000000000000E+000,4.84260539258857E+004,0.00000000000000E+000,0.00000000000000E+000,2.26004474113929E+004,1.53406358177977E+004,2.19088042112255E+004,0.00000000000000E+000,0.00000000000000E+000,3.07971710999989E+004,5.80470014558238E+004,3.72030051046125E+004,3.70778677478728E+004,1.78512038676489E+004,6.56738286152938E-001,6.34998063568561E-001,9.51115563735037E-002,0.00000000000000E+000,0.00000000000000E+000,8.36260700314516E-001,3.32208253856193E-001,3.25791928985951E+000,5.15813374024227E+000,1.89795214667138E+000,3.46298423876832E+003,3.31084367401373E+003,1.70151338663590E+003,1.89788238327723E+004,1.39908176372139E+004,2.17639743753034E+004,6.78172339046173E+003,3.68592176864258E+004,3.67547766358031E+004,1.21631953397511E+004,1.04113285155254E+004
4.50000000000000E-010,1.29405042039956E+022,1.31026306365062E+022,1.95461653114621E+022,2.95549999807802E+022,6.36799713113493E+021,2.73316575864119E+021,4.53845900047152E+020,6.91509876378694E+020,6.91509876378694E+020,8.32842963272376E+021,9.44107583080486E+022,1.04278387440157E+003,1.03918939917618E+003,1.06922282993408E+003,1.78755295290535E+004,1.04505582889359E+003,1.08285573984372E+003,1.11546034048322E+003,2.12289579450702E+004,3.59861928363289E+004,8.46529771940046E+003,7.37743261043501E+003,2.49078630687859E+003,2.43092176492146E+003,0.00000000000000E+000,0.00000000000000E+000,1.71399941124666E+004,3.54359083960184E+004,0.00000000000000E+000,4.81572157986583E+004,0.00000000000000E+000,0.00000000000000E+000,5.54685892338331E+000,9.18781547735640E-001,0.00000000000000E+000,0.00000000000000E+000,7.58838516387734E+000,1.91174763214048E+000,0.00000000000000E+000,1.93589750708396E+000,0.00000000000000E+000,0.00000000000000E+000,4.02125806478290E+003,3.60556155719044E+003,0.00000000000000E+000,0.00000000000000E+000,2.13265876782041E+004,3.56565354139047E+004,0.00000000000000E+000,4.80508881681166E+004,0.00000000000000E+000,0.00000000000000E+000,2.25223836897646E+004,1.54289214915692E+004,2.18391450563409E+004,0.00000000000000E+000,0.00000000000000E+000,3.01051223112348E+004,5.80470014558238E+004,3.64883454547907E+004,3.68463784591244E+004,1.77688499859066E+004,6.49981991734724E-001,6.50263028790500E-001,9.16359259336009E-002,0.00000000000000E+000,0.00000000000000E+000,8.36304201333924E-001,3.32208253856193E-001,3.25831921093073E+000,5.14415949328519E+000,1.88196721244462E+000,3.53903856587840E+003,3.43962266207297E+003,1.68484223027176E+003,1.78755295290535E+004,1.39694819935833E+004,2.16161682815730E+004,6.79131443555130E+003,3.64821321188295E+004,3.65295186443683E+004,1.20517577595657E+004,1.01057277999725E+004
