001-TIME,002-nPart-Spec-001     ,003-nPart-Spec-002     ,004-nPart-Spec-003     ,005-TempTra-001     ,006-TempTra-002     ,007-TempTra-003     ,008-TempVib001     ,009-TempVib002     ,010-XiVibMean001     ,011-XiVibMean002     ,012-TempRot001     ,013-TempRot002     ,014-TempTotal001     ,015-TempTotal002     ,016-TempTotal003     ,017-Pmean     ,018-Pmax     ,019-MeanFreePath     ,020-BGK-MeanRelaxFactor     ,021-BGK-MaxRelaxFactor     ,022-BGK-MaxRotRelaxFactor      
0,19979,19979,39958,8998.88523270236,999.876904952256,4999.38106882731,0,0,0,0,0,0,8998.88523270236,999.876904952256,4999.38106882731,0,0,0,0,0,0
1E-08,19979,19979,39958,6376.07427912001,3622.10555191928,4999.08991551965,0,0,0,0,0,0,6376.07427912001,3622.10555191928,4999.08991551965,0,0,2.1176053484756E-05,1.05869054704815,1.05869054704815,0
2E-08,19979,19979,39958,5674.78121774335,4322.99637969735,4998.88879872035,0,0,0,0,0,0,5674.78121774335,4322.99637969735,4998.88879872035,0,0,2.11758234610653E-05,0.722382122226976,0.722382122226976,0
3E-08,19979,19979,39958,5372.24136179743,4626.25747726722,4999.24941953233,0,0,0,0,0,0,5372.24136179743,4626.25747726722,4999.24941953233,0,0,2.11762359097735E-05,0.710736901836152,0.710736901836152,0
4E-08,19979,19979,39958,5180.46900741658,4817.44715259993,4998.95808000825,0,0,0,0,0,0,5180.46900741658,4817.44715259993,4998.95808000825,0,0,2.11759027010443E-05,0.710247682627382,0.710247682627382,0
5E-08,19979,19979,39958,5073.38281874965,4924.9229647593,4999.15289175447,0,0,0,0,0,0,5073.38281874965,4924.9229647593,4999.15289175447,0,0,2.11761255112932E-05,0.711305544924909,0.711305544924909,0
6E-08,19979,19979,39958,5053.78746488041,4944.7129720827,4999.25021848156,0,0,0,0,0,0,5053.78746488041,4944.7129720827,4999.25021848156,0,0,2.11762368235224E-05,0.712332850977826,0.712332850977826,0
7E-08,19979,19979,39958,5012.58636471252,4984.9395531154,4998.76295891396,0,0,0,0,0,0,5012.58636471252,4984.9395531154,4998.76295891396,0,0,2.11756795306337E-05,0.712575311154249,0.712575311154249,0
8E-08,19979,19979,39958,4996.05533022227,5002.1821274476,4999.11872883494,0,0,0,0,0,0,4996.05533022227,5002.1821274476,4999.11872883494,0,0,2.11760864389094E-05,0.713061333438893,0.713061333438893,0
9E-08,19979,19979,39958,4989.5813668863,5008.66007841615,4999.12072265123,0,0,0,0,0,0,4989.5813668863,5008.66007841615,4999.12072265123,0,0,2.11760887192572E-05,0.71331141593053,0.71331141593053,0
1E-07,19979,19979,39958,4972.70198914696,5025.28763603023,4998.99481258859,0,0,0,0,0,0,4972.70198914696,5025.28763603023,4998.99481258859,0,0,2.11759447133458E-05,0.713367891404858,0.713367891404858,0
