001-TIME,002-TempTra-001,003-TempTra-002,004-TempTra-003,005-TempVib001,006-TempVib002,007-XiVibMean001,008-XiVibMean002,009-TempRot001,010-TempRot002,011-TempTotal001,012-TempTotal002,013-TempTotal003
0.00000000000000E+000,8.99599229926460E+003,9.99861980945139E+002,4.99794715094178E+003,8.96087123335477E+003,1.00186334763337E+003,1.64516309682974E+000,5.23581447525691E-001,9.00588601899086E+003,9.99798352849110E+002,8.99027499157026E+003,1.00002865220442E+003,4.99517181799920E+003
5.00000000000000E-009,7.47489808292334E+003,2.54153062516571E+003,5.00822670011789E+003,8.85867058727199E+003,1.13788433254743E+003,1.64134631282090E+000,6.27143683298045E-001,8.60036098674668E+003,1.38103337013000E+003,8.15581058054636E+003,1.97263055858780E+003,5.06423604337779E+003
1.00000000000000E-008,6.75441039065918E+003,3.27450940183640E+003,5.01446860492666E+003,8.76119333845145E+003,1.25811502098161E+003,1.63762900125290E+000,7.09943438197354E-001,8.23332646836988E+003,1.73570418890330E+003,7.69513758537994E+003,2.48481044348811E+003,5.08998705361704E+003
1.50000000000000E-008,6.29090232223787E+003,3.75779585993811E+003,5.02435543035189E+003,8.65891056724110E+003,1.36991119111326E+003,1.63364508255844E+000,7.79919621446242E-001,7.90356537456915E+003,2.04930799341597E+003,7.36027082798162E+003,2.84440360091384E+003,5.10234851569958E+003
2.00000000000000E-008,5.94714419566825E+003,4.10253579213576E+003,5.02484461015467E+003,8.57624727076931E+003,1.47632298024648E+003,1.63036108810692E+000,8.40737743331207E-001,7.61335871405612E+003,2.33326268282091E+003,7.09622435673351E+003,3.11866993406566E+003,5.10745709948858E+003
2.50000000000000E-008,5.69819626947244E+003,4.35929492701634E+003,5.02874894893220E+003,8.48058834254985E+003,1.58039987895937E+003,1.62648693684757E+000,8.95254470319175E-001,7.35199557076154E+003,2.59029772023327E+003,6.88028913968842E+003,3.33714861285380E+003,5.10872774321104E+003
3.00000000000000E-008,5.51187721482163E+003,4.54839910217351E+003,5.03014056966430E+003,8.39582887360803E+003,1.67527470384305E+003,1.62298607705864E+000,9.41071319754004E-001,7.10788798312741E+003,2.83317764118392E+003,6.70056081375023E+003,3.51588197501210E+003,5.10822936424737E+003
3.50000000000000E-008,5.37478331623781E+003,4.68418237287446E+003,5.02948457282998E+003,8.31324695173771E+003,1.76680753468179E+003,1.61951179979300E+000,9.82092302783361E-001,6.89941073523782E+003,3.04576869169052E+003,6.55434634219977E+003,3.65745820607533E+003,5.10590952378878E+003
4.00000000000000E-008,5.28367590354573E+003,4.77201964738788E+003,5.02784905591991E+003,8.22795101788690E+003,1.85349925070742E+003,1.61585584527456E+000,1.01831839787078E+000,6.71444370734166E+003,3.24366918462665E+003,6.43531220569377E+003,3.77029731542283E+003,5.10281142993163E+003
4.50000000000000E-008,5.22310749797573E+003,4.84308943175758E+003,5.03309941588662E+003,8.13730982237650E+003,1.93773151646891E+003,1.61189342615579E+000,1.05128061524568E+000,6.54036061568495E+003,3.41611579505978E+003,6.33200162739469E+003,3.86671862601380E+003,5.09936629623552E+003
