001-TIME,002-nPart-Spec-001,003-TempTra-001,004-TempVib001,005-XiVibMean001,006-TempRot001,007-TempTotal001
0.00000000000000E+000,1.99790000000000E+004,9.99912160581587E+003,5.00216567877251E+003,1.39774873490521E+000,7.37449841153559E+003,8.08692784502983E+003
1.00000000000000E-008,1.99790000000000E+004,9.24177701555822E+003,5.43984798580593E+003,1.44064893121996E+000,8.08635152718713E+003,8.03256719008901E+003
2.00000000000000E-008,1.99790000000000E+004,8.83515577571919E+003,5.76519074662448E+003,1.46882373778095E+000,8.38202655625300E+003,7.99798720113042E+003
3.00000000000000E-008,1.99790000000000E+004,8.60508361681793E+003,6.00806043502597E+003,1.48809308387159E+000,8.48998989070889E+003,7.97395831778732E+003
4.00000000000000E-008,1.99790000000000E+004,8.48079512572721E+003,6.20897905585175E+003,1.50301874568538E+000,8.48121963244093E+003,7.95584921063053E+003
5.00000000000000E-008,1.99790000000000E+004,8.37069073247989E+003,6.37688857275603E+003,1.51484684730150E+000,8.48232816888722E+003,7.94135906766194E+003
6.00000000000000E-008,1.99790000000000E+004,8.33537325271221E+003,6.50724400389927E+003,1.52365187894360E+000,8.40822411757123E+003,7.93073320076404E+003
7.00000000000000E-008,1.99790000000000E+004,8.26852846574398E+003,6.64095313652917E+003,1.53236035261007E+000,8.37767134255961E+003,7.92014809036642E+003
8.00000000000000E-008,1.99790000000000E+004,8.20221480621682E+003,6.75841643446367E+003,1.53975435919620E+000,8.36078288834743E+003,7.91077287005818E+003
9.00000000000000E-008,1.99790000000000E+004,8.16923578860441E+003,6.85048793981740E+003,1.54538988777699E+000,8.32166011943605E+003,7.90444928113962E+003
1.00000000000000E-007,1.99790000000000E+004,8.15014905323140E+003,6.93176713412689E+003,1.55025228477855E+000,8.27020930020492E+003,7.89845205161990E+003
1.10000000000000E-007,1.99790000000000E+004,8.13659919362031E+003,7.01855019603755E+003,1.55533130839033E+000,8.20404878049710E+003,7.89190714663738E+003
1.20000000000000E-007,1.99790000000000E+004,8.08803997094518E+003,7.10892661166176E+003,1.56050103027823E+000,8.18996176903973E+003,7.88621639015143E+003
1.30000000000000E-007,1.99790000000000E+004,8.05161691390855E+003,7.19095486540069E+003,1.56509100590766E+000,8.16316942992739E+003,7.88042212038677E+003
1.40000000000000E-007,1.99790000000000E+004,8.01111459221388E+003,7.28332506996660E+003,1.57014706280236E+000,8.13238465652230E+003,7.87410145636269E+003
1.50000000000000E-007,1.99790000000000E+004,7.98559214058538E+003,7.33934923158923E+003,1.57315718098731E+000,8.11732212664111E+003,7.87100767529730E+003
1.60000000000000E-007,1.99790000000000E+004,7.96681086771717E+003,7.39604958996225E+003,1.57616130526745E+000,8.08937826311509E+003,7.86728821014151E+003
1.70000000000000E-007,1.99790000000000E+004,7.94290039505599E+003,7.44115699057383E+003,1.57852137934319E+000,8.08163107779989E+003,7.86468352902171E+003
1.80000000000000E-007,1.99790000000000E+004,7.93376562304872E+003,7.49195632559383E+003,1.58114820256993E+000,8.04487836822662E+003,7.86138608204284E+003
1.90000000000000E-007,1.99790000000000E+004,7.94254491263802E+003,7.52857984304861E+003,1.58302191125757E+000,7.99610877022747E+003,7.85927190096249E+003
2.00000000000000E-007,1.99790000000000E+004,7.91404756109800E+003,7.57262375994683E+003,1.58525331956918E+000,7.99547859090130E+003,7.85658870018770E+003
