001-TIME,002-TempTra-001     ,003-Pmean     ,004-Pmax     ,005-MeanFreePath      
    0.00000000000000E+000,    2.00009047336115E+002,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000 
    4.00000000000000E-007,    2.00829393776895E+002,    1.22719077232168E-001,    4.78880266479830E-001,    1.32885639382658E-003 
    8.00000000000000E-007,    2.01672496228257E+002,    1.22565518097751E-001,    5.33566315135279E-001,    1.33002597792390E-003 
    1.20000000000000E-006,    2.02494832835084E+002,    1.22527246835182E-001,    4.91101836145895E-001,    1.33116303956638E-003 
    1.60000000000000E-006,    2.03179863986369E+002,    1.23028915003598E-001,    4.80965926835175E-001,    1.33210746433723E-003 
    2.00000000000000E-006,    2.03885229048629E+002,    1.22735192750205E-001,    5.59336733930541E-001,    1.33307729768756E-003 
    2.40000000000000E-006,    2.04756825962984E+002,    1.23101566595060E-001,    4.81573941245293E-001,    1.33427203505192E-003 
    2.80000000000000E-006,    2.05361705715559E+002,    1.23336585200548E-001,    5.28756830652492E-001,    1.33509881162517E-003 
    3.20000000000000E-006,    2.06103354755230E+002,    1.22731844732704E-001,    4.61152947569912E-001,    1.33610990914224E-003 
    3.60000000000000E-006,    2.06970380027004E+002,    1.23468792840540E-001,    4.90223384277977E-001,    1.33728829556909E-003 
    4.00000000000000E-006,    2.07798624129740E+002,    1.23858056667332E-001,    5.71524177517734E-001,    1.33841033753821E-003 
    4.40000000000000E-006,    2.08549021284954E+002,    1.23497690030234E-001,    4.84748733860439E-001,    1.33942387194326E-003 
    4.80000000000000E-006,    2.09361086541063E+002,    1.23718312939717E-001,    4.67102419326707E-001,    1.34051745848805E-003 
    5.20000000000000E-006,    2.10061986770644E+002,    1.23587833086994E-001,    5.71519285993178E-001,    1.34145865101479E-003 
    5.60000000000000E-006,    2.10767993729328E+002,    1.23603661196056E-001,    5.86985021913661E-001,    1.34240419625400E-003 
    6.00000000000000E-006,    2.11557579652674E+002,    1.23909405600263E-001,    5.16661718182132E-001,    1.34345871823762E-003 
    6.40000000000000E-006,    2.12062441837367E+002,    1.23758798028356E-001,    5.45148987730982E-001,    1.34413135234216E-003 
    6.80000000000000E-006,    2.12823547653927E+002,    1.23983662961030E-001,    5.15746953930413E-001,    1.34514299580261E-003 
    7.20000000000000E-006,    2.13486599268951E+002,    1.24338134684077E-001,    5.64604308726046E-001,    1.34602198111700E-003 
    7.60000000000000E-006,    2.14172133239919E+002,    1.24542465584645E-001,    5.80301370855660E-001,    1.34692850584465E-003 
    8.00000000000000E-006,    2.14903572964283E+002,    1.24352510640494E-001,    5.69736652854890E-001,    1.34789321045155E-003 
    8.40000000000000E-006,    2.15635044407248E+002,    1.24358220766405E-001,    5.10654638256954E-001,    1.34885536628277E-003 
    8.80000000000000E-006,    2.16223544066416E+002,    1.24686061173728E-001,    4.90640578379830E-001,    1.34962759133375E-003 
    9.19999999999999E-006,    2.16892925753362E+002,    1.24867062793495E-001,    5.83456568947057E-001,    1.35050393342711E-003 
    9.59999999999999E-006,    2.17567149884146E+002,    1.24542571376010E-001,    5.14338000466593E-001,    1.35138445794238E-003 
    9.99999999999999E-006,    2.18289707024330E+002,    1.24928643090260E-001,    4.72985292803133E-001,    1.35232571473737E-003 
    1.04000000000000E-005,    2.18939173063995E+002,    1.24840407644751E-001,    5.62178253419561E-001,    1.35316965946081E-003 
    1.08000000000000E-005,    2.19618226045362E+002,    1.24951600721136E-001,    5.76966947927586E-001,    1.35404993843666E-003 
    1.12000000000000E-005,    2.20285329407337E+002,    1.25347241973926E-001,    4.73650991346489E-001,    1.35491263541167E-003 
    1.16000000000000E-005,    2.20882638053124E+002,    1.24849322407654E-001,    5.88322495952695E-001,    1.35568332441926E-003 
    1.20000000000000E-005,    2.21371969389026E+002,    1.25014000159166E-001,    6.22772788991475E-001,    1.35631346768243E-003 
    1.24000000000000E-005,    2.21865146765620E+002,    1.25208374289712E-001,    5.52343762138929E-001,    1.35694745132243E-003 
    1.28000000000000E-005,    2.22506237828933E+002,    1.25795445731392E-001,    6.52395084855709E-001,    1.35776991711200E-003 
    1.32000000000000E-005,    2.23420773918588E+002,    1.25661278040415E-001,    5.63195659949593E-001,    1.35893995575624E-003 
    1.36000000000000E-005,    2.23926101512735E+002,    1.25704735506017E-001,    5.20337795883851E-001,    1.35958483942025E-003 
    1.40000000000000E-005,    2.24757947903238E+002,    1.26022638176460E-001,    6.18736636922773E-001,    1.36064391682721E-003 
    1.44000000000000E-005,    2.25423044206232E+002,    1.25914595461187E-001,    5.12276698117068E-001,    1.36148846848553E-003 
    1.48000000000000E-005,    2.25979956190021E+002,    1.26200655119270E-001,    5.28357679815096E-001,    1.36219413274817E-003 
    1.52000000000000E-005,    2.26569316459693E+002,    1.25931587428312E-001,    5.21284290716152E-001,    1.36293941761751E-003 
    1.56000000000000E-005,    2.26899569393703E+002,    1.26315707266115E-001,    5.43709022147491E-001,    1.36335637486989E-003 
    1.60000000000000E-005,    2.27518312114525E+002,    1.26292446052815E-001,    5.09890007228128E-001,    1.36413627291172E-003 
    1.64000000000000E-005,    2.28206354201088E+002,    1.26383483016491E-001,    5.77700677277009E-001,    1.36500155466952E-003 
    1.68000000000000E-005,    2.28759483019903E+002,    1.26571652214563E-001,    5.56044166136669E-001,    1.36569567633544E-003 
    1.72000000000000E-005,    2.29489098836157E+002,    1.26735330459973E-001,    4.92958901341453E-001,    1.36660924652619E-003 
    1.76000000000000E-005,    2.30069764322430E+002,    1.26766502338650E-001,    6.12326748851988E-001,    1.36733467397473E-003 
    1.80000000000000E-005,    2.30839431883158E+002,    1.26643853330299E-001,    5.33963480631213E-001,    1.36829399648801E-003 
    1.84000000000000E-005,    2.31478326102292E+002,    1.27427679899501E-001,    5.52767466635565E-001,    1.36908840412933E-003 
    1.88000000000000E-005,    2.31893365486862E+002,    1.27204499938874E-001,    5.62426536707489E-001,    1.36960354072358E-003 
    1.92000000000000E-005,    2.32530675063353E+002,    1.27223701167851E-001,    5.51786806288478E-001,    1.37039313745792E-003 
    1.96000000000000E-005,    2.33108105598955E+002,    1.27331331154463E-001,    5.02625337582737E-001,    1.37110707199882E-003 
    2.00000000000000E-005,    2.33604449035929E+002,    1.27576907682623E-001,    5.56596695920804E-001,    1.37171963480106E-003 
    2.04000000000000E-005,    2.34147390132991E+002,    1.27117595205603E-001,    6.11291832017773E-001,    1.37238852975466E-003 
    2.08000000000000E-005,    2.34710602556242E+002,    1.27270359889366E-001,    5.73386130060541E-001,    1.37308110512210E-003 
    2.12000000000000E-005,    2.35302130541941E+002,    1.27314762318255E-001,    5.48350990137309E-001,    1.37380708765087E-003 
    2.16000000000000E-005,    2.35720294695589E+002,    1.27535541961341E-001,    5.20324795495776E-001,    1.37431943128390E-003 
    2.20000000000000E-005,    2.36193895990678E+002,    1.27809397587405E-001,    4.82672010386886E-001,    1.37489883129426E-003 
    2.24000000000000E-005,    2.36853997781644E+002,    1.27575047982240E-001,    5.75648564857730E-001,    1.37570486533676E-003 
    2.28000000000000E-005,    2.37299002196983E+002,    1.28253021943280E-001,    6.14564683009248E-001,    1.37624724838376E-003 
    2.32000000000000E-005,    2.37875925789785E+002,    1.28067585955802E-001,    6.26528927995907E-001,    1.37694922312408E-003 
    2.36000000000000E-005,    2.38516476950291E+002,    1.28322239517199E-001,    5.82106090082832E-001,    1.37772704312699E-003 
    2.40000000000000E-005,    2.39038836186478E+002,    1.28201965413304E-001,    5.36675785334873E-001,    1.37836012227012E-003 
    2.44000000000000E-005,    2.39492265484824E+002,    1.28390455629486E-001,    5.42947959265355E-001,    1.37890877551239E-003 
