001-TIME,002-TempTra-001     ,003-TempVib001     ,004-XiVibMean001     ,005-TempRot001     ,006-TempTotal001      
    0.00000000000000E+000,    4.01501946104590E+003,    4.02140300407749E+003,    1.48790556895990E+000,    4.02812831908211E+003,    4.02052444642511E+003 
    0.00000000000000E+000,    4.01501946104590E+003,    4.02140300407749E+003,    1.48790556895990E+000,    4.02812831908211E+003,    4.02052444642511E+003 
    1.00000000000000E-010,    4.34941094222086E+003,    4.26062794227636E+003,    1.51388079339142E+000,    4.25428378346567E+003,    4.29956950265454E+003 
    2.00000000000000E-010,    4.64953023444114E+003,    4.50321066563479E+003,    1.53768377891842E+000,    4.50889559768645E+003,    4.57209264062026E+003 
    3.00000000000000E-010,    4.92286090449757E+003,    4.74672304764386E+003,    1.55936074081110E+000,    4.75271525351060E+003,    4.82910881717966E+003 
    4.00000000000000E-010,    5.17904390726249E+003,    4.97496406957837E+003,    1.57792280076998E+000,    4.97758808081143E+003,    5.06883679417863E+003 
    5.00000000000000E-010,    5.34952448900816E+003,    5.20238040151452E+003,    1.59493451005305E+000,    5.18920623665162E+003,    5.26532021268662E+003 
    6.00000000000000E-010,    5.52163970927320E+003,    5.41241975166671E+003,    1.60947874904134E+000,    5.38205562024470E+003,    5.45280593340822E+003 
    7.00000000000000E-010,    5.69362820402637E+003,    5.57707112879072E+003,    1.62017364328621E+000,    5.54358542239302E+003,    5.61977390792375E+003 
    8.00000000000000E-010,    5.84364850785517E+003,    5.71396278147607E+003,    1.62863161065171E+000,    5.69618744905025E+003,    5.76729302141845E+003 
    9.00000000000000E-010,    5.93662811704880E+003,    5.81956618226035E+003,    1.63490462120734E+000,    5.84735382422343E+003,    5.88087242726519E+003 
    1.00000000000000E-009,    6.05183164705965E+003,    5.93744958122923E+003,    1.64166255525179E+000,    5.90333481682074E+003,    5.97884232986517E+003 
    1.10000000000000E-009,    6.08681350258067E+003,    6.02980218733700E+003,    1.64678539034875E+000,    6.00463598725173E+003,    6.04796157393849E+003 
