001-TIME,002-NumDens-Spe001     ,003-NumDens-Spe002     ,004-NumDens-Spe003      
    0.00000000000000E+000,    5.00051167445338E+020,    5.00247008721895E+020,    1.00029817616723E+021 
    1.00000000000000E-008,    4.93953256065151E+020,    4.94984510094155E+020,    9.88937766159306E+020 
    2.00000000000000E-008,    4.81289861802333E+020,    4.80501599138338E+020,    9.61791460940671E+020 
    3.00000000000000E-008,    4.68644921374287E+020,    4.67595762547144E+020,    9.36240683921430E+020 
    4.00000000000000E-008,    4.58054264619802E+020,    4.58150333370217E+020,    9.16204597990019E+020 
    5.00000000000000E-008,    4.47021170065557E+020,    4.47992610583029E+020,    8.95013780648587E+020 
    6.00000000000000E-008,    4.36314678136806E+020,    4.36225670861816E+020,    8.72540348998622E+020 
    7.00000000000000E-008,    4.26512319415717E+020,    4.24033564525372E+020,    8.50545883941089E+020 
    8.00000000000000E-008,    4.14652913540662E+020,    4.12222624521327E+020,    8.26875538061988E+020 
    9.00000000000000E-008,    4.03872154151820E+020,    4.02359170294830E+020,    8.06231324446651E+020 
    1.00000000000000E-007,    3.94607283797030E+020,    3.91389384121860E+020,    7.85996667918890E+020 
    1.10000000000000E-007,    3.83961314164896E+020,    3.81253481813366E+020,    7.65214795978263E+020 
    1.20000000000000E-007,    3.74447423171640E+020,    3.71950547486865E+020,    7.46397970658505E+020 
    1.30000000000000E-007,    3.65347699956161E+020,    3.61940721679438E+020,    7.27288421635599E+020 
    1.40000000000000E-007,    3.57409431769996E+020,    3.53452446136530E+020,    7.10861877906526E+020 
    1.50000000000000E-007,    3.46702013314667E+020,    3.45846610310778E+020,    6.92548623625444E+020 
    1.60000000000000E-007,    3.37316036756483E+020,    3.37280002874440E+020,    6.74596039630924E+020 
    1.70000000000000E-007,    3.29277992036341E+020,    3.29380346773325E+020,    6.58658338809666E+020 
    1.80000000000000E-007,    3.21083641572034E+020,    3.21206634723946E+020,    6.42290276295980E+020 
    1.90000000000000E-007,    3.12713298293528E+020,    3.14404661806031E+020,    6.27117960099559E+020 
    2.00000000000000E-007,    3.04128706970720E+020,    3.06204656754856E+020,    6.10333363725576E+020 
    2.10000000000000E-007,    2.96995499319839E+020,    2.99021968500932E+020,    5.96017467820771E+020 
    2.20000000000000E-007,    2.90121791439557E+020,    2.90868736295279E+020,    5.80990527734836E+020 
    2.30000000000000E-007,    2.83002007019839E+020,    2.83201864726954E+020,    5.66203871746793E+020 
    2.40000000000000E-007,    2.76481991914292E+020,    2.77236877899310E+020,    5.53718869813602E+020 
    2.50000000000000E-007,    2.69644048112780E+020,    2.71041396760984E+020,    5.40685444873764E+020 
    2.60000000000000E-007,    2.63080240037419E+020,    2.64894481034912E+020,    5.27974721072331E+020 
    2.70000000000000E-007,    2.55981508852227E+020,    2.57419206485896E+020,    5.13400715338123E+020 
    2.80000000000000E-007,    2.50045688458136E+020,    2.51843987543477E+020,    5.01889676001613E+020 
    2.90000000000000E-007,    2.43386388867880E+020,    2.44394211460018E+020,    4.87780600327899E+020 
    3.00000000000000E-007,    2.37733975958163E+020,    2.38341025477101E+020,    4.76075001435264E+020 
    3.10000000000000E-007,    2.31902229696162E+020,    2.32338440649663E+020,    4.64240670345825E+020 
    3.20000000000000E-007,    2.26182130194934E+020,    2.26403509604727E+020,    4.52585639799661E+020 
    3.30000000000000E-007,    2.21049661633937E+020,    2.19835974686561E+020,    4.40885636320498E+020 
    3.40000000000000E-007,    2.16011045320757E+020,    2.14573659964857E+020,    4.30584705285614E+020 
    3.50000000000000E-007,    2.11070218309262E+020,    2.08562383824939E+020,    4.19632602134201E+020 
    3.60000000000000E-007,    2.05382155829676E+020,    2.02940932240689E+020,    4.08323088070366E+020 
    3.70000000000000E-007,    2.00169661628054E+020,    1.98903218159277E+020,    3.99072879787331E+020 
    3.80000000000000E-007,    1.93951607457109E+020,    1.94461568783616E+020,    3.88413176240725E+020 
    3.90000000000000E-007,    1.88486888842011E+020,    1.88984769677523E+020,    3.77471658519535E+020 
    4.00000000000000E-007,    1.83493346739464E+020,    1.84498291984445E+020,    3.67991638723908E+020 
    4.10000000000000E-007,    1.78431716786982E+020,    1.79628614609817E+020,    3.58060331396799E+020 
    4.20000000000000E-007,    1.73816343343352E+020,    1.75336084569929E+020,    3.49152427913281E+020 
    4.30000000000000E-007,    1.69717706167820E+020,    1.70637748055617E+020,    3.40355454223437E+020 
    4.40000000000000E-007,    1.64786038457786E+020,    1.66528402377883E+020,    3.31314440835669E+020 
    4.50000000000000E-007,    1.60787542640514E+020,    1.61728893779591E+020,    3.22516436420104E+020 
    4.60000000000000E-007,    1.57145218599221E+020,    1.57738699599724E+020,    3.14883918198945E+020 
    4.70000000000000E-007,    1.54095470119432E+020,    1.53306443736473E+020,    3.07401913855905E+020 
    4.80000000000000E-007,    1.50205426408428E+020,    1.49473125683130E+020,    2.99678552091558E+020 
    4.90000000000000E-007,    1.46664576095804E+020,    1.45016264924089E+020,    2.91680841019893E+020 
    5.00000000000000E-007,    1.44617032855960E+020,    1.39831379834270E+020,    2.84448412690230E+020 
