  TIME     ,002-nPart-Spec-001     ,003     -Charge     ,004-Charge-absError     ,005-Charge-relError     ,006-nPartIn-Spec-001     ,007-nPartOut-Spec-001     ,008-Ekin-001     ,009-EkinIn-001     ,010-EkinOut-001      
    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000 
    9.60964896365235E-013,    2.62000000000000E+002,    0.00000000000000E+000,    4.19770250860001E-011,   -1.00000000000000E+000,    2.62000000000000E+002,    0.00000000000000E+000,    3.41063328823788E-006,    3.41063328823788E-006,    0.00000000000000E+000 
    1.92192979273047E-012,    5.23000000000000E+002,   -4.19770250860000E-011,    4.18168074329992E-011,   -4.99043977055445E-001,    2.61000000000000E+002,    0.00000000000000E+000,    6.80612692019148E-006,    3.39761560393163E-006,    0.00000000000000E+000 
    2.88289468909570E-012,    7.85000000000000E+002,   -8.37938325190000E-011,    4.19770250859976E-011,   -3.33757961783427E-001,    2.62000000000000E+002,    0.00000000000000E+000,    1.02124982216162E-005,    3.41063328823788E-006,    0.00000000000000E+000 
    3.84385958546094E-012,    1.04800000000000E+003,   -1.25770857605000E-010,    4.21372427389963E-011,   -2.50954198473266E-001,    2.63000000000000E+002,    0.00000000000000E+000,    1.36296815431753E-005,    3.42365097254413E-006,    0.00000000000000E+000 
    4.80482448182617E-012,    1.30900000000000E+003,   -1.67908100344000E-010,    4.18168074329944E-011,   -1.99388846447649E-001,    2.61000000000000E+002,    0.00000000000000E+000,    1.70185283632885E-005,    3.39761560393163E-006,    0.00000000000000E+000 
    5.76578937819141E-012,    1.57100000000000E+003,   -2.09724907777000E-010,    4.19770250859927E-011,   -1.66772756206214E-001,    2.62000000000000E+002,    0.00000000000000E+000,    2.04180014379401E-005,    3.41063328823788E-006,    0.00000000000000E+000 
    6.72675427455664E-012,    1.83300000000000E+003,   -2.51701932863000E-010,    4.19770250859912E-011,   -1.42935079105266E-001,    2.62000000000000E+002,    0.00000000000000E+000,    2.38149618276396E-005,    3.41063328823788E-006,    0.00000000000000E+000 
    7.68771917092188E-012,    2.09500000000000E+003,   -2.93678957949000E-010,    4.19770250859894E-011,   -1.25059665871094E-001,    2.62000000000000E+002,    0.00000000000000E+000,    2.72093019036803E-005,    3.41063328823788E-006,    0.00000000000000E+000 
    8.64868406728711E-012,    2.35700000000000E+003,   -3.35655983035001E-010,    4.19770250859874E-011,   -1.11158252015244E-001,    2.62000000000000E+002,    0.00000000000000E+000,    3.06009259093408E-005,    3.41063328823788E-006,    0.00000000000000E+000 
    9.60964896365235E-012,    2.61800000000000E+003,   -3.77633008121001E-010,    4.18168074329860E-011,   -9.96944232238047E-002,    2.61000000000000E+002,    0.00000000000000E+000,    3.39767327041329E-005,    3.39761560393163E-006,    0.00000000000000E+000 
    1.05706138600176E-011,    2.88100000000000E+003,   -4.19449815554001E-010,    4.21372427389844E-011,   -9.12877473099309E-002,    2.63000000000000E+002,    0.00000000000000E+000,    3.73757210120937E-005,    3.42365097254413E-006,    0.00000000000000E+000 
    1.15315787563828E-011,    3.14200000000000E+003,   -4.61587058293001E-010,    4.18168074329830E-011,   -8.30681094843738E-002,    2.61000000000000E+002,    0.00000000000000E+000,    4.07457608388489E-005,    3.39761560393163E-006,    0.00000000000000E+000 
    1.24925436527481E-011,    3.40500000000000E+003,   -5.03403865726001E-010,    4.21372427389809E-011,   -7.72393538913039E-002,    2.63000000000000E+002,    0.00000000000000E+000,    4.41389016688532E-005,    3.42365097254413E-006,    0.00000000000000E+000 
    1.34535085491133E-011,    3.66600000000000E+003,   -5.45541108465001E-010,    4.18168074329797E-011,   -7.11947626840922E-002,    2.61000000000000E+002,    0.00000000000000E+000,    4.75030164971535E-005,    3.39761560393163E-006,    0.00000000000000E+000 
    1.44144734454785E-011,    3.92800000000000E+003,   -5.87357915898001E-010,    4.19770250859777E-011,   -6.67006109979302E-002,    2.62000000000000E+002,    0.00000000000000E+000,    5.08771587350182E-005,    3.41063328823788E-006,    0.00000000000000E+000 
    1.53754383418438E-011,    4.19000000000000E+003,   -6.29334940984001E-010,    4.19770250859763E-011,   -6.25298329355277E-002,    2.62000000000000E+002,    0.00000000000000E+000,    5.42482802466129E-005,    3.41063328823788E-006,    0.00000000000000E+000 
    1.63364032382090E-011,    4.45200000000000E+003,   -6.71311966070001E-010,    4.19770250859744E-011,   -5.88499550763363E-002,    2.62000000000000E+002,    0.00000000000000E+000,    5.76163583528877E-005,    3.41063328823788E-006,    0.00000000000000E+000 
    1.72973681345742E-011,    4.71400000000000E+003,   -7.13288991156001E-010,    4.19770250859730E-011,   -5.55791260076030E-002,    2.62000000000000E+002,    0.00000000000000E+000,    6.09813721879286E-005,    3.41063328823788E-006,    0.00000000000000E+000 
    1.82583330309395E-011,    4.97500000000000E+003,   -7.55266016242001E-010,    4.18168074329717E-011,   -5.24623115577552E-002,    2.61000000000000E+002,    0.00000000000000E+000,    6.43302895669400E-005,    3.39761560393163E-006,    0.00000000000000E+000 
    1.92192979273047E-011,    5.23700000000000E+003,   -7.97082823675002E-010,    4.19770250859689E-011,   -5.00286423524565E-002,    2.62000000000000E+002,    0.00000000000000E+000,    6.76891454188341E-005,    3.41063328823788E-006,    0.00000000000000E+000 
    2.01802628236699E-011,    5.49900000000000E+003,   -8.39059848761002E-010,    4.19770250859676E-011,   -4.76450263683955E-002,    2.62000000000000E+002,    0.00000000000000E+000,    7.10448804486562E-005,    3.41063328823788E-006,    0.00000000000000E+000 
    2.11412277200352E-011,    5.76100000000000E+003,   -8.81036873847001E-010,    4.19770250859666E-011,   -4.54782155875370E-002,    2.62000000000000E+002,    0.00000000000000E+000,    7.43974692144925E-005,    3.41063328823788E-006,    0.00000000000000E+000 
    2.21021926164004E-011,    6.02200000000000E+003,   -9.23013898933001E-010,    4.18168074329649E-011,   -4.33410826967436E-002,    2.61000000000000E+002,    0.00000000000000E+000,    7.77338803558674E-005,    3.39761560393163E-006,    0.00000000000000E+000 
    2.30631575127656E-011,    6.28400000000000E+003,   -9.64830706366001E-010,    4.19770250859641E-011,   -4.16931890515253E-002,    2.62000000000000E+002,    0.00000000000000E+000,    8.10801537708542E-005,    3.41063328823788E-006,    0.00000000000000E+000 
    2.40241224091309E-011,    6.54600000000000E+003,   -1.00680773145200E-009,    4.19770250859639E-011,   -4.00244424075441E-002,    2.62000000000000E+002,    0.00000000000000E+000,    8.44232654597483E-005,    3.41063328823788E-006,    0.00000000000000E+000 
    2.49850873054961E-011,    6.80800000000000E+003,   -1.04878475653800E-009,    4.19770250859637E-011,   -3.84841363101913E-002,    2.62000000000000E+002,    0.00000000000000E+000,    8.77632285566830E-005,    3.41063328823788E-006,    0.00000000000000E+000 
    2.59460522018614E-011,    7.07000000000000E+003,   -1.09076178162400E-009,    4.19770250859637E-011,   -3.70579915134063E-002,    2.62000000000000E+002,    0.00000000000000E+000,    9.11000558049489E-005,    3.41063328823788E-006,    0.00000000000000E+000 
    2.69070170982266E-011,    7.33200000000000E+003,   -1.13273880670999E-009,    4.19770250859643E-011,   -3.57337697762938E-002,    2.62000000000000E+002,    0.00000000000000E+000,    9.44337717672667E-005,    3.41063328823788E-006,    0.00000000000000E+000 
    2.78679819945918E-011,    7.59300000000000E+003,   -1.17471583179599E-009,    4.18168074329641E-011,   -3.43737653101258E-002,    2.61000000000000E+002,    0.00000000000000E+000,    9.77513867256262E-005,    3.39761560393163E-006,    0.00000000000000E+000 
    2.88289468909571E-011,    7.85600000000000E+003,   -1.21653263922899E-009,    4.21372427389657E-011,   -3.34775967413182E-002,    2.63000000000000E+002,    0.00000000000000E+000,    1.01091993348428E-004,    3.42365097254413E-006,    0.00000000000000E+000 
    2.97899117873223E-011,    8.11700000000000E+003,   -1.25866988196799E-009,    4.18168074329637E-011,   -3.21547369717608E-002,    2.61000000000000E+002,    0.00000000000000E+000,    1.04403545560641E-004,    3.39761560393163E-006,    0.00000000000000E+000 
    3.00000000000000E-011,    8.17500000000000E+003,   -1.30048668940099E-009,    9.29262387396408E-012,   -7.09480122321442E-003,    5.80000000000000E+001,    0.00000000000000E+000,    1.05153470628418E-004,    7.55025689762584E-007,    0.00000000000000E+000 
