  TIME     ,002-nPart-Spec-001,003-nPart-Spec-002,004 TempTra001     ,005 TempTra002     ,006 TempVib001     ,007 XiVibMean001     ,008 TempRot001     ,009 TempTotal001     ,010 TempTotal002     ,011 Pmean     ,012 Pmax                   
     0.00000000000000E+00,                   200000,                   200000,     0.99999926709109E+04,     0.99999926709109E+04,     0.50085272022419E+04,     0.66705236545901E+01,     0.75090640844446E+04,     0.67201445007987E+04,     0.67201445007987E+04,     0.00000000000000E+00,     0.00000000000000E+00 
     0.20000000000000E-08,                   200000,                   200000,     0.99999605645899E+04,     0.99999605645899E+04,     0.50191843379066E+04,     0.66731117687877E+01,     0.75090640844446E+04,     0.67258490703042E+04,     0.67258490703042E+04,     0.44588584084656E-01,     0.73035237573590E-01 
     0.40000000000000E-08,                   200000,                   200000,     0.99999480300066E+04,     0.99999480300066E+04,     0.50292934829214E+04,     0.66755575671380E+01,     0.75090640844446E+04,     0.67312682905513E+04,     0.67312682905513E+04,     0.44598502342968E-01,     0.76837103057094E-01 
     0.60000000000000E-08,                   200000,                   200000,     0.99999690784978E+04,     0.99999690784978E+04,     0.50393331800171E+04,     0.66779777138240E+01,     0.75090640844446E+04,     0.67366621174438E+04,     0.67366621174438E+04,     0.44591653173072E-01,     0.75232235524127E-01 
     0.80000000000000E-08,                   200000,                   200000,     0.99999672242389E+04,     0.99999672242389E+04,     0.50500692613815E+04,     0.66805560255569E+01,     0.75090640844446E+04,     0.67424273555892E+04,     0.67424273555892E+04,     0.44598105075302E-01,     0.72399554332358E-01 
     0.10000000000000E-07,                   200000,                   200000,     0.99999831649949E+04,     0.99999831649949E+04,     0.50613434398743E+04,     0.66832528296698E+01,     0.75090640844446E+04,     0.67484900549373E+04,     0.67484900549373E+04,     0.44571009204956E-01,     0.73499962061415E-01 
     0.12000000000000E-07,                   200000,                   200000,     0.99999927723777E+04,     0.99999927723777E+04,     0.50718895932363E+04,     0.66857655927176E+01,     0.75090640844446E+04,     0.67541634985158E+04,     0.67541634985158E+04,     0.44571645378346E-01,     0.73285717927426E-01 
     0.14000000000000E-07,                   200000,                   200000,     0.99999818710340E+04,     0.99999818710340E+04,     0.50819618791316E+04,     0.66881565703538E+01,     0.75090640844446E+04,     0.67595800961966E+04,     0.67595800961966E+04,     0.44566629059026E-01,     0.73264233777210E-01 
     0.16000000000000E-07,                   200000,                   200000,     0.99999778362909E+04,     0.99999778362909E+04,     0.50917579379075E+04,     0.66904736993446E+01,     0.75090640844446E+04,     0.67648528433193E+04,     0.67648528433193E+04,     0.44569547054538E-01,     0.72516351245088E-01 
     0.18000000000000E-07,                   200000,                   200000,     0.99999828028397E+04,     0.99999828028397E+04,     0.51035001121772E+04,     0.66932404610972E+01,     0.75090640844446E+04,     0.67711794933889E+04,     0.67711794933889E+04,     0.44550296426734E-01,     0.73032396631239E-01 
