  TIME     ,002-nPart-Spec-001,003-nPart-Spec-002,004 TempTra001     ,005 TempTra002     ,006 TempVib001     ,007 XiVibMean001     ,008 TempRot001     ,009 TempTotal001     ,010 TempTotal002     ,011 Pmean     ,012 Pmax                   
     0.00000000000000E+00,                   200000,                   200000,     0.99999926709108E+04,     0.99999926709108E+04,     0.49978047754636E+04,     0.13970243864473E+01,     0.75194571913604E+04,     0.81320539680433E+04,     0.81320539680433E+04,     0.00000000000000E+00,     0.00000000000000E+00 
     0.20000000000000E-08,                   200000,                   200000,     0.99999682883204E+04,     0.99999682883204E+04,     0.50097445325189E+04,     0.13982827376834E+01,     0.75194571913604E+04,     0.81340354406642E+04,     0.81340354406642E+04,     0.37796731062256E-01,     0.74675327874688E-01 
     0.40000000000000E-08,                   200000,                   200000,     0.99999911538321E+04,     0.99999911538321E+04,     0.50192489377763E+04,     0.13992807364395E+01,     0.75194571913604E+04,     0.81356371658745E+04,     0.81356371658745E+04,     0.37794070330254E-01,     0.72184958993692E-01 
     0.60000000000000E-08,                   200000,                   200000,     0.99999564017591E+04,     0.99999564017591E+04,     0.50289811659025E+04,     0.14002992888045E+01,     0.75194571913604E+04,     0.81372542107715E+04,     0.81372542107715E+04,     0.37817996149563E-01,     0.69419111144948E-01 
     0.80000000000000E-08,                   200000,                   200000,     0.99999105868396E+04,     0.99999105868396E+04,     0.50387296013910E+04,     0.14013161369238E+01,     0.75194571913604E+04,     0.81388730268681E+04,     0.81388730268681E+04,     0.37820127673491E-01,     0.69663660920097E-01 
     0.10000000000000E-07,                   200000,                   200000,     0.99999164157019E+04,     0.99999164157019E+04,     0.50494988303787E+04,     0.14024355263576E+01,     0.75194571913604E+04,     0.81406927044062E+04,     0.81406927044062E+04,     0.37880252220568E-01,     0.69924176622310E-01 
     0.12000000000000E-07,                   200000,                   200000,     0.99999665176873E+04,     0.99999665176873E+04,     0.50585394259211E+04,     0.14033720610434E+01,     0.75194571913604E+04,     0.81422454198782E+04,     0.81422454198782E+04,     0.37835716029761E-01,     0.72067538638626E-01 
     0.14000000000000E-07,                   200000,                   200000,     0.99999358132064E+04,     0.99999358132064E+04,     0.50683540702868E+04,     0.14043855167406E+01,     0.75194571913604E+04,     0.81438952630241E+04,     0.81438952630241E+04,     0.37814538097885E-01,     0.71895831687063E-01 
     0.16000000000000E-07,                   200000,                   200000,     0.99999548102485E+04,     0.99999548102485E+04,     0.50780968370482E+04,     0.14053882052734E+01,     0.75194571913604E+04,     0.81455603534747E+04,     0.81455603534747E+04,     0.37814185551185E-01,     0.70465904364955E-01 
     0.18000000000000E-07,                   200000,                   200000,     0.99999842860961E+04,     0.99999842860961E+04,     0.50865523674158E+04,     0.14062557275229E+01,     0.75194571913604E+04,     0.81470148649863E+04,     0.81470148649863E+04,     0.37809983534805E-01,     0.73876584501734E-01 
