001-TIME,002-PCoupled,003-PCoupledMoAv
0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000
4.91642000000000E-011,8.18742833724062E-022,8.18742833724062E-022
9.83284000000000E-011,1.38540177902582E-012,6.92651534486595E-013
1.47492600000000E-010,2.77070632581824E-012,1.38527066350885E-012
1.96656800000000E-010,4.15581641496796E-012,2.07783308738837E-012
2.45821000000000E-010,5.54063483471337E-012,2.77031450819226E-012
2.94985200000000E-010,6.92506439376323E-012,3.46269063182140E-012
3.44149400000000E-010,8.30900792811786E-012,4.15493716916543E-012
3.93313600000000E-010,9.69236830788847E-012,4.84702983724974E-012
4.42477800000000E-010,1.10750484441140E-011,5.53894436036626E-012
4.91642000000000E-010,1.24569512955753E-011,6.23065647121638E-012
5.40806200000000E-010,1.38379798756057E-011,6.92214191203770E-012
5.89970400000000E-010,1.52180372588978E-011,7.61337643574425E-012
6.39134600000000E-010,1.65970265883062E-011,8.30433580705823E-012
6.88298800000000E-010,1.79748510816451E-011,8.99499580364132E-012
7.37463000000000E-010,1.93514140384810E-011,9.68533221722934E-012
7.86627200000000E-010,2.07266188469191E-011,1.03753208547622E-011
8.35791400000000E-010,2.21003689903845E-011,1.10649375395153E-011
8.84955600000000E-010,2.34725680543952E-011,1.17541581122297E-011
9.34119800000000E-010,2.48431197333296E-011,1.24429584322389E-011
9.83284000000000E-010,2.62119278371851E-011,1.31313143785989E-011
1.03244820000000E-009,2.75788962983292E-011,1.38192018512156E-011
1.08161240000000E-009,2.89439291782416E-011,1.45065967719677E-011
1.13077660000000E-009,3.03069306742481E-011,1.51934750858342E-011
1.17994080000000E-009,3.16678051262435E-011,1.58798127620159E-011
1.22910500000000E-009,3.30264570234063E-011,1.65655857950585E-011
1.27826920000000E-009,3.43827910109012E-011,1.72507702059737E-011
1.32743340000000E-009,3.57367118965718E-011,1.79353420433572E-011
1.37659760000000E-009,3.70881246576214E-011,1.86192773845085E-011
1.42576180000000E-009,3.84369344472820E-011,1.93025523365453E-011
1.47492600000000E-009,3.97830466014713E-011,1.99851430375203E-011
1.52409020000000E-009,4.11263666454360E-011,2.06670256575331E-011
1.57325440000000E-009,4.24668003003828E-011,2.13481763998424E-011
1.62241860000000E-009,4.38042534900949E-011,2.20285715019760E-011
1.67158280000000E-009,4.51386323475349E-011,2.27081872368383E-011
1.72074700000000E-009,4.64698432214325E-011,2.33869999138169E-011
1.76991120000000E-009,4.77977926828572E-011,2.40649858798866E-011
