001-TIME,002-PCoupled,003-PCoupledMoAv
0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000
4.42477800000000E-010,1.17661030934652E-011,6.23098453450301E-012
8.84955600000000E-010,2.41580558316611E-011,1.24442689932376E-011
1.32743340000000E-009,3.64127377248009E-011,1.86222204283033E-011
1.76991120000000E-009,4.84605152497616E-011,2.47473395722809E-011
2.21238900000000E-009,6.02329305549088E-011,3.08023270544961E-011
2.65486680000000E-009,7.16630904511320E-011,3.67701487095477E-011
3.09734460000000E-009,8.26860465121583E-011,4.26340997589033E-011
3.53982240000000E-009,9.32391641243393E-011,4.83778675933827E-011
3.98230020000000E-009,1.03262478388898E-010,5.39855928906259E-011
4.42477800000000E-009,1.12699034854327E-010,5.94419288091725E-011
4.86725580000001E-009,1.21495213142835E-010,6.47320980094127E-011
5.30973360000001E-009,1.29601031631921E-010,6.98419472614719E-011
5.75221140000001E-009,1.36970431459827E-010,7.47579994109376E-011
6.19468920000002E-009,1.43561538241091E-010,7.94675024852336E-011
6.63716700000002E-009,1.49336900005073E-010,8.39584757363037E-011
7.07964480000002E-009,1.54263700005452E-010,8.82197524290434E-011
7.52212260000003E-009,1.58313943191458E-010,9.22410191995462E-011
7.96460040000003E-009,1.61464615281286E-010,9.60128518226371E-011
8.40707820000003E-009,1.63697813533784E-010,9.95267472442943E-011
8.84955600000004E-009,1.65000848475368E-010,1.02775151751310E-010
9.29203380000004E-009,1.65366316004119E-010,1.05751485167873E-010
9.73451160000004E-009,1.64792139461349E-010,1.08450160986537E-010
1.01769894000000E-008,1.63281581431589E-010,1.10866602359266E-010
1.06194672000000E-008,1.60843225203937E-010,1.12997253892719E-010
1.10619450000001E-008,1.57490926000114E-010,1.14839589210694E-010
1.15044228000001E-008,1.53243732246359E-010,1.16392114265536E-010
1.19469006000001E-008,1.48125777336510E-010,1.17654366399209E-010
1.23893784000001E-008,1.42166142501286E-010,1.18626909173637E-010
1.28318562000001E-008,1.35398691563000E-010,1.19311323008700E-010
1.32743340000001E-008,1.27861878514623E-010,1.19710191684772E-010
1.37168118000001E-008,1.19598529016606E-010,1.19827084784985E-010
1.41592896000001E-008,1.10655597053014E-010,1.19666536170246E-010
1.46017674000001E-008,1.01083898129718E-010,1.19234018597421E-010
1.50442452000001E-008,9.09378205306490E-011,1.18535914607954E-010
1.54867230000001E-008,8.02750162728305E-011,1.17579483830414E-010
1.59292008000001E-008,6.91560735162254E-011,1.16372826855948E-010
1.63716786000000E-008,5.76441722898461E-011,1.14924845860391E-010
1.68141564000000E-008,4.58047254903495E-011,1.13245202160621E-010
1.72566342000000E-008,3.37050071930373E-011,1.11344270905794E-010
1.76991120000000E-008,2.14137703872720E-011,1.09233093116055E-010
1.81415898000000E-008,9.00085630841070E-012,1.06923325292333E-010
1.85840676000000E-008,3.46320241388923E-012,1.04460045349876E-010
1.90265454000000E-008,1.59075825360044E-011,1.02271984087812E-010
1.94690232000000E-008,2.82615726320044E-011,1.00465196871171E-010
1.99115010000000E-008,4.04549748899415E-011,9.90113886709344E-011
2.03539787999999E-008,5.24185039896843E-011,9.78832089690215E-011
