001-TIME,002-PCoupled     ,003-PCoupledMoAv      
    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000 
    4.91642000000000E-011,    6.92655643023204E-013,    6.92655643023204E-013 
    9.83284000000000E-011,    2.07807228327919E-012,    1.38528692473101E-012 
    1.47492600000000E-010,    3.46329175373336E-012,    2.07786960260184E-012 
    1.96656800000000E-010,    4.84826815853162E-012,    2.77037937732578E-012 
    2.45821000000000E-010,    6.23290429529479E-012,    3.46279195311110E-012 
    2.94985200000000E-010,    7.61710298552487E-012,    4.15508303873842E-012 
    3.44149400000000E-010,    9.00076708142534E-012,    4.84722834866769E-012 
    3.93313600000000E-010,    1.03837994727194E-011,    5.53920360417820E-012 
    4.42477800000000E-010,    1.17661030934652E-011,    6.23098453450301E-012 
    4.91642000000000E-010,    1.31475809288690E-011,    6.92254687796212E-012 
    5.40806200000000E-010,    1.45281360220929E-011,    7.61386638309704E-012 
    5.89970400000000E-010,    1.59076714810606E-011,    8.30491880980096E-012 
    6.39134600000000E-010,    1.72860904852571E-011,    8.99567993045877E-012 
    6.88298800000000E-010,    1.86632962925239E-011,    9.68612553107332E-012 
    7.37463000000000E-010,    2.00391922458492E-011,    1.03762314124005E-011 
    7.86627200000000E-010,    2.14136817801507E-011,    1.10659733910786E-011 
    8.35791400000000E-010,    2.27866684290537E-011,    1.17553273007601E-011 
    8.84955600000000E-010,    2.41580558316611E-011,    1.24442689932376E-011 
    9.34119800000000E-010,    2.55277477393164E-011,    1.31327743395773E-011 
    9.83284000000000E-010,    2.68956480223586E-011,    1.38208192312424E-011 
    1.03244820000000E-009,    2.82616606768692E-011,    1.45083795812197E-011 
    1.08161240000000E-009,    2.96256898314098E-011,    1.51954313251466E-011 
    1.13077660000000E-009,    3.09876397537510E-011,    1.58819504224343E-011 
    1.17994080000000E-009,    3.23474148575906E-011,    1.65679128573887E-011 
    1.22910500000000E-009,    3.37049197092632E-011,    1.72532946403346E-011 
    1.27826920000000E-009,    3.50600590344369E-011,    1.79380718087335E-011 
    1.32743340000000E-009,    3.64127377248009E-011,    1.86222204283033E-011 
    1.37659760000000E-009,    3.77628608447401E-011,    1.93057165941349E-011 
    1.42576180000000E-009,    3.91103336379978E-011,    1.99885364318081E-011 
    1.47492600000000E-009,    4.04550615343267E-011,    2.06706560985053E-011 
    1.52409020000000E-009,    4.17969501561255E-011,    2.13520517841239E-011 
    1.57325440000000E-009,    4.31359053250629E-011,    2.20326997123863E-011 
    1.62241860000000E-009,    4.44718330686874E-011,    2.27125761419511E-011 
    1.67158280000000E-009,    4.58046396270226E-011,    2.33916573675165E-011 
