"time","Procs","MinWeight","MaxWeight","CurrentImbalance","TargetWeight (mean)","nLoadBalanceSteps","WeightSum","SimulationEfficiency","PID","SimulationWallTime","InitializationWallTime"
0.7500000000000000E-006,0.1000000000000000E+001,-.1000000000000000E+001,-.1000000000000000E+001,-.1000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1053193239084809E-003,0.5395612995692369E-003,0.2604079429313060E+002,0.1799154041702423E+001
0.1500000000000000E-005,0.1000000000000000E+001,-.1000000000000000E+001,-.1000000000000000E+001,-.1000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1154588238423711E-003,0.4697474195198153E-003,0.4717439364268284E+002,0.1799154041702423E+001
0.2250000000000000E-005,0.1000000000000000E+001,-.1000000000000000E+001,-.1000000000000000E+001,-.1000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1228522635422277E-003,0.4257253283821781E-003,0.6633732435241109E+002,0.1799154041702423E+001
0.3000000000000000E-005,0.1000000000000000E+001,-.1000000000000000E+001,-.1000000000000000E+001,-.1000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1290401263234397E-003,0.3944695885999320E-003,0.8409936961610947E+002,0.1799154041702423E+001
0.3750000000000000E-005,0.1000000000000000E+001,-.1000000000000000E+001,-.1000000000000000E+001,-.1000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1331596471637988E-003,0.3927196966404502E-003,0.1017865382166819E+003,0.1799154041702423E+001
0.4500000000000000E-005,0.1000000000000000E+001,-.1000000000000000E+001,-.1000000000000000E+001,-.1000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1376275533502167E-003,0.3624738181071262E-003,0.1181134610605077E+003,0.1799154041702423E+001
0.5250000000000001E-005,0.1000000000000000E+001,-.1000000000000000E+001,-.1000000000000000E+001,-.1000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1400279600041452E-003,0.3832920684360689E-003,0.1353775171986927E+003,0.1799154041702423E+001
0.6000000000000000E-005,0.1000000000000000E+001,-.1000000000000000E+001,-.1000000000000000E+001,-.1000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1428223492937266E-003,0.3609944891657679E-003,0.1516413077264915E+003,0.1799154041702423E+001
0.6750000000000000E-005,0.1000000000000000E+001,-.1000000000000000E+001,-.1000000000000000E+001,-.1000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1449634793524491E-003,0.3638550037195944E-003,0.1680329001353239E+003,0.1799154041702423E+001
0.7500000000000000E-005,0.1000000000000000E+001,-.1000000000000000E+001,-.1000000000000000E+001,-.1000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.1466376947995582E-003,0.3662666548844181E-003,0.1845317540053147E+003,0.1799154041702423E+001
