001-TIME,002-NumDens-Spec-001     ,003-NumDens-Spec-002     ,004-NumDens-Spec-003     ,005-NumDens-Spec-004     ,006-NumDens-Spec-005     ,007-NumDens-Spec-006     ,008-NumDens-Spec-007     ,009-NumDens-Spec-008     ,010-TempTra-001     ,011-TempTra-002     ,012-TempTra-003     ,013-TempTra-004     ,014-TempTra-005     ,015-TempTra-006     ,016-TempTra-007     ,017-TempTra-008     ,018-TempVib001     ,019-TempVib002     ,020-TempVib003     ,021-TempVib004     ,022-TempVib005     ,023-TempVib006     ,024-TempVib007     ,025-XiVibMean001     ,026-XiVibMean002     ,027-XiVibMean003     ,028-XiVibMean004     ,029-XiVibMean005     ,030-XiVibMean006     ,031-XiVibMean007     ,032-TempRot001     ,033-TempRot002     ,034-TempRot003     ,035-TempRot004     ,036-TempRot005     ,037-TempRot006     ,038-TempRot007     ,039-TempElec001     ,040-TempElec002     ,041-TempElec003     ,042-TempElec004     ,043-TempElec005     ,044-TempElec006     ,045-TempElec007     ,046-XiElecMean001     ,047-XiElecMean002     ,048-XiElecMean003     ,049-XiElecMean004     ,050-XiElecMean005     ,051-XiElecMean006     ,052-XiElecMean007     ,053-TempTotal001     ,054-TempTotal002     ,055-TempTotal003     ,056-TempTotal004     ,057-TempTotal005     ,058-TempTotal006     ,059-TempTotal007     ,060-TempTotal008      
    0.00000000000000E+000,    1.00000000000000E+023,    1.00000000000000E+023,    1.00000000000000E+023,    3.00007976188035E+019,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    3.00030000797619E+023,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.49429112175902E+005,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.49429112175902E+005,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.49429112175902E+005,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.49429112175902E+005 
    1.00000000000000E-011,    1.00000000000000E+023,    1.00000000000000E+023,    1.00000000000000E+023,    3.38547539362007E+019,    2.22228130509656E+018,    1.47151059391529E+018,    1.60164418385337E+017,    3.00037708710254E+023,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.18550856219011E+005,    2.70510689581350E+004,    3.06795069853326E+004,    2.90945711509732E+004,    1.09349544387221E+005,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    3.20464436476776E+004,    4.58204519813890E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    7.77745665957591E+000,    1.93151436525413E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    4.85393331841967E+004,    3.91255534615165E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    4.99008264828041E+004,    6.72678506454208E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    7.90128891948871E-001,    1.16103422953436E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.18550856219011E+005,    3.34551477023238E+004,    3.86213871718979E+004,    3.97458856323721E+004,    1.10082112186620E+005 
    2.00000000000000E-011,    1.00000000000000E+023,    1.00000000000000E+023,    1.00000000000000E+023,    3.76286280444052E+019,    4.04415156422977E+018,    3.20328836770675E+018,    3.80390493665176E+017,    3.00045256458470E+023,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    9.57286866386934E+004,    2.80646035091106E+004,    2.97714192071925E+004,    2.86266072547930E+004,    8.44496567384457E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    3.15774223112225E+004,    4.08636319391796E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    7.77419268358652E+000,    1.92331574912325E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    4.47525488791962E+004,    3.91826605073885E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    4.00120980871057E+004,    6.12083687874573E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    8.22871946272113E-001,    5.37254769756424E-001,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    9.57286866386934E+004,    3.28152145632471E+004,    3.60432885850014E+004,    3.35752773195437E+004,    8.53596975544666E+004 
    3.00000000000000E-011,    1.00000000000000E+023,    1.00000000000000E+023,    1.00000000000000E+023,    4.05115875753413E+019,    5.71586768112673E+018,    4.30441874410594E+018,    4.90503531305096E+017,    3.00051022377532E+023,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    8.11777582150055E+004,    2.76362763682097E+004,    2.92974450768505E+004,    2.90382984519804E+004,    7.03016439689166E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    3.19613246814571E+004,    3.89608077855773E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    7.77687133218130E+000,    1.91962204667331E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    4.69670919400385E+004,    3.94764522012160E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    3.69628546585993E+004,    5.96569312511402E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    8.29660538560532E-001,    4.27482590721280E-001,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    8.11777582150055E+004,    3.32947019327808E+004,    3.51389801729562E+004,    3.28571165281866E+004,    7.14650622884044E+004 
    4.00000000000000E-011,    1.00000000000000E+023,    1.00000000000000E+023,    1.00000000000000E+023,    4.32544032401902E+019,    7.21740910348927E+018,    5.39553884435605E+018,    6.40657673541350E+017,    3.00056508008862E+023,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    6.95563465986074E+004,    2.76697255943854E+004,    2.96096761946863E+004,    2.79862253198096E+004,    5.99209175722831E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    3.19582335586803E+004,    3.80655031629010E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    7.77685001789283E+000,    1.91775817971600E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    4.58782203823013E+004,    3.79034541618341E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    3.57251223103913E+004,    6.23091825626800E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    8.31809110138238E-001,    6.26715293885273E-001,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    6.95563465986074E+004,    3.31302321133621E+004,    3.44990680333844E+004,    3.39174111153267E+004,    6.11524504849764E+004 
    5.00000000000001E-011,    1.00000000000000E+023,    1.00000000000000E+023,    1.00000000000000E+023,    4.55567667544794E+019,    8.39862168908113E+018,    6.28645342162449E+018,    8.70894024970272E+017,    3.00061112735890E+023,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    6.13607011009528E+004,    2.83974414099902E+004,    2.95233612010546E+004,    2.98690533138764E+004,    5.31068439846007E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    3.14938112097712E+004,    3.67895384408399E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    7.77360074379277E+000,    1.91494738882188E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    4.52185095651759E+004,    3.77706038262996E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    3.60420860622764E+004,    6.03725392486282E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    8.31294917618786E-001,    4.75823225009066E-001,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    6.13607011009528E+004,    3.29155158391641E+004,    3.41485476865372E+004,    3.40448315718327E+004,    5.42630396057968E+004 
    6.00000000000001E-011,    1.00000000000000E+023,    1.00000000000000E+023,    1.00000000000000E+023,    4.74987603274016E+019,    9.40965958013857E+018,    7.04723440895485E+018,    1.04106871950469E+018,    3.00064996723036E+023,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    5.54830218649928E+004,    2.87648385462967E+004,    2.91634686286137E+004,    2.98482753100484E+004,    4.83507145433080E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    3.12314427399330E+004,    3.62739514814489E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    7.77172294636076E+000,    1.91375636131701E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    4.47921309068067E+004,    3.68430033995038E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    3.62612477183163E+004,    5.93065799340448E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    8.30924694197386E-001,    4.05195836504765E-001,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    5.54830218649928E+004,    3.27756011777308E+004,    3.36652061440917E+004,    3.33536191895900E+004,    4.94756022451279E+004 
    7.00000000000000E-011,    1.00000000000000E+023,    1.00000000000000E+023,    1.00000000000000E+023,    4.94407539003238E+019,    1.05007796803887E+019,    7.76797429168886E+018,    1.17120230944278E+018,    3.00068880710182E+023,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    5.03663130054904E+004,    2.93713326922978E+004,    2.87448970288668E+004,    3.00644272664594E+004,    4.43821139388045E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    3.07238200653868E+004,    3.59538486447666E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    7.76799997715484E+000,    1.91299998326276E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    4.37916265133366E+004,    3.57263492839251E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    3.47104134976249E+004,    5.86252994399078E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    8.33281554909439E-001,    3.64362985972677E-001,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    5.03663130054904E+004,    3.24529985440942E+004,    3.29694509013718E+004,    3.31575907302385E+004,    4.53809253628505E+004 
    8.00000000000000E-011,    1.00000000000000E+023,    1.00000000000000E+023,    1.00000000000000E+023,    5.09422953226864E+019,    1.12815812200172E+019,    8.36859086063388E+018,    1.29132562323178E+018,    3.00071883793027E+023,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    4.64506767405701E+004,    2.96467605867462E+004,    2.86785581337760E+004,    3.06939092123926E+004,    4.14613817020275E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    3.05754461720990E+004,    3.47646318559132E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    7.76688874341443E+000,    1.91006986964615E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    4.32622834341619E+004,    3.47581998651936E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    3.39966416372269E+004,    5.80730482017875E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    8.34153118521229E-001,    3.33608422019673E-001,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    4.64506767405701E+004,    3.23446804955138E+004,    3.23225913035353E+004,    3.34338565001954E+004,    4.23582513117234E+004 
    9.00000000000000E-011,    1.00000000000000E+023,    1.00000000000000E+023,    1.00000000000000E+023,    5.24438367450489E+019,    1.20023211027512E+019,    9.01925881032431E+018,    1.42145921316987E+018,    3.00074886875871E+023,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    4.30853369384397E+004,    2.95071691607636E+004,    2.84090331262488E+004,    3.10858647947702E+004,    3.89137692409903E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    3.03813085830664E+004,    3.42894004195215E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    7.76541859113725E+000,    1.90884301131372E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    4.25830939349837E+004,    3.42967684066984E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    3.36119019018440E+004,    5.75407460610093E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    8.34564697588272E-001,    3.05871740321999E-001,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    4.30853369384397E+004,    3.20875708792396E+004,    3.19400752987387E+004,    3.35335703346495E+004,    3.97990713188582E+004 
