001-TIME,002-NumDens-Spec-001     ,003-NumDens-Spec-002     ,004-NumDens-Spec-003     ,005-NumDens-Spec-004     ,006-NumDens-Spec-005     ,007-NumDens-Spec-006     ,008-NumDens-Spec-007     ,009-NumDens-Spec-008     ,010-NumDens-Spec-009     ,011-NumDens-Spec-010     ,012-NumDens-Spec-011     ,013-TempTra-001     ,014-TempTra-002     ,015-TempTra-003     ,016-TempTra-004     ,017-TempTra-005     ,018-TempTra-006     ,019-TempTra-007     ,020-TempTra-008     ,021-TempTra-009     ,022-TempTra-010     ,023-TempTra-011     ,024-TempVib001     ,025-TempVib002     ,026-TempVib003     ,027-TempVib004     ,028-TempVib005     ,029-TempVib006     ,030-TempVib007     ,031-TempVib008     ,032-TempVib009     ,033-TempVib010     ,034-XiVibMean001     ,035-XiVibMean002     ,036-XiVibMean003     ,037-XiVibMean004     ,038-XiVibMean005     ,039-XiVibMean006     ,040-XiVibMean007     ,041-XiVibMean008     ,042-XiVibMean009     ,043-XiVibMean010     ,044-TempRot001     ,045-TempRot002     ,046-TempRot003     ,047-TempRot004     ,048-TempRot005     ,049-TempRot006     ,050-TempRot007     ,051-TempRot008     ,052-TempRot009     ,053-TempRot010     ,054-TempElec001     ,055-TempElec002     ,056-TempElec003     ,057-TempElec004     ,058-TempElec005     ,059-TempElec006     ,060-TempElec007     ,061-TempElec008     ,062-TempElec009     ,063-TempElec010     ,064-XiElecMean001     ,065-XiElecMean002     ,066-XiElecMean003     ,067-XiElecMean004     ,068-XiElecMean005     ,069-XiElecMean006     ,070-XiElecMean007     ,071-XiElecMean008     ,072-XiElecMean009     ,073-XiElecMean010     ,074-TempTotal001     ,075-TempTotal002     ,076-TempTotal003     ,077-TempTotal004     ,078-TempTotal005     ,079-TempTotal006     ,080-TempTotal007     ,081-TempTotal008     ,082-TempTotal009     ,083-TempTotal010     ,084-TempTotal011      
    0.00000000000000E+000,    2.00000000000000E+023,    2.00000000000000E+023,    2.00000000000000E+023,    9.99999559547848E+021,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    6.09999995595478E+023,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.49856419367873E+005,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.49856419367873E+005,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.49856419367873E+005,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.49856419367873E+005 
    1.00000000000000E-012,    2.00000000000000E+023,    2.00000000000000E+023,    2.00000000000000E+023,    1.05624129506386E+022,    3.90540913680347E+020,    1.41204955358973E+020,    3.06714861207921E+019,    3.77387410820451E+019,    3.77387410820451E+019,    4.04515259184468E+020,    6.11604823047147E+023,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.27719938336183E+005,    1.00115932020968E+003,    1.01372409953200E+003,    1.04388031623377E+003,    2.83675623917480E+004,    4.88026546552046E+004,    1.18134121901088E+004,    1.16958948142456E+005,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.89928583408414E+004,    4.38243754440667E+004,    0.00000000000000E+000,    6.24606069020020E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    7.62769459061789E+000,    1.92843312979559E+000,    0.00000000000000E+000,    1.95045333681015E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    2.24561770302755E+004,    4.35073254471414E+004,    0.00000000000000E+000,    6.31002992924794E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    3.70256101988750E+004,    5.85095193957108E+004,    5.20123411814753E+004,    5.02341756584083E+004,    2.04041742016610E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    8.29541710639675E-001,    3.57744457529206E-001,    2.93865219539042E+000,    4.98076050795897E+000,    2.51473795990819E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.27719938336183E+005,    1.52670428845519E+004,    2.64608345523008E+004,    7.16644686025965E+003,    4.91425603589040E+004,    4.96960611509841E+004,    1.57308268509765E+004,    1.17971876110143E+005 
    2.00000000000000E-012,    2.00000000000000E+023,    2.00000000000000E+023,    2.00000000000000E+023,    1.10506041081532E+022,    7.33392871786460E+020,    2.61778731574685E+020,    5.54369093136249E+019,    7.03221899473122E+019,    7.03221899473122E+019,    7.80561293000942E+020,    6.13022418293724E+023,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.10227770774015E+005,    9.99947998488038E+002,    1.01049058401732E+003,    1.04300060068548E+003,    2.80864248362646E+004,    4.83613622485377E+004,    1.16713683160324E+004,    9.47308958504326E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.86840476361122E+004,    4.32944190591502E+004,    0.00000000000000E+000,    6.28388719862038E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    7.62167261271396E+000,    1.92756793151988E+000,    0.00000000000000E+000,    1.95074909902788E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    2.21879979322350E+004,    4.28010158103228E+004,    0.00000000000000E+000,    6.31731558164243E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    3.71244743115556E+004,    5.80470014558238E+004,    5.13770881594115E+004,    4.96168708884125E+004,    2.03218203199187E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    8.29352625371031E-001,    3.32208253856193E-001,    2.95730930706205E+000,    5.01059080014343E+000,    2.49136462632491E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.10227770774015E+005,    1.50360051196041E+004,    2.61541569122402E+004,    6.72607865110066E+003,    4.89628119004680E+004,    4.91466776138345E+004,    1.55959720513023E+004,    9.64032246936169E+004 
    3.00000000000000E-012,    2.00000000000000E+023,    2.00000000000000E+023,    2.00000000000000E+023,    1.14713159941469E+022,    1.03016752877834E+021,    3.64384062102792E+020,    7.67688077873220E+019,    9.72097916837507E+019,    9.72097916837507E+019,    1.12085062041289E+021,    6.14257906596596E+023,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    9.62837289371038E+004,    1.00300860839792E+003,    1.01089177236676E+003,    1.05669121666102E+003,    2.80876781831801E+004,    4.82953813608222E+004,    1.15162822264523E+004,    7.89959610242331E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.86840476361122E+004,    4.28524576220449E+004,    0.00000000000000E+000,    6.26566876544117E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    7.62167261271396E+000,    1.92683023445189E+000,    0.00000000000000E+000,    1.95060709268743E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    2.19789179651038E+004,    4.26459762346715E+004,    0.00000000000000E+000,    6.31985264475445E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    3.71244743115556E+004,    5.78928288091948E+004,    5.18535279259593E+004,    4.91538923109157E+004,    2.01159356155629E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    8.29352625371031E-001,    3.24011834317273E-001,    2.94332383973962E+000,    5.03243054969584E+000,    2.43384962181067E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    9.62837289371038E+004,    1.50036022743488E+004,    2.60029092446617E+004,    6.59685837453403E+003,    4.90705256608871E+004,    4.88332505282889E+004,    1.53681118878361E+004,    8.11256082971036E+004 
    4.00000000000000E-012,    2.00000000000000E+023,    2.00000000000000E+023,    2.00000000000000E+023,    1.18379423581071E+022,    1.28906330082209E+021,    4.53575622591127E+020,    9.53078392154248E+019,    1.20743950910246E+020,    1.20743950910246E+020,    1.43723540838083E+021,    6.15354612430937E+023,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    8.48293262024477E+004,    1.00337623995011E+003,    1.01468976426220E+003,    1.06040281568025E+003,    2.77669255285859E+004,    4.78035629211594E+004,    1.13940584309983E+004,    6.71824196671681E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.83752369313831E+004,    4.27332100116585E+004,    0.00000000000000E+000,    6.25068340708421E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    7.61545271501675E+000,    1.92662861225736E+000,    0.00000000000000E+000,    1.95048967181308E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    2.17914746244156E+004,    4.23960756641014E+004,    0.00000000000000E+000,    6.28623422405653E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    3.74210666495973E+004,    5.75844835159367E+004,    5.13770881594115E+004,    4.88452399259178E+004,    1.99924047929494E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    8.28771650902550E-001,    3.08081959619406E-001,    2.95730930706205E+000,    5.04670778495861E+000,    2.39998730327931E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    8.48293262024477E+004,    1.47857417534311E+004,    2.59407326613990E+004,    6.32449535038394E+003,    4.87375992743646E+004,    4.84568784869556E+004,    1.52155344713861E+004,    6.96362245445996E+004 
    5.00000000000000E-012,    2.00000000000000E+023,    2.00000000000000E+023,    2.00000000000000E+023,    1.21583212462585E+022,    1.51677706266144E+021,    5.29873947399442E+020,    1.11674640719177E+020,    1.39733444765058E+020,    1.39733444765058E+020,    1.71948515468039E+021,    6.16315598941249E+023,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    7.54073030725935E+004,    1.00334937248164E+003,    1.01607409630224E+003,    1.05544971695464E+003,    2.76145242439076E+004,    4.75231949678807E+004,    1.12410895280760E+004,    5.81549272487421E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.83752369313831E+004,    4.24092204906244E+004,    0.00000000000000E+000,    6.25623283315087E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    7.61545271501675E+000,    1.92607516323728E+000,    0.00000000000000E+000,    1.95053322051836E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    2.16080829506261E+004,    4.20877586131908E+004,    0.00000000000000E+000,    6.24738573748676E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    3.70256101988750E+004,    5.75844835159367E+004,    5.10594616483795E+004,    4.85365875409199E+004,    1.98688739703359E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    8.29541710639675E-001,    3.08081959619406E-001,    2.96660426103962E+000,    5.06073982506387E+000,    2.36662303613634E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    7.54073030725935E+004,    1.47566612314497E+004,    2.57389421193259E+004,    6.32000353417194E+003,    4.85315853120454E+004,    4.81594288948035E+004,    1.50458496676239E+004,    6.08580197727353E+004 
    6.00000000000000E-012,    2.00000000000000E+023,    2.00000000000000E+023,    2.00000000000000E+023,    1.24338641075382E+022,    1.71403956445528E+021,    5.94450238837180E+020,    1.25378708767272E+020,    1.56871037532289E+020,    1.56871037532289E+020,    1.97712964220550E+021,    6.17158604336868E+023,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    6.76249101768855E+004,    1.00329226628715E+003,    1.01730004907917E+003,    1.05218134279581E+003,    2.74283213428529E+004,    4.72307632763722E+004,    1.11265380807119E+004,    5.11117175127022E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.80664262266540E+004,    4.20226575639374E+004,    0.00000000000000E+000,    6.22983175674647E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    7.60902498206096E+000,    1.92540380292750E+000,    0.00000000000000E+000,    1.95032535248876E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    2.13623180258222E+004,    4.19466325430139E+004,    0.00000000000000E+000,    6.23303358005221E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    3.68278819735139E+004,    5.77386561625657E+004,    5.05830218818317E+004,    4.80736089634230E+004,    1.97041662068512E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    8.29912942547848E-001,    3.15970322851869E-001,    2.98049493302695E+000,    5.08129013933848E+000,    2.32292890669830E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    6.76249101768855E+004,    1.45294661249638E+004,    2.55849879926822E+004,    6.45369040537773E+003,    4.82548319713078E+004,    4.77607211673465E+004,    1.48698193971397E+004,    5.39800780276438E+004 
    7.00000000000000E-012,    2.00000000000000E+023,    2.00000000000000E+023,    2.00000000000000E+023,    1.26724890703801E+022,    1.88587596483045E+021,    6.50157425606830E+020,    1.36460084464307E+020,    1.71285835186969E+020,    1.71285835186969E+020,    2.21321199490549E+021,    6.17900766210561E+023,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    6.10640251319080E+004,    1.00375001471579E+003,    1.01767845203776E+003,    1.05043834177693E+003,    2.73048224103459E+004,    4.70302376296250E+004,    1.10294863607852E+004,    4.54547173006589E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.80664262266540E+004,    4.17992697287948E+004,    0.00000000000000E+000,    6.22305254116101E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    7.60902498206096E+000,    1.92501024785469E+000,    0.00000000000000E+000,    1.95027169437852E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    2.11840863580107E+004,    4.17184478011107E+004,    0.00000000000000E+000,    6.20663602016714E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    3.65312896354722E+004,    5.77386561625657E+004,    4.99477688597679E+004,    4.77649565784251E+004,    1.95806353842377E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    8.30452245700193E-001,    3.15970322851869E-001,    2.99889956021592E+000,    5.09463181902391E+000,    2.29076350147106E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    6.10640251319080E+004,    1.45013045430142E+004,    2.54390302601768E+004,    6.45211349046368E+003,    4.79639911432727E+004,    4.74926579865089E+004,    1.47319123099168E+004,    4.84647355229049E+004 
    8.00000000000000E-012,    2.00000000000000E+023,    2.00000000000000E+023,    2.00000000000000E+023,    1.28820742221134E+022,    2.03830243975255E+021,    6.97716247591126E+020,    1.46059939291279E+020,    1.83688567335684E+020,    1.83688567335684E+020,    2.42472912993562E+021,    6.18556259113355E+023,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    5.54862113776142E+004,    1.00310530695466E+003,    1.01700570349922E+003,    1.05303039918454E+003,    2.71579573994773E+004,    4.67997999356503E+004,    1.09255552892402E+004,    4.08359365028272E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.77576155219249E+004,    4.16625603702131E+004,    0.00000000000000E+000,    6.20383394761313E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    7.60237882515188E+000,    1.92476734459839E+000,    0.00000000000000E+000,    1.95011894542816E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    2.09878959327275E+004,    4.16102594854103E+004,    0.00000000000000E+000,    6.19322935706521E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    3.63335614101110E+004,    5.78928288091948E+004,    4.97889556042519E+004,    4.76106303859262E+004,    1.94982815024954E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    8.30799930685771E-001,    3.24011834317273E-001,    3.00347664861150E+000,    5.10118790992378E+000,    2.26961258224171E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    5.54862113776142E+004,    1.42818455557116E+004,    2.53557457624073E+004,    6.59355439940492E+003,    4.78079063505574E+004,    4.73103668470632E+004,    1.46178129218573E+004,    4.39452130416726E+004 
    9.00000000000000E-012,    2.00000000000000E+023,    2.00000000000000E+023,    2.00000000000000E+023,    1.30613482576674E+022,    2.16725481710504E+021,    7.39288924438270E+020,    1.54808920645578E+020,    1.94479645024396E+020,    1.94479645024396E+020,    2.61966924766288E+021,    6.19131329457568E+023,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    5.07718930617658E+004,    1.00340242681025E+003,    1.01779886324155E+003,    1.05037123139684E+003,    2.71465619411994E+004,    4.67576898961676E+004,    1.08310458541803E+004,    3.70588824977956E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.77576155219249E+004,    4.14603831303768E+004,    0.00000000000000E+000,    6.17843710722574E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    7.60237882515188E+000,    1.92440522114133E+000,    0.00000000000000E+000,    1.94991564677190E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    2.08275064007649E+004,    4.13792741107779E+004,    0.00000000000000E+000,    6.16508125253522E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    3.61358331847499E+004,    5.78928288091948E+004,    4.94713290932200E+004,    4.73019780009283E+004,    1.93747506798819E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    8.31138012295431E-001,    3.24011834317273E-001,    3.01259826536701E+000,    5.11405804739450E+000,    2.23833062794634E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    5.07718930617658E+004,    1.42564624348900E+004,    2.52248464427705E+004,    6.59115443702189E+003,    4.76037340723646E+004,    4.71007390764907E+004,    1.44817577976909E+004,    4.02518336506909E+004 
