001-TIME,002-NumDens-Spec-001     ,003-NumDens-Spec-002     ,004-NumDens-Spec-003     ,005-NumDens-Spec-004     ,006-NumDens-Spec-005     ,007-NumDens-Spec-006     ,008-NumDens-Spec-007     ,009-NumDens-Spec-008     ,010-NumDens-Spec-009     ,011-NumDens-Spec-010     ,012-NumDens-Spec-011     ,013-TempTra-001     ,014-TempTra-002     ,015-TempTra-003     ,016-TempTra-004     ,017-TempTra-005     ,018-TempTra-006     ,019-TempTra-007     ,020-TempTra-008     ,021-TempTra-009     ,022-TempTra-010     ,023-TempTra-011     ,024-TempVib001     ,025-TempVib002     ,026-TempVib003     ,027-TempVib004     ,028-TempVib005     ,029-TempVib006     ,030-TempVib007     ,031-TempVib008     ,032-TempVib009     ,033-TempVib010     ,034-XiVibMean001     ,035-XiVibMean002     ,036-XiVibMean003     ,037-XiVibMean004     ,038-XiVibMean005     ,039-XiVibMean006     ,040-XiVibMean007     ,041-XiVibMean008     ,042-XiVibMean009     ,043-XiVibMean010     ,044-TempRot001     ,045-TempRot002     ,046-TempRot003     ,047-TempRot004     ,048-TempRot005     ,049-TempRot006     ,050-TempRot007     ,051-TempRot008     ,052-TempRot009     ,053-TempRot010     ,054-TempElec001     ,055-TempElec002     ,056-TempElec003     ,057-TempElec004     ,058-TempElec005     ,059-TempElec006     ,060-TempElec007     ,061-TempElec008     ,062-TempElec009     ,063-TempElec010     ,064-XiElecMean001     ,065-XiElecMean002     ,066-XiElecMean003     ,067-XiElecMean004     ,068-XiElecMean005     ,069-XiElecMean006     ,070-XiElecMean007     ,071-XiElecMean008     ,072-XiElecMean009     ,073-XiElecMean010     ,074-TempTotal001     ,075-TempTotal002     ,076-TempTotal003     ,077-TempTotal004     ,078-TempTotal005     ,079-TempTotal006     ,080-TempTotal007     ,081-TempTotal008     ,082-TempTotal009     ,083-TempTotal010     ,084-TempTotal011      
    0.00000000000000E+000,    2.00000000000000E+023,    2.00000000000000E+023,    2.00000000000000E+023,    9.99999559547848E+021,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    6.09999995595478E+023,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.49856419367873E+005,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.49856419367873E+005,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.49856419367873E+005,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.49856419367873E+005 
    1.00000000000000E-012,    2.00000000000000E+023,    2.00000000000000E+023,    2.00000000000000E+023,    1.07858923656669E+022,    4.71844376563204E+020,    2.84171719320185E+020,    2.98806743050145E+019,    1.56160307925704E+018,    1.56160307925704E+018,    1.66250666283980E+020,    6.11741163008297E+023,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.24797448400269E+005,    1.00374319136939E+003,    9.96345518807284E+002,    1.03576235569679E+003,    6.51655871883592E+003,    1.05143026630093E+004,    5.46135815066850E+003,    1.14790509931315E+005,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    2.11545332739453E+004,    3.38703961697702E+004,    0.00000000000000E+000,    1.32618494738443E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    7.66502043850056E+000,    1.90773321027211E+000,    0.00000000000000E+000,    1.77390619381366E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    2.69187880980404E+004,    3.38348616371637E+004,    0.00000000000000E+000,    1.21202245544372E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    2.99073940858737E+004,    5.77386561625657E+004,    0.00000000000000E+000,    1.15561736633589E+004,    8.88492499295330E+003,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    8.36288295195259E-001,    3.15970322851869E-001,    0.00000000000000E+000,    3.23575009822645E-001,    7.31965815592698E-001,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.24797448400269E+005,    1.72916211817695E+004,    2.06979852715463E+004,    6.43883594152513E+003,    9.93745709823020E+003,    1.06157366364191E+004,    6.13283640630496E+003,    1.15945640316848E+005 
    2.00000000000000E-012,    2.00000000000000E+023,    2.00000000000000E+023,    2.00000000000000E+023,    1.14642887802903E+022,    8.80203581788920E+020,    5.28472508738570E+020,    5.56170942843084E+019,    2.92300063553241E+018,    2.92300063553241E+018,    3.27055742342859E+020,    6.13261483708716E+023,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.05867774843337E+005,    1.00408559360751E+003,    1.00444652361448E+003,    1.03474429883062E+003,    6.26174535558493E+003,    1.01264153363273E+004,    5.44718284280260E+003,    9.17695468075507E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    2.11545332739453E+004,    3.34556775084551E+004,    0.00000000000000E+000,    1.25786568883452E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    7.66502043850056E+000,    1.90660783309695E+000,    0.00000000000000E+000,    1.76215315035353E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    2.66998374086707E+004,    3.32318583053311E+004,    0.00000000000000E+000,    1.17935393664884E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    2.95119376351514E+004,    5.75844835159367E+004,    0.00000000000000E+000,    1.23278046258537E+004,    8.80257111121097E+003,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    8.36218145917776E-001,    3.08081959619406E-001,    0.00000000000000E+000,    3.47174586485151E-001,    7.18324821874519E-001,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.05867774843337E+005,    1.72571266324597E+004,    2.03985381022986E+004,    6.30122641343240E+003,    9.54397707768141E+003,    1.03547471417162E+004,    6.09539374305666E+003,    9.36600138644977E+004 
    3.00000000000000E-012,    2.00000000000000E+023,    2.00000000000000E+023,    2.00000000000000E+023,    1.20462862355980E+022,    1.23227500422834E+021,    7.36616180706465E+020,    7.73994551847143E+019,    4.39451122944770E+018,    4.39451122944770E+018,    4.82114919892164E+020,    6.14583480818069E+023,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    9.12466961287982E+004,    1.00397785922517E+003,    1.00410754357684E+003,    1.03935577577909E+003,    6.33059528935797E+003,    9.95583408456836E+003,    5.42098010295580E+003,    7.56970303545448E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    2.08457225692161E+004,    3.30285400738890E+004,    0.00000000000000E+000,    1.23353286847791E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    7.66015288604580E+000,    1.90541970123057E+000,    0.00000000000000E+000,    1.75766706062037E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    2.63486009538273E+004,    3.27152133629516E+004,    0.00000000000000E+000,    1.20161083445104E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    2.91164811844291E+004,    5.77386561625657E+004,    9.04342973593969E+003,    1.27522016552258E+004,    8.76139417033981E+003,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    8.36096317373651E-001,    3.15970322851869E-001,    3.51475592293805E-002,    3.61342419874689E-001,    7.11466124807354E-001,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    9.12466961287982E+004,    1.70132666899329E+004,    2.01149442351166E+004,    6.44208695380730E+003,    9.57235867449234E+003,    1.02564420258676E+004,    6.06131774092819E+003,    7.80659880948583E+004 
    4.00000000000000E-012,    2.00000000000000E+023,    2.00000000000000E+023,    2.00000000000000E+023,    1.25528262292939E+022,    1.54141235226434E+021,    9.16050380678788E+020,    9.53679008723194E+019,    5.91607320410840E+018,    5.91607320410840E+018,    6.31107870095124E+020,    6.15748596879613E+023,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    7.95617871803472E+004,    1.00443461361727E+003,    1.00478595908932E+003,    1.04077525582289E+003,    6.30064495618522E+003,    9.94967889412138E+003,    5.39818384979251E+003,    6.38022682336390E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    2.05369118644870E+004,    3.27213850609811E+004,    0.00000000000000E+000,    1.22078185488200E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    7.65514184123870E+000,    1.90454646110705E+000,    0.00000000000000E+000,    1.75524812287515E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    2.60557982314829E+004,    3.25078819204652E+004,    0.00000000000000E+000,    1.22726267900893E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    2.89187529590680E+004,    5.80470014558238E+004,    8.74565488184728E+003,    1.26750385589763E+004,    8.72021722946865E+003,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    8.36015813705534E-001,    3.32208253856193E-001,    2.72210686244997E-002,    3.58678494942845E-001,    7.04582762354168E-001,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    7.95617871803472E+004,    1.67787825906106E+004,    1.99631563107316E+004,    6.72407516449983E+003,    9.60019179950878E+003,    1.02407242871949E+004,    6.03000870172200E+003,    6.65100392020443E+004 
    5.00000000000000E-012,    2.00000000000000E+023,    2.00000000000000E+023,    2.00000000000000E+023,    1.29834983400559E+022,    1.80417209090163E+021,    1.06886725637070E+021,    1.10463397305137E+020,    7.36756324572552E+018,    7.36756324572552E+018,    7.75736339897084E+020,    6.16757472551022E+023,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    7.02605440925255E+004,    1.00422429092872E+003,    1.00466363749857E+003,    1.03441104049000E+003,    6.22181027080745E+003,    9.71638793762164E+003,    5.36738036665969E+003,    5.48715602870958E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    2.05369118644870E+004,    3.24100556754257E+004,    0.00000000000000E+000,    1.22640541621296E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    7.65514184123870E+000,    1.90364474731181E+000,    0.00000000000000E+000,    1.75632085815043E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    2.57518578319617E+004,    3.22081995889486E+004,    0.00000000000000E+000,    1.24521501795804E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    2.86221606210262E+004,    5.82011741024528E+004,    8.52728665551284E+003,    1.23663861739784E+004,    8.65845181816190E+003,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    8.35870336766463E-001,    3.40561334799189E-001,    2.23139213590794E-002,    3.48417766397156E-001,    6.94212848657762E-001,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    7.02605440925255E+004,    1.67306984383552E+004,    1.97754039770708E+004,    6.86241034459538E+003,    9.63315249012137E+003,    9.99213204450508E+003,    5.98583528008291E+003,    5.78306818799346E+004 
    6.00000000000000E-012,    2.00000000000000E+023,    2.00000000000000E+023,    2.00000000000000E+023,    1.33562509930194E+022,    2.03122517451515E+021,    1.20194386749662E+021,    1.23086355529132E+020,    8.71895052585181E+018,    8.71895052585181E+018,    9.14198479591208E+020,    6.17644142771203E+023,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    6.26099454900172E+004,    1.00446016490368E+003,    1.00696431127334E+003,    1.03643568671990E+003,    6.20147422435947E+003,    9.69311316079715E+003,    5.33914999433866E+003,    4.78703870711424E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    2.02281011597579E+004,    3.21550717261466E+004,    0.00000000000000E+000,    1.21095180028150E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    7.64998086657443E+000,    1.90289344295704E+000,    0.00000000000000E+000,    1.75335015426611E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    2.55064731087997E+004,    3.19650379616530E+004,    0.00000000000000E+000,    1.22740674807785E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    2.84244323956651E+004,    5.80470014558238E+004,    9.06328139287919E+003,    1.24435492702279E+004,    8.61727487729074E+003,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    8.35756749640386E-001,    3.32208253856193E-001,    3.57300979294565E-002,    3.50928604826463E-001,    6.87270612306710E-001,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    6.26099454900172E+004,    1.65036544919395E+004,    1.96280425463985E+004,    6.72016823362482E+003,    9.53127852683175E+003,    9.98115472192042E+003,    5.95015990720071E+003,    5.09962721473007E+004 
    7.00000000000000E-012,    2.00000000000000E+023,    2.00000000000000E+023,    2.00000000000000E+023,    1.36771904566351E+022,    2.22669583687830E+021,    1.31700198155418E+021,    1.33497042724179E+020,    9.89015283529458E+018,    9.89015283529458E+018,    1.04122888392308E+021,    6.18415394507385E+023,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    5.63209226192508E+004,    1.00464437413561E+003,    1.00957819962496E+003,    1.03680985071957E+003,    6.14804313924297E+003,    9.57163547652182E+003,    5.32350635776636E+003,    4.23404184273921E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    2.02281011597579E+004,    3.18690389775557E+004,    0.00000000000000E+000,    1.20586514454569E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    7.64998086657443E+000,    1.90203659198615E+000,    0.00000000000000E+000,    1.75235645242714E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    2.52436500261864E+004,    3.17396903262340E+004,    0.00000000000000E+000,    1.24002286668099E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    2.82267041703039E+004,    5.78928288091948E+004,    8.92431979430273E+003,    1.22892230777289E+004,    8.59668640685516E+003,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    8.35629783129319E-001,    3.24011834317273E-001,    3.17973515350477E-002,    3.45939175990515E-001,    6.83791058859516E-001,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    5.63209226192508E+004,    1.64621450585997E+004,    1.94776126180711E+004,    6.57891496735101E+003,    9.53094726645381E+003,    9.85260890909036E+003,    5.93107915867793E+003,    4.56067238885642E+004 
    8.00000000000000E-012,    2.00000000000000E+023,    2.00000000000000E+023,    2.00000000000000E+023,    1.39542148387849E+022,    2.39666031561359E+021,    1.41471228704539E+021,    1.42846640647423E+020,    1.11314270777810E+019,    1.11314270777810E+019,    1.15914993695928E+021,    6.19089846873206E+023,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    5.10650290016068E+004,    1.00445588162698E+003,    1.01094844877526E+003,    1.03552451776520E+003,    6.06488272210675E+003,    9.53448035019996E+003,    5.30537214281967E+003,    3.78673132967981E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.99192904550287E+004,    3.17035747519431E+004,    0.00000000000000E+000,    1.18503110433330E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    7.64466313378814E+000,    1.90153398359665E+000,    0.00000000000000E+000,    1.74820164615313E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    2.49852565238596E+004,    3.15706236439876E+004,    0.00000000000000E+000,    1.23471952753619E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    2.79301118322622E+004,    5.78928288091948E+004,    8.80520985266576E+003,    1.22506415296042E+004,    8.55550946598400E+003,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    8.35414063546148E-001,    3.24011834317273E-001,    2.86883450032287E-002,    3.44711245736576E-001,    6.76815516105145E-001,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    5.10650290016068E+004,    1.62329469685037E+004,    1.93606994301873E+004,    6.57775492368831E+003,    9.42296229861157E+003,    9.81441222921260E+003,    5.90364620910197E+003,    4.12189804661479E+004 
    9.00000000000000E-012,    2.00000000000000E+023,    2.00000000000000E+023,    2.00000000000000E+023,    1.41925695241707E+022,    2.54407164218500E+021,    1.49778756880663E+021,    1.50714717700603E+020,    1.25028349102054E+019,    1.25028349102054E+019,    1.27154531756119E+021,    6.19681694440245E+023,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    4.66453375479948E+004,    1.00469473285588E+003,    1.00992534532121E+003,    1.03514739302842E+003,    6.00085503981118E+003,    9.43627245596297E+003,    5.28673908823501E+003,    3.42021981549988E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.99192904550287E+004,    3.14897915544511E+004,    0.00000000000000E+000,    1.17529603056769E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    7.64466313378814E+000,    1.90087691815879E+000,    0.00000000000000E+000,    1.74621217430497E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    2.47564877203887E+004,    3.13554617587207E+004,    0.00000000000000E+000,    1.22773247584998E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    2.77323836069011E+004,    5.80470014558238E+004,    8.68609991102879E+003,    1.20191522408558E+004,    8.53492099554842E+003,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    8.35253280729792E-001,    3.32208253856193E-001,    2.58102167465191E-002,    3.37484906852050E-001,    6.73319704639041E-001,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    4.66453375479948E+004,    1.61968193905349E+004,    1.92295731900151E+004,    6.71900837782350E+003,    9.34795596827399E+003,    9.69745204716500E+003,    5.88213101115533E+003,    3.76367519650030E+004 
