001-TIME,002-NumDens-Spec-001     ,003-NumDens-Spec-002     ,004-NumDens-Spec-003     ,005-NumDens-Spec-004     ,006-NumDens-Spec-005     ,007-NumDens-Spec-006     ,008-NumDens-Spec-007     ,009-NumDens-Spec-008     ,010-NumDens-Spec-009     ,011-NumDens-Spec-010     ,012-NumDens-Spec-011     ,013-TempTra-001     ,014-TempTra-002     ,015-TempTra-003     ,016-TempTra-004     ,017-TempTra-005     ,018-TempTra-006     ,019-TempTra-007     ,020-TempTra-008     ,021-TempTra-009     ,022-TempTra-010     ,023-TempTra-011     ,024-TempVib001     ,025-TempVib002     ,026-TempVib003     ,027-TempVib004     ,028-TempVib005     ,029-TempVib006     ,030-TempVib007     ,031-TempVib008     ,032-TempVib009     ,033-TempVib010     ,034-XiVibMean001     ,035-XiVibMean002     ,036-XiVibMean003     ,037-XiVibMean004     ,038-XiVibMean005     ,039-XiVibMean006     ,040-XiVibMean007     ,041-XiVibMean008     ,042-XiVibMean009     ,043-XiVibMean010     ,044-TempRot001     ,045-TempRot002     ,046-TempRot003     ,047-TempRot004     ,048-TempRot005     ,049-TempRot006     ,050-TempRot007     ,051-TempRot008     ,052-TempRot009     ,053-TempRot010     ,054-TempElec001     ,055-TempElec002     ,056-TempElec003     ,057-TempElec004     ,058-TempElec005     ,059-TempElec006     ,060-TempElec007     ,061-TempElec008     ,062-TempElec009     ,063-TempElec010     ,064-XiElecMean001     ,065-XiElecMean002     ,066-XiElecMean003     ,067-XiElecMean004     ,068-XiElecMean005     ,069-XiElecMean006     ,070-XiElecMean007     ,071-XiElecMean008     ,072-XiElecMean009     ,073-XiElecMean010     ,074-TempTotal001     ,075-TempTotal002     ,076-TempTotal003     ,077-TempTotal004     ,078-TempTotal005     ,079-TempTotal006     ,080-TempTotal007     ,081-TempTotal008     ,082-TempTotal009     ,083-TempTotal010     ,084-TempTotal011      
    0.00000000000000E+000,    2.00000012012331E+022,    2.00000112115093E+022,    2.00000112115093E+022,    2.00000012012331E+022,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    8.00000248254847E+022,    9.99026134442248E+002,    1.00067821785504E+003,    9.98957279245977E+002,    1.50065690853568E+005,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    3.82660787951392E+004,    9.94984455846880E+002,    9.99704752509624E+002,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    3.26746671593352E+000,    2.35765733817458E-001,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    9.99584231893083E+002,    1.00016676842618E+003,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    9.97563793461559E+002,    1.00043901528317E+003,    9.98957279245977E+002,    1.50065690853568E+005,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    3.82656534093276E+004 
    5.00000000000000E-011,    1.65790994403214E+022,    1.72081451935298E+022,    1.97765718375856E+022,    2.56776396377465E+022,    3.40866920345750E+021,    2.04552985913219E+021,    2.23439373923695E+020,    1.22325574541801E+019,    1.22325574541801E+019,    1.49267231769445E+021,    8.64362319782995E+022,    9.99675497025840E+002,    1.00137899823037E+003,    1.00106234307544E+003,    7.33990268496070E+004,    1.00480079868539E+003,    1.00981598817742E+003,    1.05735348729505E+003,    6.10633691571083E+003,    9.89200947511374E+003,    5.36869513591260E+003,    2.25860520817724E+004,    1.14938980821144E+003,    1.12660265924159E+003,    0.00000000000000E+000,    0.00000000000000E+000,    2.05369118644870E+004,    3.28794527736864E+004,    0.00000000000000E+000,    1.27897042208566E+004,    0.00000000000000E+000,    0.00000000000000E+000,    3.66241257248732E+000,    3.11677356095810E-001,    0.00000000000000E+000,    0.00000000000000E+000,    7.65514184123870E+000,    1.90499785062865E+000,    0.00000000000000E+000,    1.76591196035613E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.51087823194403E+003,    1.26753747572511E+003,    0.00000000000000E+000,    0.00000000000000E+000,    2.64685763597138E+004,    3.28791051926859E+004,    0.00000000000000E+000,    1.23771930752421E+004,    0.00000000000000E+000,    0.00000000000000E+000,    1.71555028278190E+004,    1.17209231931663E+004,    2.11425535074943E+004,    0.00000000000000E+000,    0.00000000000000E+000,    2.99073940858737E+004,    5.78928288091948E+004,    1.33611651202797E+004,    1.63017040827016E+004,    9.70846381037654E+003,    2.54548065584282E-001,    1.66159389201033E-001,    6.22601281969106E-002,    0.00000000000000E+000,    0.00000000000000E+000,    8.36288295195259E-001,    3.24011834317273E-001,    3.87869715919563E-001,    5.77942650034014E-001,    8.61964864584999E-001,    1.63701773403272E+003,    1.43083671300033E+003,    1.41056766577055E+003,    7.33990268496070E+004,    1.68441042457952E+004,    2.02077724399608E+004,    6.59745608958473E+003,    9.90263375036100E+003,    1.09273630986222E+004,    6.33730263209097E+003,    2.39981806855936E+004 
    1.00000000000000E-010,    1.50015299706066E+022,    1.57356035411712E+022,    1.96713237941541E+022,    2.82864277152353E+022,    4.97672891083069E+021,    2.98101018581635E+021,    3.28687417355160E+020,    2.17423197958096E+019,    2.17423197958096E+019,    2.56679496904342E+021,    8.95915911438045E+022,    1.00151619983309E+003,    1.00272231318045E+003,    1.00526681021540E+003,    4.78132327873395E+004,    1.00664734762665E+003,    1.01386668978638E+003,    1.05771754169461E+003,    6.01068447608075E+003,    9.78881913427009E+003,    5.26346107621194E+003,    1.59085996740574E+004,    1.34239649866715E+003,    1.30895444338020E+003,    0.00000000000000E+000,    0.00000000000000E+000,    1.99192904550287E+004,    3.17411454799663E+004,    0.00000000000000E+000,    1.26197062745684E+004,    0.00000000000000E+000,    0.00000000000000E+000,    4.08050113172127E+000,    4.19428531587255E-001,    0.00000000000000E+000,    0.00000000000000E+000,    7.64466313378814E+000,    1.90164855904898E+000,    0.00000000000000E+000,    1.76289366013180E+000,    0.00000000000000E+000,    0.00000000000000E+000,    2.02775577766033E+003,    1.63277702434696E+003,    0.00000000000000E+000,    0.00000000000000E+000,    2.58920119520238E+004,    3.19313036035470E+004,    0.00000000000000E+000,    1.24436338161507E+004,    0.00000000000000E+000,    0.00000000000000E+000,    1.93412870334114E+004,    1.30452082997388E+004,    2.17694859014562E+004,    0.00000000000000E+000,    0.00000000000000E+000,    2.94130735224708E+004,    5.78928288091948E+004,    1.43140446533754E+004,    1.68032642083232E+004,    1.03570006290974E+004,    3.96137071370502E-001,    2.98896427785867E-001,    8.82650730237748E-002,    0.00000000000000E+000,    0.00000000000000E+000,    8.36192559989982E-001,    3.24011834317273E-001,    5.35590478782104E-001,    6.32273165049594E-001,    9.55097664694231E-001,    2.13150602100771E+003,    1.87500711572480E+003,    1.59872471328832E+003,    4.78132327873395E+004,    1.63768879525433E+004,    1.96255908787365E+004,    6.59778465736762E+003,    9.97919374594324E+003,    1.10098301063283E+004,    6.49347564081174E+003,    1.79112189176779E+004 
    1.50000000000000E-010,    1.41606167227028E+022,    1.48548694147464E+022,    1.96164074192002E+022,    2.96578155271075E+022,    5.80962392753905E+021,    3.46458660602628E+021,    3.83603792309032E+020,    2.97605509912255E+019,    2.97605509912255E+019,    3.36111038147320E+021,    9.13681548930869E+022,    1.00350700522119E+003,    1.00448491839311E+003,    1.01028229952905E+003,    3.56902518371753E+004,    1.00947589628004E+003,    1.01884437416799E+003,    1.06038492700742E+003,    6.01553449144691E+003,    9.64906034853859E+003,    5.20222384900946E+003,    1.24244332079451E+004,    1.53540318912285E+003,    1.50053864719666E+003,    0.00000000000000E+000,    0.00000000000000E+000,    1.96104797502996E+004,    3.10004003470867E+004,    0.00000000000000E+000,    1.24296472139336E+004,    0.00000000000000E+000,    0.00000000000000E+000,    4.43077160881681E+000,    5.26124462052307E-001,    0.00000000000000E+000,    0.00000000000000E+000,    7.63918139376183E+000,    1.89933925154008E+000,    0.00000000000000E+000,    1.75942585289197E+000,    0.00000000000000E+000,    0.00000000000000E+000,    2.50117305349947E+003,    2.01870273470649E+003,    0.00000000000000E+000,    0.00000000000000E+000,    2.54637439012582E+004,    3.12612872403619E+004,    0.00000000000000E+000,    1.24767312598186E+004,    0.00000000000000E+000,    0.00000000000000E+000,    2.04927269274288E+004,    1.38397793636822E+004,    2.20481225209948E+004,    0.00000000000000E+000,    0.00000000000000E+000,    2.91164811844291E+004,    5.77386561625657E+004,    1.46316711644074E+004,    1.70347534970716E+004,    1.07275930969378E+004,    4.82443803596869E-001,    4.00847821433549E-001,    1.02386812640267E-001,    0.00000000000000E+000,    0.00000000000000E+000,    8.36096317373651E-001,    3.15970322851869E-001,    5.90012628528229E-001,    6.60044732858751E-001,    1.00451773967553E+000,    2.49187333053635E+003,    2.25882205616059E+003,    1.70458560056647E+003,    3.56902518371753E+004,    1.61216079724244E+004,    1.92366113276260E+004,    6.46111229105179E+003,    1.00010333570094E+004,    1.09809806437839E+004,    6.58824128946445E+003,    1.47351980258030E+004 
    2.00000000000000E-010,    1.36693223795820E+022,    1.42881476408422E+022,    1.95862064160584E+022,    3.04422808278065E+022,    6.29457175558140E+021,    3.73390307554122E+021,    4.13804795450817E+020,    3.61070660697445E+019,    3.61070660697445E+019,    3.95592099025175E+021,    9.24563720132538E+022,    1.00708498275450E+003,    1.00779216057957E+003,    1.01638947301744E+003,    2.89538771772381E+004,    1.01242299007696E+003,    1.02487132580546E+003,    1.06483566155967E+003,    6.05661796328591E+003,    9.69397005757863E+003,    5.15389364779957E+003,    1.03950888693695E+004,    1.72840987957856E+003,    1.68736136869089E+003,    0.00000000000000E+000,    0.00000000000000E+000,    1.93016690455705E+004,    3.04834237178202E+004,    0.00000000000000E+000,    1.24031614513390E+004,    0.00000000000000E+000,    0.00000000000000E+000,    4.72708628565105E+000,    6.21559031406798E-001,    0.00000000000000E+000,    0.00000000000000E+000,    7.63352794360831E+000,    1.89766224864438E+000,    0.00000000000000E+000,    1.75893454137206E+000,    0.00000000000000E+000,    0.00000000000000E+000,    2.93816734481596E+003,    2.39235351809451E+003,    0.00000000000000E+000,    0.00000000000000E+000,    2.50529796261598E+004,    3.07485676106928E+004,    0.00000000000000E+000,    1.25328480895321E+004,    0.00000000000000E+000,    0.00000000000000E+000,    2.11953004220835E+004,    1.43694934063112E+004,    2.21177816758795E+004,    0.00000000000000E+000,    0.00000000000000E+000,    2.87210247337068E+004,    5.77386561625657E+004,    1.49890009893183E+004,    1.71890796895706E+004,    1.09746547421648E+004,    5.38462971035934E-001,    4.77644616882158E-001,    1.06191344065403E-001,    0.00000000000000E+000,    0.00000000000000E+000,    8.35922139159319E-001,    3.15970322851869E-001,    6.54051781717111E-001,    6.79546420975212E-001,    1.03598292935490E+000,    2.77440748670675E+003,    2.57744949918877E+003,    1.73778263636982E+003,    2.89538771772381E+004,    1.58691269085785E+004,    1.89339799876901E+004,    6.46513892650288E+003,    1.00978848076338E+004,    1.10781827682005E+004,    6.64800530168096E+003,    1.28767304180531E+004 
    2.50000000000000E-010,    1.33656606525995E+022,    1.39018811150775E+022,    1.95687484944544E+022,    3.09147758723194E+022,    6.59276787178645E+021,    3.89074408224506E+021,    4.31262717054819E+020,    4.15726768471441E+019,    4.15726768471441E+019,    4.41477202837344E+021,    9.31637581876049E+022,    1.01008209324669E+003,    1.01069177321802E+003,    1.02243441533889E+003,    2.48160910823317E+004,    1.01496355726822E+003,    1.02996458520664E+003,    1.07610383768903E+003,    6.02584434874504E+003,    9.59539500067994E+003,    5.12032324492494E+003,    9.11470201966869E+003,    1.92141657003426E+003,    1.85903847108674E+003,    0.00000000000000E+000,    0.00000000000000E+000,    1.89928583408414E+004,    3.01316585198529E+004,    0.00000000000000E+000,    1.23106188675441E+004,    0.00000000000000E+000,    0.00000000000000E+000,    4.98020915965115E+000,    7.01411121119128E-001,    0.00000000000000E+000,    0.00000000000000E+000,    7.62769459061789E+000,    1.89648886808629E+000,    0.00000000000000E+000,    1.75720203662086E+000,    0.00000000000000E+000,    0.00000000000000E+000,    3.33087030169468E+003,    2.76219184361594E+003,    0.00000000000000E+000,    0.00000000000000E+000,    2.47372090177077E+004,    3.03857094154699E+004,    0.00000000000000E+000,    1.26281278653568E+004,    0.00000000000000E+000,    0.00000000000000E+000,    2.15856190302250E+004,    1.47667789382830E+004,    2.21177816758795E+004,    0.00000000000000E+000,    0.00000000000000E+000,    2.83255682829845E+004,    5.77386561625657E+004,    1.52272208725922E+004,    1.72662427858201E+004,    1.11393625056494E+004,    5.70549336149447E-001,    5.39563938424744E-001,    1.06191344065403E-001,    0.00000000000000E+000,    0.00000000000000E+000,    8.35694944036568E-001,    3.15970322851869E-001,    6.98290218671168E-001,    6.89599351792845E-001,    1.05633119775029E+000,    2.99283733063907E+003,    2.85660982407210E+003,    1.74362092028591E+003,    2.48160910823317E+004,    1.56315968934413E+004,    1.87110401489240E+004,    6.47533338697653E+003,    1.01400484538463E+004,    1.10291039636230E+004,    6.68777388976219E+003,    1.17005891178900E+004 
    3.00000000000000E-010,    1.31667464552411E+022,    1.36208826532965E+022,    1.95570665021885E+022,    3.12160351330261E+022,    6.78707734211631E+021,    3.98601188035589E+021,    4.42944709320800E+020,    4.61774038757226E+019,    4.61774038757226E+019,    4.78623335571363E+021,    9.36553528390103E+022,    1.01345908492828E+003,    1.01409306559583E+003,    1.02891266782651E+003,    2.20777993900522E+004,    1.01810130802858E+003,    1.03704200080966E+003,    1.08352290144529E+003,    6.00812238065771E+003,    9.57657668730993E+003,    5.08845424444921E+003,    8.25428956364294E+003,    2.10477292596718E+003,    2.02423287597109E+003,    0.00000000000000E+000,    0.00000000000000E+000,    1.86840476361122E+004,    2.98662708968075E+004,    0.00000000000000E+000,    1.21968088026346E+004,    0.00000000000000E+000,    0.00000000000000E+000,    5.18826752242855E+000,    7.71449195898295E-001,    0.00000000000000E+000,    0.00000000000000E+000,    7.62167261271396E+000,    1.89558565926511E+000,    0.00000000000000E+000,    1.75503699964413E+000,    0.00000000000000E+000,    0.00000000000000E+000,    3.69467091612429E+003,    3.10920488106715E+003,    0.00000000000000E+000,    0.00000000000000E+000,    2.44597800536937E+004,    3.00970245156031E+004,    0.00000000000000E+000,    1.27055049139705E+004,    0.00000000000000E+000,    0.00000000000000E+000,    2.18198101951099E+004,    1.49874931227117E+004,    2.20481225209948E+004,    0.00000000000000E+000,    0.00000000000000E+000,    2.78312477195816E+004,    5.75844835159367E+004,    1.53463308142292E+004,    1.71890796895706E+004,    1.12217163873918E+004,    5.90102606525104E-001,    5.75465593566888E-001,    1.02386812640267E-001,    0.00000000000000E+000,    0.00000000000000E+000,    8.35335376200020E-001,    3.08081959619406E-001,    7.20845555560559E-001,    6.79546420975212E-001,    1.06632402957682E+000,    3.17541247530492E+003,    3.06401914228003E+003,    1.72260111838154E+003,    2.20777993900522E+004,    1.54003010661577E+004,    1.85188381783399E+004,    6.34546226055780E+003,    1.01531239284756E+004,    1.09824698540221E+004,    6.69679749381738E+003,    1.08973305421840E+004 
    3.50000000000000E-010,    1.30357319610019E+022,    1.34107769672034E+022,    1.95492785073445E+022,    3.14114457337324E+022,    6.91391755120135E+021,    4.04679427713313E+021,    4.50732704164787E+020,    5.03516890298904E+019,    5.03516890298904E+019,    5.08487993434539E+021,    9.40042610141866E+022,    1.01730845018817E+003,    1.01743071497665E+003,    1.03557081928836E+003,    2.01727518102417E+004,    1.02233601284045E+003,    1.04415976385101E+003,    1.08728283520055E+003,    5.97579162021768E+003,    9.51350517849316E+003,    5.06020728493308E+003,    7.64965576453909E+003,    2.25917827833175E+003,    2.18344848163248E+003,    0.00000000000000E+000,    0.00000000000000E+000,    1.86840476361122E+004,    2.96614608308754E+004,    0.00000000000000E+000,    1.21723762428106E+004,    0.00000000000000E+000,    0.00000000000000E+000,    5.34319082378092E+000,    8.33112256158339E-001,    0.00000000000000E+000,    0.00000000000000E+000,    7.62167261271396E+000,    1.89487777197405E+000,    0.00000000000000E+000,    1.75456717923267E+000,    0.00000000000000E+000,    0.00000000000000E+000,    4.01709273471821E+003,    3.44133689759440E+003,    0.00000000000000E+000,    0.00000000000000E+000,    2.42434309655036E+004,    2.98478383261963E+004,    0.00000000000000E+000,    1.26814424108911E+004,    0.00000000000000E+000,    0.00000000000000E+000,    2.18978739167382E+004,    1.51640644702547E+004,    2.19784633661102E+004,    0.00000000000000E+000,    0.00000000000000E+000,    2.74357912688593E+004,    5.75844835159367E+004,    1.53860341281081E+004,    1.72662427858201E+004,    1.13452472100053E+004,    5.96667946444264E-001,    6.04919775140604E-001,    9.86943725904574E-002,    0.00000000000000E+000,    0.00000000000000E+000,    8.34986438091519E-001,    3.08081959619406E-001,    7.28426243502580E-001,    6.89599351792845E-001,    1.08109443881089E+000,    3.31111138528147E+003,    3.25053774176376E+003,    1.70260841370914E+003,    2.01727518102417E+004,    1.53670254397941E+004,    1.83627433195561E+004,    6.34887203135655E+003,    1.01369997657910E+004,    1.09625196429051E+004,    6.72513364539234E+003,    1.03439161252846E+004 
    4.00000000000000E-010,    1.29426564133677E+022,    1.32473091576889E+022,    1.95439430301570E+022,    3.15461940609752E+022,    7.00349951245950E+021,    4.08662516593033E+021,    4.56068181352248E+020,    5.38452754059206E+019,    5.38452754059206E+019,    5.33215377578006E+021,    9.42661398485228E+022,    1.02066340171389E+003,    1.02087127741061E+003,    1.04214193232516E+003,    1.87701722512598E+004,    1.02615041044865E+003,    1.05018551405256E+003,    1.09028301252002E+003,    5.97392194195802E+003,    9.48591694968657E+003,    5.04080370345471E+003,    7.20211238955745E+003,    2.41358363069631E+003,    2.33650012679168E+003,    0.00000000000000E+000,    0.00000000000000E+000,    1.86840476361122E+004,    2.95024027248913E+004,    0.00000000000000E+000,    1.21967411493641E+004,    0.00000000000000E+000,    0.00000000000000E+000,    5.48242470062738E+000,    8.87461229279898E-001,    0.00000000000000E+000,    0.00000000000000E+000,    7.62167261271396E+000,    1.89432136322866E+000,    0.00000000000000E+000,    1.75503570119923E+000,    0.00000000000000E+000,    0.00000000000000E+000,    4.31049405823802E+003,    3.75144555715851E+003,    0.00000000000000E+000,    0.00000000000000E+000,    2.40398404485322E+004,    2.96221078752206E+004,    0.00000000000000E+000,    1.26271130119261E+004,    0.00000000000000E+000,    0.00000000000000E+000,    2.19759376383665E+004,    1.52964929809120E+004,    2.19088042112255E+004,    0.00000000000000E+000,    0.00000000000000E+000,    2.69414707054565E+004,    5.74303108693077E+004,    1.54654407558661E+004,    1.71890796895706E+004,    1.13864241508764E+004,    6.03256329457790E-001,    6.27421408565393E-001,    9.51115563735037E-002,    0.00000000000000E+000,    0.00000000000000E+000,    8.34472522518553E-001,    3.00344978949222E-001,    7.43678801366111E-001,    6.79546420975212E-001,    1.08596104779821E+000,    3.44339623412366E+003,    3.41317052502312E+003,    1.68336622732016E+003,    1.87701722512598E+004,    1.53356716047470E+004,    1.82128962347492E+004,    6.21745747112253E+003,    1.01461428386210E+004,    1.09085533486290E+004,    6.72733388555843E+003,    9.93444983503591E+003 
    4.50000000000000E-010,    1.28732751893784E+022,    1.31165549306296E+022,    1.95398788580405E+022,    3.16421225373119E+022,    7.06951728366271E+021,    4.11247169894727E+021,    4.60132353468776E+020,    5.72087281920127E+019,    5.72087281920127E+019,    5.54196916386485E+021,    9.44703394716879E+022,    1.02464412159349E+003,    1.02471920040229E+003,    1.04895088730157E+003,    1.76956611946579E+004,    1.03001115470756E+003,    1.05725719697419E+003,    1.09981702123721E+003,    5.98584953550914E+003,    9.48056827879599E+003,    5.01885277390146E+003,    6.85813973971142E+003,    2.56798898306088E+003,    2.47632280653140E+003,    0.00000000000000E+000,    0.00000000000000E+000,    1.83752369313831E+004,    2.93870675387112E+004,    0.00000000000000E+000,    1.21399926327695E+004,    0.00000000000000E+000,    0.00000000000000E+000,    5.60816181837489E+000,    9.33279107116906E-001,    0.00000000000000E+000,    0.00000000000000E+000,    7.61545271501675E+000,    1.89391420678948E+000,    0.00000000000000E+000,    1.75394168713329E+000,    0.00000000000000E+000,    0.00000000000000E+000,    4.58560595568146E+003,    4.04944026518810E+003,    0.00000000000000E+000,    0.00000000000000E+000,    2.38590026651358E+004,    2.94524459813407E+004,    0.00000000000000E+000,    1.26631666334199E+004,    0.00000000000000E+000,    0.00000000000000E+000,    2.18978739167382E+004,    1.53847786546834E+004,    2.18391450563409E+004,    0.00000000000000E+000,    0.00000000000000E+000,    2.64471501420536E+004,    5.74303108693077E+004,    1.53860341281081E+004,    1.71504981414459E+004,    1.14687780326187E+004,    5.96667946444264E-001,    6.42612078160600E-001,    9.16359259336009E-002,    0.00000000000000E+000,    0.00000000000000E+000,    8.33870906555131E-001,    3.00344978949222E-001,    7.28426243502580E-001,    6.74595831706672E-001,    1.09561134747725E+000,    3.54423961237124E+003,    3.55397958911582E+003,    1.66517114695066E+003,    1.76956611946579E+004,    1.51198526982326E+004,    1.80888514982665E+004,    6.22612384579973E+003,    1.01283861978400E+004,    1.08886422417012E+004,    6.74426339133800E+003,    9.60546046407001E+003 
