TIME,002-nPart-Spec-001,003-TempTra-001,004-TempVib001,005-XiVibMean001,006-TempRot001,007-TempTotal001
0.00000000000000E+000,1.99790000000000E+004,1.00618711011910E+004,4.98647626693763E+003,6.66513655149970E+000,7.45495003600805E+003,6.71497142444256E+003
2.00000000000000E-009,1.99790000000000E+004,1.00113944371679E+004,4.99314711442364E+003,6.66677082734475E+000,7.50435388834179E+003,6.71403079450862E+003
4.00000000000000E-009,1.99790000000000E+004,9.95715645980596E+003,4.99902798029226E+003,6.66820827397855E+000,7.56251474146615E+003,6.71320366958761E+003
6.00000000000000E-009,1.99790000000000E+004,9.89557684116856E+003,5.00761817102542E+003,6.67030242957911E+000,7.62100023028616E+003,6.71199903424425E+003
8.00000000000000E-009,1.99790000000000E+004,9.84734828575747E+003,5.01384225467259E+003,6.67181568195161E+000,7.66879118092619E+003,6.71112881964081E+003
1.00000000000000E-008,1.99790000000000E+004,9.79367660845821E+003,5.01954893933625E+003,6.67320013614339E+000,7.72678705565181E+003,6.71033287260287E+003
1.20000000000000E-008,1.99790000000000E+004,9.74294626642732E+003,5.02392778451606E+003,6.67426051094597E+000,7.78560849892488E+003,6.70972337354705E+003
1.40000000000000E-008,1.99790000000000E+004,9.70044410156792E+003,5.03216023470086E+003,6.67624951731354E+000,7.81688449510031E+003,6.70858039790269E+003
1.60000000000000E-008,1.99790000000000E+004,9.66708731275947E+003,5.03661791514442E+003,6.67732404551664E+000,7.84933336468365E+003,6.70796308085615E+003
1.80000000000000E-008,1.99790000000000E+004,9.61852400432558E+003,5.04575035370678E+003,6.67952002525183E+000,7.88614804353649E+003,6.70670185595805E+003
2.00000000000000E-008,1.99790000000000E+004,9.57379549904518E+003,5.05478369139124E+003,6.68168505983177E+000,7.91759972933134E+003,6.70545886368695E+003
2.20000000000000E-008,1.99790000000000E+004,9.51309345835329E+003,5.06226388418772E+003,6.68347251810395E+000,7.97913833118706E+003,6.70443298988516E+003
2.40000000000000E-008,1.99790000000000E+004,9.47384156993435E+003,5.07211554958019E+003,6.68581932559797E+000,7.99914286985682E+003,6.70308657271301E+003
2.60000000000000E-008,1.99790000000000E+004,9.42293060856043E+003,5.07630193584855E+003,6.68681406768562E+000,8.05898979142118E+003,6.70251602800485E+003
2.80000000000000E-008,1.99790000000000E+004,9.40981815713328E+003,5.08109823243257E+003,6.68795189519250E+000,8.05973180656682E+003,6.70186353778623E+003
3.00000000000000E-008,1.99790000000000E+004,9.36069932229426E+003,5.08958109455893E+003,6.68995949879919E+000,8.09993461460891E+003,6.70071257240884E+003
3.20000000000000E-008,1.99790000000000E+004,9.33019281728294E+003,5.09589501138488E+003,6.69144982874639E+000,8.12077719008475E+003,6.69985842480053E+003
3.40000000000000E-008,1.99790000000000E+004,9.30977492978939E+003,5.10133956833640E+003,6.69273225320469E+000,8.12991699094320E+003,6.69912360418073E+003
3.60000000000000E-008,1.99790000000000E+004,9.28136045296724E+003,5.10940745473985E+003,6.69462799696831E+000,8.14069753094244E+003,6.69803764903962E+003
3.80000000000000E-008,1.99790000000000E+004,9.23751767756994E+003,5.11414206176364E+003,6.69573796489653E+000,8.18777519721671E+003,6.69740197865840E+003
4.00000000000000E-008,1.99790000000000E+004,9.22382506317062E+003,5.11857975269134E+003,6.69677662303318E+000,8.19079910405018E+003,6.69680726178166E+003
4.20000000000000E-008,1.99790000000000E+004,9.20303750472486E+003,5.12291884892133E+003,6.69779061645010E+000,8.20485415912210E+003,6.69622676588225E+003
4.40000000000000E-008,1.99790000000000E+004,9.18299750309362E+003,5.12778424370290E+003,6.69892573617782E+000,8.21571013233824E+003,6.69557704528669E+003
4.60000000000000E-008,1.99790000000000E+004,9.15666470356193E+003,5.13364741167143E+003,6.70029103104478E+000,8.23206638053713E+003,6.69479574250674E+003
4.80000000000000E-008,1.99790000000000E+004,9.14721355353459E+003,5.13961989615442E+003,6.70167885684306E+000,8.22266796367916E+003,6.69400173569305E+003
5.00000000000000E-008,1.99790000000000E+004,9.10987736456275E+003,5.14671063391282E+003,6.70332271171950E+000,8.25068211449765E+003,6.69306149502314E+003
5.20000000000000E-008,1.99790000000000E+004,9.09749280457395E+003,5.15122300022344E+003,6.70436666722831E+000,8.25144620309189E+003,6.69246451560569E+003
5.40000000000000E-008,1.99790000000000E+004,9.06858986117324E+003,5.15829361962012E+003,6.70599913022473E+000,8.26688823118661E+003,6.69153121413272E+003
5.60000000000000E-008,1.99790000000000E+004,9.06107463798809E+003,5.16149529215041E+003,6.70673698768612E+000,8.26552165558345E+003,6.69110946074535E+003
5.80000000000000E-008,1.99790000000000E+004,9.03907597959142E+003,5.16899729671143E+003,6.70846262856338E+000,8.26890274443477E+003,6.69012329839829E+003
6.00000000000000E-008,1.99790000000000E+004,9.03532601223694E+003,5.17666496944695E+003,6.71022165402048E+000,8.24425558775338E+003,6.68911835318816E+003
6.20000000000000E-008,1.99790000000000E+004,9.02457833366268E+003,5.18271832311772E+003,6.71160698169014E+000,8.23647754908042E+003,6.68832711883019E+003
6.40000000000000E-008,1.99790000000000E+004,8.98740991930359E+003,5.18846620164555E+003,6.71291966571604E+000,8.26953600574592E+003,6.68757754726250E+003
6.60000000000000E-008,1.99790000000000E+004,8.98005390950006E+003,5.19444713473607E+003,6.71428275468011E+000,8.25695503471620E+003,6.68679937604319E+003
6.80000000000000E-008,1.99790000000000E+004,8.96678986943649E+003,5.19926770956265E+003,6.71537930464386E+000,8.25781711713500E+003,6.68617349739841E+003
7.00000000000000E-008,1.99790000000000E+004,8.96270180227669E+003,5.20482517230634E+003,6.71664117185130E+000,8.24200508853890E+003,6.68545340593817E+003
7.20000000000000E-008,1.99790000000000E+004,8.94955984116444E+003,5.21376742516645E+003,6.71866641935901E+000,8.22640748713704E+003,6.68429800904476E+003
7.40000000000000E-008,1.99790000000000E+004,8.93432368868562E+003,5.22106702207447E+003,6.72031493317974E+000,8.22043642630125E+003,6.68335783132300E+003
7.60000000000000E-008,1.99790000000000E+004,8.91413977231387E+003,5.22526119431447E+003,6.72126022362248E+000,8.23414951693575E+003,6.68281883345037E+003
7.80000000000000E-008,1.99790000000000E+004,8.89997894895756E+003,5.23318945781500E+003,6.72304332377940E+000,8.22408114588385E+003,6.68180236322995E+003
8.00000000000000E-008,1.99790000000000E+004,8.88500006453106E+003,5.23787993512951E+003,6.72409590681188E+000,8.22802570456724E+003,6.68120247885319E+003
8.20000000000000E-008,1.99790000000000E+004,8.86112557020017E+003,5.24317406453188E+003,6.72528188431567E+000,8.24292917437831E+003,6.68052669306371E+003
8.40000000000000E-008,1.99790000000000E+004,8.84963662942319E+003,5.24994464792185E+003,6.72679542348941E+000,8.23342254550172E+003,6.67966445919105E+003
8.60000000000000E-008,1.99790000000000E+004,8.83251559868150E+003,5.25370891672497E+003,6.72763536768901E+000,8.24423693009467E+003,6.67918605243704E+003
8.80000000000000E-008,1.99790000000000E+004,8.83005251090579E+003,5.25799990743037E+003,6.72859149992689E+000,8.23098380661533E+003,6.67864155983169E+003
9.00000000000001E-008,1.99790000000000E+004,8.81902050132727E+003,5.26518874290957E+003,6.73019014200869E+000,8.21913785732126E+003,6.67773136186827E+003
9.20000000000001E-008,1.99790000000000E+004,8.79540729078590E+003,5.26835618845575E+003,6.73089324602559E+000,8.24204681072779E+003,6.67733112368793E+003
9.40000000000001E-008,1.99790000000000E+004,8.77225890278281E+003,5.27331669909664E+003,6.73199281756315E+000,8.25717587854253E+003,6.67670529862786E+003
9.60000000000001E-008,1.99790000000000E+004,8.74171864119611E+003,5.27689167491530E+003,6.73278409086410E+000,8.28886519779579E+003,6.67625501591361E+003
9.80000000000001E-008,1.99790000000000E+004,8.72827550511435E+003,5.28313349327567E+003,6.73416328342860E+000,8.28437425048442E+003,6.67547030974102E+003
1.00000000000000E-007,1.99790000000000E+004,8.70939258007771E+003,5.28962110353295E+003,6.73559362671938E+000,8.28707132135686E+003,6.67465669545008E+003
1.02000000000000E-007,1.99790000000000E+004,8.68173779349273E+003,5.29769230311582E+003,6.73736862929842E+000,8.29666963517498E+003,6.67364731018067E+003
1.04000000000000E-007,1.99790000000000E+004,8.66245639996432E+003,5.30272886963105E+003,6.73847375303281E+000,8.30569505596462E+003,6.67301901995925E+003
1.06000000000000E-007,1.99790000000000E+004,8.64363180714293E+003,5.30846019146504E+003,6.73972898289638E+000,8.31129009825742E+003,6.67230553099077E+003
1.08000000000000E-007,1.99790000000000E+004,8.63309056612933E+003,5.31401848250358E+003,6.74094394715181E+000,8.30514310498030E+003,6.67161507504139E+003
1.10000000000000E-007,1.99790000000000E+004,8.62477052087128E+003,5.32417484996380E+003,6.74315798104939E+000,8.27749744585401E+003,6.67035721675251E+003
1.12000000000000E-007,1.99790000000000E+004,8.60937800017928E+003,5.32904738648769E+003,6.74421742241338E+000,8.28133518830147E+003,6.66975548804689E+003
1.14000000000000E-007,1.99790000000000E+004,8.59394014975608E+003,5.33294195527495E+003,6.74506294706202E+000,8.28910447807612E+003,6.66927533209792E+003
1.16000000000000E-007,1.99790000000000E+004,8.57254493418392E+003,5.33882660369008E+003,6.74633837974606E+000,8.29794647907088E+003,6.66855117293757E+003
1.18000000000000E-007,1.99790000000000E+004,8.56438438093424E+003,5.34840215239064E+003,6.74840827385192E+000,8.27235207094549E+003,6.66737627735607E+003
1.20000000000000E-007,1.99790000000000E+004,8.55835690548920E+003,5.35120027966703E+003,6.74901184730609E+000,8.27033690391385E+003,6.66703375799524E+003
1.22000000000000E-007,1.99790000000000E+004,8.54353930746134E+003,5.35839539178058E+003,6.75056122331136E+000,8.26413228138507E+003,6.66615467529170E+003
1.24000000000000E-007,1.99790000000000E+004,8.52215217607223E+003,5.36520867837201E+003,6.75202486462500E+000,8.26928982115354E+003,6.66532444179720E+003
1.26000000000000E-007,1.99790000000000E+004,8.50457861751388E+003,5.37106466778512E+003,6.75328013591586E+000,8.27250920699148E+003,6.66461257541477E+003
1.28000000000000E-007,1.99790000000000E+004,8.49149487209788E+003,5.37874106522646E+003,6.75492182613976E+000,8.26179927779078E+003,6.66368179636385E+003
1.30000000000000E-007,1.99790000000000E+004,8.47796255413212E+003,5.38561751390231E+003,6.75638879158674E+000,8.25492255177634E+003,6.66285029878462E+003
1.32000000000000E-007,1.99790000000000E+004,8.46325549853497E+003,5.38861834333654E+003,6.75702788733597E+000,8.26512382890048E+003,6.66248811554789E+003
1.34000000000000E-007,1.99790000000000E+004,8.46724960220473E+003,5.39088445682685E+003,6.75751007571903E+000,8.25017687680942E+003,6.66221488136698E+003
1.36000000000000E-007,1.99790000000000E+004,8.45737055481267E+003,5.39433775613116E+003,6.75824416104341E+000,8.25134763869785E+003,6.66179894821576E+003
1.38000000000000E-007,1.99790000000000E+004,8.42768442735627E+003,5.39975033169796E+003,6.75939300585732E+000,8.27448536184101E+003,6.66114812152203E+003
1.40000000000000E-007,1.99790000000000E+004,8.42830293212936E+003,5.40506116504660E+003,6.76051820270091E+000,8.25256771830069E+003,6.66051081048532E+003
1.42000000000000E-007,1.99790000000000E+004,8.42756896612990E+003,5.40964875893670E+003,6.76148853556209E+000,8.23553683287373E+003,6.65996131291233E+003
1.44000000000000E-007,1.99790000000000E+004,8.43285484860894E+003,5.41637072141861E+003,6.76290758837651E+000,8.20103969542574E+003,6.65915786564737E+003
1.46000000000000E-007,1.99790000000000E+004,8.42016113618590E+003,5.42247112223721E+003,6.76419262918939E+000,8.19596798616853E+003,6.65843046326600E+003
1.48000000000000E-007,1.99790000000000E+004,8.40189032625615E+003,5.42616934833047E+003,6.76497036357795E+000,8.20875638635773E+003,6.65799030171740E+003
1.50000000000000E-007,1.99790000000000E+004,8.38226298319922E+003,5.43303173440032E+003,6.76641094257115E+000,8.21107214142061E+003,6.65717515678616E+003
1.52000000000000E-007,1.99790000000000E+004,8.36328562016671E+003,5.43719618926154E+003,6.76728353300399E+000,8.22307676047261E+003,6.65668150164394E+003
1.54000000000000E-007,1.99790000000000E+004,8.35242094460632E+003,5.44479838068704E+003,6.76887328055787E+000,8.20932275724580E+003,6.65578231305884E+003
1.56000000000000E-007,1.99790000000000E+004,8.33202785359166E+003,5.44886444332263E+003,6.76972189086309E+000,8.22383908579439E+003,6.65530242439113E+003
1.58000000000000E-007,1.99790000000000E+004,8.30765371476931E+003,5.45712191721536E+003,6.77144169695921E+000,8.22775728887249E+003,6.65433008413145E+003
1.60000000000000E-007,1.99790000000000E+004,8.30239930337505E+003,5.46307353787125E+003,6.77267829458517E+000,8.21211057421555E+003,6.65363111690972E+003
1.62000000000000E-007,1.99790000000000E+004,8.29049643198285E+003,5.46810314670969E+003,6.77372139280205E+000,8.21008102725711E+003,6.65304163399574E+003
1.64000000000000E-007,1.99790000000000E+004,8.28555952697563E+003,5.46992623289128E+003,6.77409905013904E+000,8.21027895897085E+003,6.65282823457333E+003
1.66000000000000E-007,1.99790000000000E+004,8.27734044010352E+003,5.47386810651811E+003,6.77491482981089E+000,8.20702352401049E+003,6.65236731745158E+003
1.68000000000000E-007,1.99790000000000E+004,8.26133413630935E+003,5.47810199089482E+003,6.77578983990627E+000,8.21429418496727E+003,6.65187300857617E+003
1.70000000000000E-007,1.99790000000000E+004,8.25354210109377E+003,5.48196008709859E+003,6.77658610467078E+000,8.21072887976472E+003,6.65142324941993E+003
1.72000000000000E-007,1.99790000000000E+004,8.24389441900791E+003,5.48658983199359E+003,6.77754026968700E+000,8.20689590917510E+003,6.65088437919198E+003
1.74000000000000E-007,1.99790000000000E+004,8.25103603180215E+003,5.48904507280938E+003,6.77804568095223E+000,8.18647613125707E+003,6.65059898119664E+003
1.76000000000000E-007,1.99790000000000E+004,8.23078445966248E+003,5.49532589465420E+003,6.77933669838979E+000,8.19202035167187E+003,6.64987007292862E+003
1.78000000000000E-007,1.99790000000000E+004,8.22440001044144E+003,5.50108513922811E+003,6.78051812384641E+000,8.17882554344727E+003,6.64920318292432E+003
1.80000000000000E-007,1.99790000000000E+004,8.21088847090346E+003,5.50541686363388E+003,6.78140521663747E+000,8.18196527279527E+003,6.64870252374429E+003
1.82000000000000E-007,1.99790000000000E+004,8.21119964200745E+003,5.50792082659376E+003,6.78191741739974E+000,8.17159772831208E+003,6.64841347932900E+003
1.84000000000000E-007,1.99790000000000E+004,8.19701812731838E+003,5.51602756002596E+003,6.78357276506775E+000,8.16081493752969E+003,6.64747951629587E+003
1.86000000000000E-007,1.99790000000000E+004,8.18387999537051E+003,5.51982796089136E+003,6.78434724510834E+000,8.16549449643052E+003,6.64704263797326E+003
1.88000000000000E-007,1.99790000000000E+004,8.18063362711405E+003,5.52521345121637E+003,6.78544307064693E+000,8.14906820217625E+003,6.64642458858326E+003
1.90000000000000E-007,1.99790000000000E+004,8.18278965617899E+003,5.52879083829339E+003,6.78616990253726E+000,8.13168784194639E+003,6.64601471762404E+003
1.92000000000000E-007,1.99790000000000E+004,8.17318778706414E+003,5.53516623300423E+003,6.78746307396860E+000,8.12087941582737E+003,6.64528559844461E+003
1.94000000000000E-007,1.99790000000000E+004,8.16157080238995E+003,5.54227788060611E+003,6.78890235552478E+000,8.11018140417557E+003,6.64447428707656E+003
1.96000000000000E-007,1.99790000000000E+004,8.15610974309305E+003,5.54843853527385E+003,6.79014642714766E+000,8.09400964260289E+003,6.64377317915749E+003
1.98000000000000E-007,1.99790000000000E+004,8.14818166486038E+003,5.55007306473309E+003,6.79047607449929E+000,8.09943762160665E+003,6.64358742604157E+003
2.00000000000000E-007,1.99790000000000E+004,8.14153987181644E+003,5.55495380137605E+003,6.79145934538762E+000,8.09009805480338E+003,6.64303343107807E+003
2.02000000000000E-007,1.99790000000000E+004,8.13914353829876E+003,5.55924587806804E+003,6.79232271199969E+000,8.07671798578212E+003,6.64254706546864E+003
