001-TIME,002-nPart-Spec-001     ,003-nPart-Spec-002     ,004-nPart-Spec-003     ,005-nPart-Spec-004     ,006-nPartIn-Spec-001     ,007-nPartIn-Spec-002     ,008-nPartIn-Spec-003     ,009-nPartIn-Spec-004     ,010-nPartOut-Spec-001     ,011-nPartOut-Spec-002     ,012-nPartOut-Spec-003     ,013-nPartOut-Spec-004     ,014-Ekin-001     ,015-Ekin-002     ,016-Ekin-003     ,017-Ekin-004     ,018-E-kin+pot     ,019-TempTra-001     ,020-TempTra-002     ,021-TempTra-003     ,022-TempTra-004     ,023-EkinIn-001     ,024-EkinIn-002     ,025-EkinIn-003     ,026-EkinIn-004     ,027-EkinOut-001     ,028-EkinOut-002     ,029-EkinOut-003     ,030-EkinOut-004     ,031-E-Vib001     ,032-E-Vib002     ,033-E-Vib003     ,034-E-Vib004     ,035-E-Rot001     ,036-E-Rot002     ,037-E-Rot003     ,038-E-Rot004     ,039-E-Elec001     ,040-E-Elec002     ,041-E-Elec003     ,042-E-Elec004     ,043-E-TotalPart     ,044-E-Tot     ,045-TempVib001     ,046-TempVib002     ,047-TempVib003     ,048-XiVibMean001     ,049-XiVibMean002     ,050-XiVibMean003     ,051-TempRot001     ,052-TempRot002     ,053-TempRot003     ,054-TempElec001     ,055-TempElec002     ,056-TempElec003     ,057-XiElecMean001     ,058-XiElecMean002     ,059-XiElecMean003     ,060-TempTotal001     ,061-TempTotal002     ,062-TempTotal003     ,063-TempTotal004     ,064-Pmean     ,065-Pmax     ,066-MeanFreePath     ,067-CollRate001+001     ,068-CollRate001+002     ,069-CollRate001+003     ,070-CollRate002+002     ,071-CollRate002+003     ,072-CollRate003+003     ,073-TotalCollRate      
    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.99790000000000E+004,    1.99790000000000E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    2.48234373216733E-012,    2.48234373216733E-012,    2.48234373216733E-012,    0.00000000000000E+000,    0.00000000000000E+000,    1.19989459269791E+004,    1.19989459269791E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    2.06585331429069E-012,    2.06585331429069E-012,    0.00000000000000E+000,    0.00000000000000E+000,    1.24520577655833E-012,    1.24520577655833E-012,    0.00000000000000E+000,    0.00000000000000E+000,    3.34700952588650E-013,    3.34700952588650E-013,    6.12810377560500E-012,    6.12810377560500E-012,    0.00000000000000E+000,    0.00000000000000E+000,    1.49224026057082E+004,    0.00000000000000E+000,    0.00000000000000E+000,    1.79479063831722E+000,    0.00000000000000E+000,    0.00000000000000E+000,    9.02846984091153E+003,    0.00000000000000E+000,    0.00000000000000E+000,    7.99538000223593E+003,    0.00000000000000E+000,    0.00000000000000E+000,    6.07050073459475E-001,    0.00000000000000E+000,    0.00000000000000E+000,    1.15768449112992E+004,    1.15768449112992E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000 
    2.00000000000000E-007,    0.00000000000000E+000,    0.00000000000000E+000,    1.99790000000000E+004,    1.99790000000000E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    2.29575844159353E-012,    2.29575844159353E-012,    2.29575844159353E-012,    0.00000000000000E+000,    0.00000000000000E+000,    1.10967344219194E+004,    1.10967344219194E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.93639710348247E-012,    1.93639710348247E-012,    0.00000000000000E+000,    0.00000000000000E+000,    1.53734563029394E-012,    1.53734563029394E-012,    0.00000000000000E+000,    0.00000000000000E+000,    3.58602556675238E-013,    3.58602556675238E-013,    6.12810373204518E-012,    6.12810373204518E-012,    0.00000000000000E+000,    0.00000000000000E+000,    1.39799843376336E+004,    0.00000000000000E+000,    0.00000000000000E+000,    1.78149856800193E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.11466545686361E+004,    0.00000000000000E+000,    0.00000000000000E+000,    8.33174969811397E+003,    0.00000000000000E+000,    0.00000000000000E+000,    6.24145516762877E-001,    0.00000000000000E+000,    0.00000000000000E+000,    1.15707773316254E+004,    1.15707773316254E+004,    3.51688484585069E-001,    6.31255137139424E-001,    3.33952327643668E-005,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    4.39492500000000E+013,    4.39492500000000E+013 
    4.00000000000000E-007,    0.00000000000000E+000,    0.00000000000000E+000,    1.99790000000000E+004,    1.99790000000000E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    2.32399632103918E-012,    2.32399632103918E-012,    2.32399632103918E-012,    0.00000000000000E+000,    0.00000000000000E+000,    1.12324294074465E+004,    1.12324294074465E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.85324882791002E-012,    1.85324882791002E-012,    0.00000000000000E+000,    0.00000000000000E+000,    1.56149754719246E-012,    1.56149754719246E-012,    0.00000000000000E+000,    0.00000000000000E+000,    3.89361071184036E-013,    3.89361071184036E-013,    6.12810376732570E-012,    6.12810376732570E-012,    0.00000000000000E+000,    0.00000000000000E+000,    1.33743977345475E+004,    0.00000000000000E+000,    0.00000000000000E+000,    1.77201062313176E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.13217700856241E+004,    0.00000000000000E+000,    0.00000000000000E+000,    8.76543875491196E+003,    0.00000000000000E+000,    0.00000000000000E+000,    6.44152382309598E-001,    0.00000000000000E+000,    0.00000000000000E+000,    1.15540450567620E+004,    1.15540450567620E+004,    3.51475077949060E-001,    6.27467655637383E-001,    3.33836362637064E-005,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    4.37590000000000E+013,    4.37590000000000E+013 
    5.99999999999999E-007,    0.00000000000000E+000,    0.00000000000000E+000,    1.99790000000000E+004,    1.99790000000000E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    2.34083604309595E-012,    2.34083604309595E-012,    2.34083604309595E-012,    0.00000000000000E+000,    0.00000000000000E+000,    1.13148582777186E+004,    1.13148582777186E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.78886041630436E-012,    1.78886041630436E-012,    0.00000000000000E+000,    0.00000000000000E+000,    1.58366742724866E-012,    1.58366742724866E-012,    0.00000000000000E+000,    0.00000000000000E+000,    4.14739870105300E-013,    4.14739870105300E-013,    6.12810375675427E-012,    6.12810375675427E-012,    0.00000000000000E+000,    0.00000000000000E+000,    1.29052679184749E+004,    0.00000000000000E+000,    0.00000000000000E+000,    1.76407555076021E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.14825146767850E+004,    0.00000000000000E+000,    0.00000000000000E+000,    9.12440044528928E+003,    0.00000000000000E+000,    0.00000000000000E+000,    6.59142785279727E-001,    0.00000000000000E+000,    0.00000000000000E+000,    1.15434775918158E+004,    1.15434775918158E+004,    3.52825752899071E-001,    6.81345731556268E-001,    3.33763057799539E-005,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    4.38720000000000E+013,    4.38720000000000E+013 
    7.99999999999998E-007,    0.00000000000000E+000,    0.00000000000000E+000,    1.99790000000000E+004,    1.99790000000000E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    2.37872465787883E-012,    2.37872465787883E-012,    2.37872465787883E-012,    0.00000000000000E+000,    0.00000000000000E+000,    1.14975443249197E+004,    1.14975443249197E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.73047691442642E-012,    1.73047691442642E-012,    0.00000000000000E+000,    0.00000000000000E+000,    1.58478415066701E-012,    1.58478415066701E-012,    0.00000000000000E+000,    0.00000000000000E+000,    4.34118040566859E-013,    4.34118040566859E-013,    6.12810376353912E-012,    6.12810376353912E-012,    0.00000000000000E+000,    0.00000000000000E+000,    1.24797412196186E+004,    0.00000000000000E+000,    0.00000000000000E+000,    1.75638566415472E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.14906115744168E+004,    0.00000000000000E+000,    0.00000000000000E+000,    9.39936625868213E+003,    0.00000000000000E+000,    0.00000000000000E+000,    6.69750143323259E-001,    0.00000000000000E+000,    0.00000000000000E+000,    1.15387496020077E+004,    1.15387496020077E+004,    3.53072971691988E-001,    6.15823275653631E-001,    3.33730243965316E-005,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    4.39192500000000E+013,    4.39192500000000E+013 
    9.99999999999998E-007,    0.00000000000000E+000,    0.00000000000000E+000,    1.99790000000000E+004,    1.99790000000000E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    2.39045606792677E-012,    2.39045606792677E-012,    2.39045606792677E-012,    0.00000000000000E+000,    0.00000000000000E+000,    1.15543873002025E+004,    1.15543873002025E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.69530216948870E-012,    1.69530216948870E-012,    0.00000000000000E+000,    0.00000000000000E+000,    1.58438604921295E-012,    1.58438604921295E-012,    0.00000000000000E+000,    0.00000000000000E+000,    4.57959481065507E-013,    4.57959481065507E-013,    6.12810376769393E-012,    6.12810376769393E-012,    0.00000000000000E+000,    0.00000000000000E+000,    1.22232964427943E+004,    0.00000000000000E+000,    0.00000000000000E+000,    1.75150490230028E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.14877251061403E+004,    0.00000000000000E+000,    0.00000000000000E+000,    9.73911509903656E+003,    0.00000000000000E+000,    0.00000000000000E+000,    6.81892846656830E-001,    0.00000000000000E+000,    0.00000000000000E+000,    1.15275425273099E+004,    1.15275425273099E+004,    3.53665773146631E-001,    6.51909367452861E-001,    3.33652422272204E-005,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    4.42070000000000E+013,    4.42070000000000E+013 
    1.20000000000000E-006,    0.00000000000000E+000,    0.00000000000000E+000,    1.99790000000000E+004,    1.99790000000000E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    2.38063911931950E-012,    2.38063911931950E-012,    2.38063911931950E-012,    0.00000000000000E+000,    0.00000000000000E+000,    1.15072605723837E+004,    1.15072605723837E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.66652681739947E-012,    1.66652681739947E-012,    0.00000000000000E+000,    0.00000000000000E+000,    1.60547395504923E-012,    1.60547395504923E-012,    0.00000000000000E+000,    0.00000000000000E+000,    4.75463888891535E-013,    4.75463888891535E-013,    6.12810378065973E-012,    6.12810378065973E-012,    0.00000000000000E+000,    0.00000000000000E+000,    1.20134622526882E+004,    0.00000000000000E+000,    0.00000000000000E+000,    1.74736366171743E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.16406247516728E+004,    0.00000000000000E+000,    0.00000000000000E+000,    9.98946143124430E+003,    0.00000000000000E+000,    0.00000000000000E+000,    6.90207670072014E-001,    0.00000000000000E+000,    0.00000000000000E+000,    1.15211965962248E+004,    1.15211965962248E+004,    3.52982961751701E-001,    6.23897453032584E-001,    3.33608330758137E-005,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    4.41540000000000E+013,    4.41540000000000E+013 
    1.40000000000001E-006,    0.00000000000000E+000,    0.00000000000000E+000,    1.99790000000000E+004,    1.99790000000000E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    2.38748466749571E-012,    2.38748466749571E-012,    2.38748466749571E-012,    0.00000000000000E+000,    0.00000000000000E+000,    1.15400195800779E+004,    1.15400195800779E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.65977677288806E-012,    1.65977677288806E-012,    0.00000000000000E+000,    0.00000000000000E+000,    1.58950064644602E-012,    1.58950064644602E-012,    0.00000000000000E+000,    0.00000000000000E+000,    4.91341689667402E-013,    4.91341689667402E-013,    6.12810377649719E-012,    6.12810377649719E-012,    0.00000000000000E+000,    0.00000000000000E+000,    1.19642338246136E+004,    0.00000000000000E+000,    0.00000000000000E+000,    1.74637207533190E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.15248089261294E+004,    0.00000000000000E+000,    0.00000000000000E+000,    1.02174088629229E+004,    0.00000000000000E+000,    0.00000000000000E+000,    6.97343548647614E-001,    0.00000000000000E+000,    0.00000000000000E+000,    1.15115526881430E+004,    1.15115526881430E+004,    3.55299301127594E-001,    6.17025169041236E-001,    3.33541289556342E-005,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    4.41512500000000E+013,    4.41512500000000E+013 
    1.60000000000001E-006,    0.00000000000000E+000,    0.00000000000000E+000,    1.99790000000000E+004,    1.99790000000000E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    2.37959753046131E-012,    2.37959753046131E-012,    2.37959753046131E-012,    0.00000000000000E+000,    0.00000000000000E+000,    1.15017314565040E+004,    1.15017314565040E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.65767286291047E-012,    1.65767286291047E-012,    0.00000000000000E+000,    0.00000000000000E+000,    1.59163543355935E-012,    1.59163543355935E-012,    0.00000000000000E+000,    0.00000000000000E+000,    4.99197940995019E-013,    4.99197940995019E-013,    6.12810376792615E-012,    6.12810376792615E-012,    0.00000000000000E+000,    0.00000000000000E+000,    1.19488894149974E+004,    0.00000000000000E+000,    0.00000000000000E+000,    1.74606140996233E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.15402873807208E+004,    0.00000000000000E+000,    0.00000000000000E+000,    1.03305619293893E+004,    0.00000000000000E+000,    0.00000000000000E+000,    7.00739478132026E-001,    0.00000000000000E+000,    0.00000000000000E+000,    1.15067258670222E+004,    1.15067258670222E+004,    3.53974590572145E-001,    6.19114610115330E-001,    3.33507719091580E-005,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    4.43337500000000E+013,    4.43337500000000E+013 
    1.80000000000002E-006,    0.00000000000000E+000,    0.00000000000000E+000,    1.99790000000000E+004,    1.99790000000000E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    2.38428657377164E-012,    2.38428657377164E-012,    2.38428657377164E-012,    0.00000000000000E+000,    0.00000000000000E+000,    1.15243358551015E+004,    1.15243358551015E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.64737247031189E-012,    1.64737247031189E-012,    0.00000000000000E+000,    0.00000000000000E+000,    1.58610281812738E-012,    1.58610281812738E-012,    0.00000000000000E+000,    0.00000000000000E+000,    5.10341908903582E-013,    5.10341908903582E-013,    6.12810377111449E-012,    6.12810377111449E-012,    0.00000000000000E+000,    0.00000000000000E+000,    1.18737623839403E+004,    0.00000000000000E+000,    0.00000000000000E+000,    1.74452934912424E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.15001726844117E+004,    0.00000000000000E+000,    0.00000000000000E+000,    1.04913126594803E+004,    0.00000000000000E+000,    0.00000000000000E+000,    7.05404064583920E-001,    0.00000000000000E+000,    0.00000000000000E+000,    1.15018604505361E+004,    1.15018604505361E+004,    3.54099415007832E-001,    6.40265720123669E-001,    3.33473869363825E-005,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    4.40952500000000E+013,    4.40952500000000E+013 
