z, Bz
-1.000000000000E+0, 1.267848968437E-3
-9.875000000000E-1, 1.314661466569E-3
-9.750000000000E-1, 1.363780344686E-3
-9.625000000000E-1, 1.415347587513E-3
-9.500000000000E-1, 1.469515647843E-3
-9.375000000000E-1, 1.526448343136E-3
-9.250000000000E-1, 1.586321839218E-3
-9.125000000000E-1, 1.649325730498E-3
-9.000000000000E-1, 1.715664227225E-3
-8.875000000000E-1, 1.785557461518E-3
-8.750000000000E-1, 1.859242925351E-3
-8.625000000000E-1, 1.936977055228E-3
-8.500000000000E-1, 2.019036980045E-3
-8.375000000000E-1, 2.105722450692E-3
-8.250000000000E-1, 2.197357972140E-3
-8.125000000000E-1, 2.294295161353E-3
-8.000000000000E-1, 2.396915357197E-3
-7.875000000000E-1, 2.505632511744E-3
-7.750000000000E-1, 2.620896396005E-3
-7.625000000000E-1, 2.743196157156E-3
-7.500000000000E-1, 2.873064268926E-3
-7.375000000000E-1, 3.011080921864E-3
-7.250000000000E-1, 3.157878905922E-3
-7.125000000000E-1, 3.314149044102E-3
-7.000000000000E-1, 3.480646242899E-3
-6.875000000000E-1, 3.658196232967E-3
-6.750000000000E-1, 3.847703081847E-3
-6.625000000000E-1, 4.050157569612E-3
-6.500000000000E-1, 4.266646528005E-3
-6.375000000000E-1, 4.498363253676E-3
-6.250000000000E-1, 4.746619116429E-3
-6.125000000000E-1, 5.012856493371E-3
-6.000000000000E-1, 5.298663168962E-3
-5.875000000000E-1, 5.605788348167E-3
-5.750000000000E-1, 5.936160433836E-3
-5.625000000000E-1, 6.291906717971E-3
-5.500000000000E-1, 6.675375126721E-3
-5.375000000000E-1, 7.089158136661E-3
-5.250000000000E-1, 7.536118939044E-3
-5.125000000000E-1, 8.019419860982E-3
-5.000000000000E-1, 8.542552946085E-3
-4.875000000000E-1, 9.109372435247E-3
-4.750000000000E-1, 9.724128647946E-3
-4.625000000000E-1, 1.039150241291E-2
-4.500000000000E-1, 1.111663868882E-2
-4.375000000000E-1, 1.190517728731E-2
-4.250000000000E-1, 1.276327757274E-2
-4.125000000000E-1, 1.369763254243E-2
-4.000000000000E-1, 1.471546561439E-2
-3.875000000000E-1, 1.582450052627E-2
-3.750000000000E-1, 1.703289064806E-2
-3.625000000000E-1, 1.834908827016E-2
-3.500000000000E-1, 1.978162642065E-2
-3.375000000000E-1, 2.133877463244E-2
-3.250000000000E-1, 2.302801467676E-2
-3.125000000000E-1, 2.485526109443E-2
-3.000000000000E-1, 2.682372246665E-2
-2.875000000000E-1, 2.893226043659E-2
-2.750000000000E-1, 3.117305192442E-2
-2.625000000000E-1, 3.352829339552E-2
-2.500000000000E-1, 3.596560344887E-2
-2.375000000000E-1, 3.843168426630E-2
-2.250000000000E-1, 4.084370534305E-2
-2.125000000000E-1, 4.307780450283E-2
-2.000000000000E-1, 4.495412714376E-2
-1.875000000000E-1, 4.621807550495E-2
-1.750000000000E-1, 4.651815646228E-2
-1.625000000000E-1, 4.538240915117E-2
-1.500000000000E-1, 4.219848315310E-2
-1.375000000000E-1, 3.620776851014E-2
