"E[V/m]","W[1/s]"
0.1000000000000000E+002,0.0000000000000000E+000
0.2000000000000000E+002,0.0000000000000000E+000
0.3000000000000000E+002,0.0000000000000000E+000
0.4000000000000000E+002,0.0000000000000000E+000
0.5000000000000000E+002,0.0000000000000000E+000
0.5999999999999999E+002,0.0000000000000000E+000
0.7000000000000000E+002,0.0000000000000000E+000
0.8000000000000000E+002,0.0000000000000000E+000
0.9000000000000000E+002,0.0000000000000000E+000
0.1000000000000000E+003,0.0000000000000000E+000
0.2000000000000000E+003,0.0000000000000000E+000
0.3000000000000000E+003,0.0000000000000000E+000
0.4000000000000000E+003,0.0000000000000000E+000
0.5000000000000000E+003,0.0000000000000000E+000
0.6000000000000000E+003,0.0000000000000000E+000
0.7000000000000000E+003,0.0000000000000000E+000
0.8000000000000000E+003,0.0000000000000000E+000
0.9000000000000000E+003,0.0000000000000000E+000
0.1000000000000000E+004,0.0000000000000000E+000
0.2000000000000000E+004,0.0000000000000000E+000
0.3000000000000000E+004,0.0000000000000000E+000
0.4000000000000000E+004,0.0000000000000000E+000
0.5000000000000000E+004,0.0000000000000000E+000
0.6000000000000000E+004,0.0000000000000000E+000
0.7000000000000000E+004,0.0000000000000000E+000
0.8000000000000000E+004,0.0000000000000000E+000
0.9000000000000000E+004,0.0000000000000000E+000
0.1000000000000000E+005,0.0000000000000000E+000
0.2000000000000000E+005,0.0000000000000000E+000
0.3000000000000000E+005,0.0000000000000000E+000
0.4000000000000000E+005,0.0000000000000000E+000
0.5000000000000000E+005,0.0000000000000000E+000
0.6000000000000000E+005,0.0000000000000000E+000
0.7000000000000000E+005,0.0000000000000000E+000
0.8000000000000000E+005,0.0000000000000000E+000
0.9000000000000000E+005,0.0000000000000000E+000
0.1000000000000000E+006,0.0000000000000000E+000
0.2000000000000000E+006,0.0000000000000000E+000
0.3000000000000000E+006,0.0000000000000000E+000
0.4000000000000000E+006,0.0000000000000000E+000
0.5000000000000000E+006,0.0000000000000000E+000
0.6000000000000000E+006,0.0000000000000000E+000
0.7000000000000000E+006,0.0000000000000000E+000
0.8000000000000000E+006,0.0000000000000000E+000
0.9000000000000000E+006,0.0000000000000000E+000
0.1000000000000000E+007,0.0000000000000000E+000
0.2000000000000000E+007,0.0000000000000000E+000
0.3000000000000000E+007,0.0000000000000000E+000
0.4000000000000000E+007,0.0000000000000000E+000
0.5000000000000000E+007,0.0000000000000000E+000
0.6000000000000000E+007,0.0000000000000000E+000
0.7000000000000000E+007,0.0000000000000000E+000
0.8000000000000000E+007,0.0000000000000000E+000
0.9000000000000000E+007,0.0000000000000000E+000
0.1000000000000000E+008,0.0000000000000000E+000
0.2000000000000000E+008,0.0000000000000000E+000
0.3000000000000000E+008,0.0000000000000000E+000
0.4000000000000000E+008,0.0000000000000000E+000
0.5000000000000000E+008,0.0000000000000000E+000
0.6000000000000000E+008,0.0000000000000000E+000
0.7000000000000000E+008,0.0000000000000000E+000
0.8000000000000000E+008,0.0000000000000000E+000
0.9000000000000000E+008,0.0000000000000000E+000
0.1000000000000000E+009,0.0000000000000000E+000
0.2000000000000000E+009,0.0000000000000000E+000
0.3000000000000000E+009,0.0000000000000000E+000
0.4000000000000000E+009,0.0000000000000000E+000
0.5000000000000000E+009,0.0000000000000000E+000
0.6000000000000000E+009,0.0000000000000000E+000
0.7000000000000000E+009,0.0000000000000000E+000
0.8000000000000000E+009,0.0000000000000000E+000
0.9000000000000000E+009,0.0000000000000000E+000
0.1000000000000000E+010,0.0000000000000000E+000
0.2000000000000000E+010,0.3052332079354505E-158
0.3000000000000000E+010,0.6823312194655113E-099
0.4000000000000000E+010,0.2966099843190301E-069
0.5000000000000000E+010,0.1711561027119625E-051
0.6000000000000000E+010,0.1147574801510653E-039
0.7000000000000000E+010,0.3139972589461707E-031
0.8000000000000000E+010,0.6562773486349029E-025
0.9000000000000000E+010,0.5330731801479189E-020
0.1000000000000000E+011,0.4464404843681572E-016
0.2000000000000000E+011,0.1618355089920593E+002
0.3000000000000000E+011,0.9710788077052213E+007
0.4000000000000000E+011,0.6915977923491093E+010
0.5000000000000000E+011,0.3386143666645191E+012
0.6000000000000000E+011,0.4383867650328607E+013
0.7000000000000000E+011,0.2666712354797731E+014
0.8000000000000000E+011,0.1014771227621479E+015
0.9000000000000000E+011,0.2830103571525024E+015
0.1000000000000000E+012,0.6358678690208514E+015
0.2000000000000000E+012,0.1955790294912224E+017
0.3000000000000000E+012,0.5156851967951139E+017
0.4000000000000000E+012,0.7698828520373843E+017
0.5000000000000000E+012,0.9314101030444522E+017
0.6000000000000000E+012,0.1022985180403275E+018
0.7000000000000000E+012,0.1068280914613825E+018
0.8000000000000000E+012,0.1084177731661535E+018
0.9000000000000000E+012,0.1081703273587398E+018
0.1000000000000000E+013,0.1067902187601647E+018
0.2000000000000000E+013,0.8116174923147534E+017
0.3000000000000000E+013,0.6233069201194246E+017
0.4000000000000000E+013,0.5022107633785585E+017
0.5000000000000000E+013,0.4196514864855668E+017
0.6000000000000000E+013,0.3601428508434394E+017
0.7000000000000000E+013,0.3153266407501839E+017
0.8000000000000000E+013,0.2803999821551519E+017
0.9000000000000000E+013,0.2524311759458078E+017
0.1000000000000000E+014,0.2295367354798017E+017
0.2000000000000000E+014,0.1204921003167860E+017
0.3000000000000000E+014,0.8179710664170577E+016
0.4000000000000000E+014,0.6196356810919483E+016
0.5000000000000000E+014,0.4989623918527423E+016
0.6000000000000000E+014,0.4177722687302454E+016
0.7000000000000000E+014,0.3593953457620607E+016
0.8000000000000000E+014,0.3153915086084220E+016
0.9000000000000000E+014,0.2810287424796182E+016
0.1000000000000000E+015,0.2534478072153413E+016
0.2000000000000000E+015,0.1282104891982670E+016
0.3000000000000000E+015,0.8596977818814204E+015
0.4000000000000000E+015,0.6472405576156865E+015
0.5000000000000000E+015,0.5192661140273123E+015
0.6000000000000000E+015,0.4337009311966931E+015
0.7000000000000000E+015,0.3724413498610335E+015
0.8000000000000000E+015,0.3264085024451918E+015
0.9000000000000000E+015,0.2905465881732318E+015
0.1000000000000000E+016,0.2618161527493115E+015
0.2000000000000000E+016,0.1319545349686204E+015
0.3000000000000000E+016,0.8837122141592984E+014
0.4000000000000000E+016,0.6649100830113788E+014
0.5000000000000000E+016,0.5332445979453166E+014
0.6000000000000000E+016,0.4452661640574312E+014
0.7000000000000000E+016,0.3823056367290614E+014
0.8000000000000000E+016,0.3350093085964091E+014
0.9000000000000000E+016,0.2981717875447194E+014
0.1000000000000000E+017,0.2686652466655495E+014
0.2000000000000000E+017,0.1353563584313219E+014
0.3000000000000000E+017,0.9063827419227186E+013
0.4000000000000000E+017,0.6819254569027319E+013
0.5000000000000000E+017,0.5468703500698237E+013
0.6000000000000000E+017,0.4566325785606863E+013
0.7000000000000000E+017,0.3920579341800114E+013
0.8000000000000000E+017,0.3435505757233917E+013
0.9000000000000000E+017,0.3057707164117238E+013
