"E[V/m]","W[1/s]"
0.1000000000000000E+002,0.0000000000000000E+000
0.2000000000000000E+002,0.0000000000000000E+000
0.3000000000000000E+002,0.0000000000000000E+000
0.4000000000000000E+002,0.0000000000000000E+000
0.5000000000000000E+002,0.0000000000000000E+000
0.5999999999999999E+002,0.0000000000000000E+000
0.7000000000000000E+002,0.0000000000000000E+000
0.8000000000000000E+002,0.0000000000000000E+000
0.9000000000000000E+002,0.0000000000000000E+000
0.1000000000000000E+003,0.0000000000000000E+000
0.2000000000000000E+003,0.0000000000000000E+000
0.3000000000000000E+003,0.0000000000000000E+000
0.4000000000000000E+003,0.0000000000000000E+000
0.5000000000000000E+003,0.0000000000000000E+000
0.6000000000000000E+003,0.0000000000000000E+000
0.7000000000000000E+003,0.0000000000000000E+000
0.8000000000000000E+003,0.0000000000000000E+000
0.9000000000000000E+003,0.0000000000000000E+000
0.1000000000000000E+004,0.0000000000000000E+000
0.2000000000000000E+004,0.0000000000000000E+000
0.3000000000000000E+004,0.0000000000000000E+000
0.4000000000000000E+004,0.0000000000000000E+000
0.5000000000000000E+004,0.0000000000000000E+000
0.6000000000000000E+004,0.0000000000000000E+000
0.7000000000000000E+004,0.0000000000000000E+000
0.8000000000000000E+004,0.0000000000000000E+000
0.9000000000000000E+004,0.0000000000000000E+000
0.1000000000000000E+005,0.0000000000000000E+000
0.2000000000000000E+005,0.0000000000000000E+000
0.3000000000000000E+005,0.0000000000000000E+000
0.4000000000000000E+005,0.0000000000000000E+000
0.5000000000000000E+005,0.0000000000000000E+000
0.6000000000000000E+005,0.0000000000000000E+000
0.7000000000000000E+005,0.0000000000000000E+000
0.8000000000000000E+005,0.0000000000000000E+000
0.9000000000000000E+005,0.0000000000000000E+000
0.1000000000000000E+006,0.0000000000000000E+000
0.2000000000000000E+006,0.0000000000000000E+000
0.3000000000000000E+006,0.0000000000000000E+000
0.4000000000000000E+006,0.0000000000000000E+000
0.5000000000000000E+006,0.0000000000000000E+000
0.6000000000000000E+006,0.0000000000000000E+000
0.7000000000000000E+006,0.0000000000000000E+000
0.8000000000000000E+006,0.0000000000000000E+000
0.9000000000000000E+006,0.0000000000000000E+000
0.1000000000000000E+007,0.0000000000000000E+000
0.2000000000000000E+007,0.0000000000000000E+000
0.3000000000000000E+007,0.0000000000000000E+000
0.4000000000000000E+007,0.0000000000000000E+000
0.5000000000000000E+007,0.0000000000000000E+000
0.6000000000000000E+007,0.0000000000000000E+000
0.7000000000000000E+007,0.0000000000000000E+000
0.8000000000000000E+007,0.0000000000000000E+000
0.9000000000000000E+007,0.0000000000000000E+000
0.1000000000000000E+008,0.0000000000000000E+000
0.2000000000000000E+008,0.0000000000000000E+000
0.3000000000000000E+008,0.0000000000000000E+000
0.4000000000000000E+008,0.0000000000000000E+000
0.5000000000000000E+008,0.0000000000000000E+000
0.6000000000000000E+008,0.0000000000000000E+000
0.7000000000000000E+008,0.0000000000000000E+000
0.8000000000000000E+008,0.0000000000000000E+000
0.9000000000000000E+008,0.0000000000000000E+000
0.1000000000000000E+009,0.0000000000000000E+000
0.2000000000000000E+009,0.0000000000000000E+000
0.3000000000000000E+009,0.0000000000000000E+000
0.4000000000000000E+009,0.0000000000000000E+000
0.5000000000000000E+009,0.0000000000000000E+000
0.6000000000000000E+009,0.0000000000000000E+000
0.7000000000000000E+009,0.0000000000000000E+000
0.8000000000000000E+009,0.0000000000000000E+000
0.9000000000000000E+009,0.0000000000000000E+000
0.1000000000000000E+010,0.0000000000000000E+000
0.2000000000000000E+010,0.0000000000000000E+000
0.3000000000000000E+010,0.0000000000000000E+000
0.4000000000000000E+010,0.0000000000000000E+000
0.5000000000000000E+010,0.3458901321014620E-284
0.6000000000000000E+010,0.4136419413491870E-233
0.7000000000000000E+010,0.1211368393808659E-196
0.8000000000000000E+010,0.2631623389627854E-169
0.9000000000000000E+010,0.4700661675399939E-148
0.1000000000000000E+011,0.4630241607760518E-131
0.2000000000000000E+011,0.9477531055455369E-055
0.3000000000000000E+011,0.1935455819388257E-029
0.4000000000000000E+011,0.7585772606532481E-017
0.5000000000000000E+011,0.2506975953559592E-009
0.6000000000000000E+011,0.2440575307325032E-004
0.7000000000000000E+011,0.8574003031897359E-001
0.8000000000000000E+011,0.3796740756781779E+002
0.9000000000000000E+011,0.4240848144034308E+004
0.1000000000000000E+012,0.1810433581558473E+006
0.2000000000000000E+012,0.2721808921678358E+013
0.3000000000000000E+012,0.5015029636180716E+015
0.4000000000000000E+012,0.5904103660844032E+016
0.5000000000000000E+012,0.2381785624102376E+017
0.6000000000000000E+012,0.5705717684119976E+017
0.7000000000000000E+012,0.1023070763497656E+018
0.8000000000000000E+012,0.1538370583167308E+018
0.9000000000000000E+012,0.2064017598817933E+018
0.1000000000000000E+013,0.2562900777111663E+018
0.2000000000000000E+013,0.4703327026984737E+018
0.3000000000000000E+013,0.4298865225621841E+018
0.4000000000000000E+013,0.3564517006403530E+018
0.5000000000000000E+013,0.2926909009484992E+018
0.6000000000000000E+013,0.2426182062486646E+018
0.7000000000000000E+013,0.2038492790141043E+018
0.8000000000000000E+013,0.1736030179030795E+018
0.9000000000000000E+013,0.1496824093506888E+018
0.1000000000000000E+014,0.1304842260926285E+018
0.2000000000000000E+014,0.4874064059375715E+017
0.3000000000000000E+014,0.2620554305653888E+017
0.4000000000000000E+014,0.1666543540069005E+017
0.5000000000000000E+014,0.1167054609762113E+017
0.6000000000000000E+014,0.8699934843782520E+016
0.7000000000000000E+014,0.6776115999978915E+016
0.8000000000000000E+014,0.5451778502092510E+016
0.9000000000000000E+014,0.4497258007766820E+016
0.1000000000000000E+015,0.3784181323287873E+016
0.2000000000000000E+015,0.1205510896002557E+016
0.3000000000000000E+015,0.6146507263078380E+015
0.4000000000000000E+015,0.3806532687881762E+015
0.5000000000000000E+015,0.2623558036421467E+015
0.6000000000000000E+015,0.1935114036118901E+015
0.7000000000000000E+015,0.1495819873577604E+015
0.8000000000000000E+015,0.1196651246926074E+015
0.9000000000000000E+015,0.9827811303942422E+014
0.1000000000000000E+016,0.8240330527935056E+014
0.2000000000000000E+016,0.2583630677028194E+014
0.3000000000000000E+016,0.1310337663785691E+014
0.4000000000000000E+016,0.8093421433637064E+013
0.5000000000000000E+016,0.5569316859380128E+013
0.6000000000000000E+016,0.4103523463932071E+013
0.7000000000000000E+016,0.3169570728293864E+013
0.8000000000000000E+016,0.2534205556959215E+013
0.9000000000000000E+016,0.2080362475595396E+013
0.1000000000000000E+017,0.1743705764002249E+013
0.2000000000000000E+017,0.5458428973243232E+012
0.3000000000000000E+017,0.2766877989831751E+012
0.4000000000000000E+017,0.1708534355399733E+012
0.5000000000000000E+017,0.1175504657241447E+012
0.6000000000000000E+017,0.8660306420556108E+011
0.7000000000000000E+017,0.6688733058126028E+011
0.8000000000000000E+017,0.5347620318391061E+011
0.9000000000000000E+017,0.4389737325383547E+011
