"E[V/m]","W[1/s]"
0.1000000000000000E+002,0.0000000000000000E+000
0.2000000000000000E+002,0.0000000000000000E+000
0.3000000000000000E+002,0.0000000000000000E+000
0.4000000000000000E+002,0.0000000000000000E+000
0.5000000000000000E+002,0.0000000000000000E+000
0.6000000000000000E+002,0.0000000000000000E+000
0.7000000000000000E+002,0.0000000000000000E+000
0.8000000000000000E+002,0.0000000000000000E+000
0.9000000000000000E+002,0.0000000000000000E+000
0.1000000000000000E+003,0.0000000000000000E+000
0.2000000000000000E+003,0.0000000000000000E+000
0.3000000000000000E+003,0.0000000000000000E+000
0.4000000000000000E+003,0.0000000000000000E+000
0.5000000000000000E+003,0.0000000000000000E+000
0.6000000000000000E+003,0.0000000000000000E+000
0.7000000000000000E+003,0.0000000000000000E+000
0.8000000000000000E+003,0.0000000000000000E+000
0.9000000000000000E+003,0.0000000000000000E+000
0.1000000000000000E+004,0.0000000000000000E+000
0.2000000000000000E+004,0.0000000000000000E+000
0.3000000000000000E+004,0.0000000000000000E+000
0.4000000000000000E+004,0.0000000000000000E+000
0.5000000000000000E+004,0.0000000000000000E+000
0.6000000000000000E+004,0.0000000000000000E+000
0.7000000000000000E+004,0.0000000000000000E+000
0.8000000000000000E+004,0.0000000000000000E+000
0.9000000000000000E+004,0.0000000000000000E+000
0.1000000000000000E+005,0.0000000000000000E+000
0.2000000000000000E+005,0.0000000000000000E+000
0.3000000000000000E+005,0.0000000000000000E+000
0.4000000000000000E+005,0.0000000000000000E+000
0.5000000000000000E+005,0.0000000000000000E+000
0.6000000000000000E+005,0.0000000000000000E+000
0.7000000000000000E+005,0.0000000000000000E+000
0.8000000000000000E+005,0.0000000000000000E+000
0.9000000000000000E+005,0.0000000000000000E+000
0.1000000000000000E+006,0.0000000000000000E+000
0.2000000000000000E+006,0.0000000000000000E+000
0.3000000000000000E+006,0.0000000000000000E+000
0.4000000000000000E+006,0.0000000000000000E+000
0.5000000000000000E+006,0.0000000000000000E+000
0.6000000000000000E+006,0.0000000000000000E+000
0.7000000000000000E+006,0.0000000000000000E+000
0.8000000000000000E+006,0.0000000000000000E+000
0.9000000000000000E+006,0.0000000000000000E+000
0.1000000000000000E+007,0.0000000000000000E+000
0.2000000000000000E+007,0.0000000000000000E+000
0.3000000000000000E+007,0.0000000000000000E+000
0.4000000000000000E+007,0.0000000000000000E+000
0.5000000000000000E+007,0.0000000000000000E+000
0.6000000000000000E+007,0.0000000000000000E+000
0.7000000000000000E+007,0.0000000000000000E+000
0.8000000000000000E+007,0.0000000000000000E+000
0.9000000000000000E+007,0.0000000000000000E+000
0.1000000000000000E+008,0.0000000000000000E+000
0.2000000000000000E+008,0.0000000000000000E+000
0.3000000000000000E+008,0.0000000000000000E+000
0.4000000000000000E+008,0.0000000000000000E+000
0.5000000000000000E+008,0.0000000000000000E+000
0.6000000000000000E+008,0.0000000000000000E+000
0.7000000000000000E+008,0.0000000000000000E+000
0.8000000000000000E+008,0.0000000000000000E+000
0.9000000000000000E+008,0.0000000000000000E+000
0.1000000000000000E+009,0.0000000000000000E+000
0.2000000000000000E+009,0.0000000000000000E+000
0.3000000000000000E+009,0.0000000000000000E+000
0.4000000000000000E+009,0.6255629278359685E-258
0.5000000000000000E+009,0.1787387920212667E-202
0.6000000000000000E+009,0.1631769879843018E-165
0.7000000000000000E+009,0.4033746119310035E-139
0.8000000000000000E+009,0.2483442221086633E-119
0.9000000000000000E+009,0.6060914768729384E-104
0.1000000000000000E+010,0.1227846552676573E-091
0.2000000000000000E+010,0.2525537445539421E-036
0.3000000000000000E+010,0.6125209879583422E-018
0.4000000000000000E+010,0.8988883441238747E-009
0.5000000000000000E+010,0.2743529030030195E-003
0.6000000000000000E+010,0.1214843454060502E+001
0.7000000000000000E+010,0.4804983149746802E+003
0.8000000000000000E+010,0.4208514190510943E+005
0.9000000000000000E+010,0.1351089199961712E+007
0.1000000000000000E+011,0.2150536553738220E+008
0.2000000000000000E+011,0.4725116729508831E+013
0.3000000000000000E+011,0.2523858694961388E+015
0.4000000000000000E+011,0.1738170907795690E+016
0.5000000000000000E+011,0.5340253672233413E+016
0.6000000000000000E+011,0.1102426671360025E+017
0.7000000000000000E+011,0.1819422047378812E+017
0.8000000000000000E+011,0.2616251694896059E+017
0.9000000000000000E+011,0.3436701878063467E+017
0.1000000000000000E+012,0.4241606300384319E+017
0.2000000000000000E+012,0.9381270703408490E+017
0.3000000000000000E+012,0.1081938799951623E+018
0.4000000000000000E+012,0.1094899866397855E+018
0.5000000000000000E+012,0.1064462517293126E+018
0.6000000000000000E+012,0.1020412815513783E+018
0.7000000000000000E+012,0.9736455084823736E+017
0.8000000000000000E+012,0.9282775527159800E+017
0.9000000000000000E+012,0.8857902532984454E+017
0.1000000000000000E+013,0.8465877137029952E+017
0.2000000000000000E+013,0.5925020180650785E+017
0.3000000000000000E+013,0.4656501151772950E+017
0.4000000000000000E+013,0.3889966386967337E+017
0.5000000000000000E+013,0.3370780517875684E+017
0.6000000000000000E+013,0.2992690305896307E+017
0.7000000000000000E+013,0.2703278928335746E+017
0.8000000000000000E+013,0.2473551372071676E+017
0.9000000000000000E+013,0.2286088580202222E+017
0.1000000000000000E+014,0.2129753669639536E+017
0.2000000000000000E+014,0.1328543881790646E+017
0.3000000000000000E+014,0.1004820923558924E+017
0.4000000000000000E+014,0.8234670885787398E+016
0.5000000000000000E+014,0.7053972116002844E+016
0.6000000000000000E+014,0.6214892447936509E+016
0.7000000000000000E+014,0.5583199055465257E+016
0.8000000000000000E+014,0.5087782020967562E+016
0.9000000000000000E+014,0.4687189619052700E+016
0.1000000000000000E+015,0.4355503527915096E+016
0.2000000000000000E+015,0.2685887165562407E+016
0.3000000000000000E+015,0.2023647284808689E+016
0.4000000000000000E+015,0.1655234537126227E+016
0.5000000000000000E+015,0.1416274116568165E+016
0.6000000000000000E+015,0.1246849555044869E+016
0.7000000000000000E+015,0.1119503847146794E+016
0.8000000000000000E+015,0.1019747162904739E+016
0.9000000000000000E+015,0.9391559694067991E+015
0.1000000000000000E+016,0.8724740579493940E+015
0.2000000000000000E+016,0.5374056192578311E+015
0.3000000000000000E+016,0.4047461130762371E+015
0.4000000000000000E+016,0.3309970491376749E+015
0.5000000000000000E+016,0.2831795774493077E+015
0.6000000000000000E+016,0.2492845435147890E+015
0.7000000000000000E+016,0.2238118574142356E+015
0.8000000000000000E+016,0.2038600657296394E+015
0.9000000000000000E+016,0.1877428890048608E+015
0.1000000000000000E+017,0.1744083169216983E+015
0.2000000000000000E+017,0.1074154866544522E+015
0.3000000000000000E+017,0.8089668526845089E+014
0.4000000000000000E+017,0.6615517666234173E+014
0.5000000000000000E+017,0.5659742123441126E+014
0.6000000000000000E+017,0.4982263981242743E+014
0.7000000000000000E+017,0.4473135920346248E+014
0.8000000000000000E+017,0.4074359803559038E+014
0.9000000000000000E+017,0.3752228926024051E+014
