001-TIME,002-E-El      ,003 -E-Mag    ,004 -E-phi    ,005 -E-psi    ,006 -E-pot                  
    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000 
    7.61749205400832E-013,    1.17761783932667E-019,    1.17761783936304E-019,    2.81262637796393E-050,    2.83273554686883E-050,    2.35523567868971E-019 
    1.52349841080166E-012,    2.28006160572668E-019,    2.28006160579710E-019,    8.39195474870453E-050,    1.00349534971152E-049,    4.56012321152378E-019 
    2.28524761620249E-012,    3.13045952760745E-019,    3.13045952770413E-019,    1.22203205096138E-049,    1.47368091698106E-049,    6.26091905531158E-019 
    3.04699682160333E-012,    3.63401490030925E-019,    3.63401490042148E-019,    1.20849483749379E-049,    1.30740678802983E-049,    7.26802980073073E-019 
    3.80874602700416E-012,    3.75338267371283E-019,    3.75338267382876E-019,    1.49879577640705E-049,    1.39896725748200E-049,    7.50676534754159E-019 
    4.57049523240499E-012,    3.70998624000243E-019,    3.70998624011702E-019,    2.24387107747597E-049,    1.95334722679956E-049,    7.41997248011945E-019 
    5.33224443780582E-012,    3.76819243094955E-019,    3.76819243106594E-019,    3.02382119634114E-049,    2.61468378759875E-049,    7.53638486201549E-019 
    6.09399364320665E-012,    4.10252164273082E-019,    4.10252164285752E-019,    3.53599377753871E-049,    3.27452893834194E-049,    8.20504328558833E-019 
    6.85574284860748E-012,    4.82954795523950E-019,    4.82954795538866E-019,    3.56423174753364E-049,    3.61411157995825E-049,    9.65909591062816E-019 
    7.61749205400831E-012,    5.95218331126764E-019,    5.95218331145147E-019,    3.23773486093161E-049,    3.55251236680956E-049,    1.19043666227191E-018 
    8.37924125940914E-012,    7.32425097624853E-019,    7.32425097647472E-019,    3.31910989531672E-049,    3.47167765729368E-049,    1.46485019527233E-018 
    9.14099046480998E-012,    8.73473302395681E-019,    8.73473302422658E-019,    4.02559015277521E-049,    3.64600889443104E-049,    1.74694660481834E-018 
    9.90273967021081E-012,    9.97606529651705E-019,    9.97606529682516E-019,    4.96161609524654E-049,    3.89325123639855E-049,    1.99521305933422E-018 
    1.00000000000000E-011,    1.01038074948629E-018,    1.01038074951750E-018,    5.06528186731933E-049,    3.91656333504298E-049,    2.02076149900379E-018 
