  TIME     ,002-W-El      ,003 -W-Mag                  
    0.00000000000000E+000,    0.42603646840335E+011,    0.46444026199783E+012 
    0.11907470175967E-010,    0.47716657041274E+011,    0.42735017969186E+012 
    0.23814940351935E-010,    0.58417786035812E+011,    0.39254002205919E+012 
    0.35722410527902E-010,    0.73052658093517E+011,    0.36057879140552E+012 
    0.47629880703869E-010,    0.90230212626679E+011,    0.33174753869608E+012 
    0.59537350879836E-010,    0.10879829480660E+012,    0.30611552252685E+012 
    0.71444821055804E-010,    0.12782563653160E+012,    0.28361269985674E+012 
    0.83352291231771E-010,    0.14658386008425E+012,    0.26408778760103E+012 
    0.95259761407738E-010,    0.16452716700008E+012,    0.24734973072809E+012 
    0.10716723158371E-009,    0.18126956551342E+012,    0.23319439481450E+012 
    0.11907470175967E-009,    0.19656053873129E+012,    0.22141975001695E+012 
    0.13098217193564E-009,    0.21026041638800E+012,    0.21183295017064E+012 
    0.14288964211161E-009,    0.22231668169092E+012,    0.20425224851487E+012 
    0.15479711228757E-009,    0.23274221358030E+012,    0.19850602972497E+012 
    0.16670458246354E-009,    0.24159615599418E+012,    0.19443058202359E+012 
    0.17861205263951E-009,    0.24896779374185E+012,    0.19186767342088E+012 
    0.19051952281548E-009,    0.25496354055965E+012,    0.19066255886677E+012 
    0.20242699299144E-009,    0.25969692775268E+012,    0.19066272478778E+012 
    0.21433446316741E-009,    0.26328132611047E+012,    0.19171745581371E+012 
    0.22624193334338E-009,    0.26582503569134E+012,    0.19367816450707E+012 
    0.23814940351935E-009,    0.26742832949529E+012,    0.19639933960209E+012 
    0.25005687369531E-009,    0.26818202830654E+012,    0.19973992612657E+012 
    0.26196434387128E-009,    0.26816720541028E+012,    0.20356493972303E+012 
    0.27387181404725E-009,    0.26745566257305E+012,    0.20774712816781E+012 
    0.28577928422321E-009,    0.26611087477955E+012,    0.21216851821005E+012 
    0.29768675439918E-009,    0.26418916397998E+012,    0.21672171960263E+012 
    0.30959422457515E-009,    0.26174092580318E+012,    0.22131089588700E+012 
    0.32150169475112E-009,    0.25881179312867E+012,    0.22585234939301E+012 
    0.33340916492708E-009,    0.25544367292532E+012,    0.23027470316288E+012 
    0.34531663510305E-009,    0.25167563528931E+012,    0.23451869307273E+012 
    0.35722410527902E-009,    0.24754466472763E+012,    0.23853660804944E+012 
    0.36913157545498E-009,    0.24308630314754E+012,    0.24229143439222E+012 
    0.38103904563095E-009,    0.23833522249153E+012,    0.24575577181189E+012 
    0.39294651580692E-009,    0.23332576414110E+012,    0.24891059433650E+012 
    0.40485398598289E-009,    0.22809247436721E+012,    0.25174392944074E+012 
    0.41676145615885E-009,    0.22267065282285E+012,    0.25424952455695E+012 
    0.42866892633482E-009,    0.21709691696591E+012,    0.25642556250667E+012 
    0.44057639651079E-009,    0.21140977172070E+012,    0.25827347734098E+012 
    0.45248386668676E-009,    0.20565016250708E+012,    0.25979691052644E+012 
    0.46439133686272E-009,    0.19986198225050E+012,    0.26100083520810E+012 
    0.47629880703869E-009,    0.19409249973599E+012,    0.26189086416178E+012 
    0.48820627721466E-009,    0.18839267766695E+012,    0.26247274564627E+012 
    0.50011374739062E-009,    0.18281735350251E+012,    0.26275204118917E+012 
    0.51202121756659E-009,    0.17742526367325E+012,    0.26273397077652E+012 
    0.52392868774256E-009,    0.17227890101412E+012,    0.26242340422448E+012 
    0.53583615791853E-009,    0.16744420506598E+012,    0.26182497282439E+012 
    0.54774362809449E-009,    0.16299009424541E+012,    0.26094327268008E+012 
    0.55965109827046E-009,    0.15898785692838E+012,    0.25978313039360E+012 
    0.57155856844643E-009,    0.15551042466270E+012,    0.25834990269984E+012 
    0.58346603862240E-009,    0.15263155471871E+012,    0.25664978402180E+012 
    0.59537350879836E-009,    0.15042495097387E+012,    0.25469009938555E+012 
    0.60728097897433E-009,    0.14896335188605E+012,    0.25247956433992E+012 
    0.61918844915030E-009,    0.14831761238484E+012,    0.25002849811948E+012 
    0.63109591932626E-009,    0.14855580333329E+012,    0.24734898094161E+012 
    0.64300338950223E-009,    0.14974234824936E+012,    0.24445495075901E+012 
    0.65491085967820E-009,    0.15193721267177E+012,    0.24136223877426E+012 
    0.66681832985417E-009,    0.15519515729207E+012,    0.23808854640333E+012 
    0.67872580003013E-009,    0.15956506205448E+012,    0.23465336905739E+012 
    0.69063327020610E-009,    0.16508932505307E+012,    0.23107787406051E+012 
    0.70254074038207E-009,    0.17180333734699E+012,    0.22738474125405E+012 
    0.71444821055804E-009,    0.17973503280221E+012,    0.22359797541138E+012 
    0.72635568073400E-009,    0.18890451072124E+012,    0.21974269958620E+012 
    0.73826315090997E-009,    0.19932372826311E+012,    0.21584493804597E+012 
    0.75017062108594E-009,    0.21099625938021E+012,    0.21193139660830E+012 
    0.76207809126190E-009,    0.22391711708901E+012,    0.20802924711013E+012 
    0.77398556143787E-009,    0.23807263623294E+012,    0.20416592149839E+012 
    0.78589303161384E-009,    0.25344041438358E+012,    0.20036891972359E+012 
    0.79780050178981E-009,    0.26998930907121E+012,    0.19666563431976E+012 
    0.80970797196577E-009,    0.28767949006720E+012,    0.19308319332441E+012 
    0.82161544214174E-009,    0.30646254590808E+012,    0.18964832207522E+012 
    0.83352291231771E-009,    0.32628164421783E+012,    0.18638722344857E+012 
    0.84543038249368E-009,    0.34707174563275E+012,    0.18332547529722E+012 
    0.85733785266964E-009,    0.36875987125274E+012,    0.18048794321152E+012 
    0.86924532284561E-009,    0.39126542353527E+012,    0.17789870627144E+012 
    0.88115279302158E-009,    0.41450056042153E+012,    0.17558099316966E+012 
    0.89306026319754E-009,    0.43837062225037E+012,    0.17355712595893E+012 
    0.90496773337351E-009,    0.46277461068986E+012,    0.17184846869473E+012 
    0.91687520354948E-009,    0.48760571851695E+012,    0.17047537838803E+012 
    0.92878267372545E-009,    0.51275190861956E+012,    0.16945715593296E+012 
    0.94069014390141E-009,    0.53809654010198E+012,    0.16881199500791E+012 
    0.95259761407738E-009,    0.56351903886102E+012,    0.16855692734321E+012 
    0.96450508425335E-009,    0.58889560948266E+012,    0.16870776318190E+012 
    0.97641255442932E-009,    0.61409998480305E+012,    0.16927902621012E+012 
    0.98832002460528E-009,    0.63900420899451E+012,    0.17028388268056E+012 
    0.10000000000000E-008,    0.66301664128055E+012,    0.17170212385749E+012 
    0.10119074701760E-008,    0.68694583944182E+012,    0.17359906443283E+012 
    0.10238149403519E-008,    0.71019154765191E+012,    0.17596001085240E+012 
    0.10357224105279E-008,    0.73262734807922E+012,    0.17879192110581E+012 
    0.10476298807039E-008,    0.75412936196073E+012,    0.18209997387961E+012 
    0.10595373508798E-008,    0.77457712486686E+012,    0.18588747776348E+012 
    0.10714448210558E-008,    0.79385445659012E+012,    0.19015578196054E+012 
    0.10833522912318E-008,    0.81185031921888E+012,    0.19490419020458E+012 
    0.10952597614077E-008,    0.82845965688144E+012,    0.20012987958374E+012 
    0.11071672315837E-008,    0.84358421061459E+012,    0.20582782592378E+012 
    0.11190747017597E-008,    0.85713330182689E+012,    0.21199073730447E+012 
    0.11309821719356E-008,    0.86902457789040E+012,    0.21860899717682E+012 
    0.11428896421116E-008,    0.87918471351044E+012,    0.22567061842689E+012 
    0.11547971122876E-008,    0.88755006169289E+012,    0.23316120959934E+012 
    0.11667045824635E-008,    0.89406724835799E+012,    0.24106395435862E+012 
    0.11786120526395E-008,    0.89869370494082E+012,    0.24935960513036E+012 
    0.11905195228155E-008,    0.90139813367496E+012,    0.25802649173551E+012 
    0.12024269929914E-008,    0.90216090067831E+012,    0.26704054570425E+012 
    0.12143344631674E-008,    0.90097435244771E+012,    0.27637534083808E+012 
    0.12262419333434E-008,    0.89784305191959E+012,    0.28600215047425E+012 
