001-TIME,002-Massflow-Spec-001-SF-001,003-Pressure-Spec-001-SF-001,004-Massflow-Spec-001-SF-002,005-Pressure-Spec-001-SF-002 
    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000 
    1.00000000000000E-006,    8.27368199200000E-014,    0.00000000000000E+000,   -8.29546742400000E-014,    0.00000000000000E+000 
    2.00000000000000E-006,    6.32840232000000E-014,    0.00000000000000E+000,   -6.30130336800000E-014,    0.00000000000000E+000 
    3.00000000000000E-006,    6.11107935200000E-014,    0.00000000000000E+000,   -6.03881548000000E-014,    0.00000000000000E+000 
    4.00000000000000E-006,    6.15890103200000E-014,    0.00000000000000E+000,   -6.00799706400000E-014,    0.00000000000000E+000 
    5.00000000000000E-006,    7.53669676800000E-014,    4.34392701564538E+000,   -2.93625115200000E-014,    1.70781235745906E-001 
    6.00000000000000E-006,    6.64721352000000E-014,    4.34392701564538E+000,   -4.72797009600000E-014,    1.70781235745906E-001 
    7.00000000000000E-006,    6.30927364800000E-014,    4.34392701564538E+000,   -5.16899225600000E-014,    1.70781235745906E-001 
    8.00000000000000E-006,    6.20034648800000E-014,    4.34392701564538E+000,   -5.42722932800000E-014,    1.70781235745906E-001 
    9.00000000000000E-006,    5.65464798400000E-014,    4.34392701564538E+000,   -5.51383970400000E-014,    1.70781235745906E-001 
    1.00000000000000E-005,    5.59726196800000E-014,    5.05858979674000E+000,   -2.65304053600000E-014,    1.17976454291038E+000 
    1.10000000000000E-005,    5.36771790400000E-014,    5.05858979674000E+000,   -4.36824479200000E-014,    1.17976454291038E+000 
    1.20000000000000E-005,    5.52127863200000E-014,    5.05858979674000E+000,   -4.68971275200000E-014,    1.17976454291038E+000 
    1.30000000000000E-005,    5.54731488000000E-014,    5.05858979674000E+000,   -4.84327348000000E-014,    1.17976454291038E+000 
    1.40000000000000E-005,    5.42776068000000E-014,    5.05858979674000E+000,   -5.00692989600000E-014,    1.17976454291038E+000 
    1.50000000000000E-005,    4.80873560000000E-014,    5.00431815788286E+000,   -2.73327468800000E-014,    1.57154527889946E+000 
    1.60000000000000E-005,    4.92722709600000E-014,    5.00431815788286E+000,   -4.07918930400000E-014,    1.57154527889946E+000 
    1.70000000000000E-005,    4.97929959200000E-014,    5.00431815788286E+000,   -4.23912625600000E-014,    1.57154527889946E+000 
    1.80000000000000E-005,    4.66899002400000E-014,    5.00431815788286E+000,   -4.34858476800000E-014,    1.57154527889946E+000 
    1.90000000000000E-005,    4.54305960000000E-014,    5.00431815788286E+000,   -4.49151845600000E-014,    1.57154527889946E+000 
    2.00000000000000E-005,    5.27526265600000E-014,    5.01017348801521E+000,   -2.62009671200000E-014,    1.88903617715045E+000 
    2.10000000000000E-005,    4.65730028000000E-014,    5.01017348801521E+000,   -3.97238755200000E-014,    1.88903617715045E+000 
    2.20000000000000E-005,    4.80023396800000E-014,    5.01017348801521E+000,   -4.04465142400000E-014,    1.88903617715045E+000 
    2.30000000000000E-005,    4.62010564000000E-014,    5.01017348801521E+000,   -4.20405702400000E-014,    1.88903617715045E+000 
    2.40000000000000E-005,    4.46920167200000E-014,    5.01017348801521E+000,   -4.32201716800000E-014,    1.88903617715045E+000 
    2.50000000000000E-005,    3.71574453600000E-014,    5.03899597131423E+000,   -2.88524136000000E-014,    2.05759004367976E+000 
    2.60000000000000E-005,    3.90915666400000E-014,    5.03899597131423E+000,   -3.65570176000000E-014,    2.05759004367976E+000 
    2.70000000000000E-005,    3.99948650400000E-014,    5.03899597131423E+000,   -3.76622297600000E-014,    2.05759004367976E+000 
    2.80000000000000E-005,    4.00745678400000E-014,    5.03899597131423E+000,   -4.06059198400000E-014,    2.05759004367976E+000 
    2.90000000000000E-005,    3.93625561600000E-014,    5.03899597131423E+000,   -3.92297181600000E-014,    2.05759004367976E+000 
    3.00000000000000E-005,    3.84592577600000E-014,    4.97788906577944E+000,   -2.96281875200000E-014,    2.24000824653455E+000 
    3.10000000000000E-005,    3.99523568800000E-014,    4.97788906577944E+000,   -3.45803881600000E-014,    2.24000824653455E+000 
    3.20000000000000E-005,    3.68333206400000E-014,    4.97788906577944E+000,   -3.46441504000000E-014,    2.24000824653455E+000 
    3.30000000000000E-005,    4.02817951200000E-014,    4.97788906577944E+000,   -3.67323637600000E-014,    2.24000824653455E+000 
    3.40000000000000E-005,    3.70192938400000E-014,    4.97788906577944E+000,   -3.62382064000000E-014,    2.24000824653455E+000 
    3.49999999999999E-005,    3.93359885600000E-014,    4.98920254714498E+000,   -3.23752773600000E-014,    2.26883563269608E+000 
    3.59999999999999E-005,    3.88471447200000E-014,    4.98920254714498E+000,   -3.58875140800000E-014,    2.26883563269608E+000 
    3.69999999999999E-005,    3.72371481600000E-014,    4.98920254714498E+000,   -3.59512763200000E-014,    2.26883563269608E+000 
    3.79999999999999E-005,    3.47504208000000E-014,    4.98920254714498E+000,   -3.53561620800000E-014,    2.26883563269608E+000 
    3.89999999999999E-005,    3.70352344000000E-014,    4.98920254714498E+000,   -3.78800840800000E-014,    2.26883563269608E+000 
    3.99999999999999E-005,    3.51276807200000E-014,    4.95200409212670E+000,   -2.97769660800000E-014,    2.30490302530031E+000 
    4.09999999999999E-005,    3.52286376000000E-014,    4.95200409212670E+000,   -3.52445781600000E-014,    2.30490302530031E+000 
    4.19999999999999E-005,    3.74284348800000E-014,    4.95200409212670E+000,   -3.45857016800000E-014,    2.30490302530031E+000 
    4.29999999999999E-005,    3.36452086400000E-014,    4.95200409212670E+000,   -3.40437226400000E-014,    2.30490302530031E+000 
    4.39999999999999E-005,    3.37833601600000E-014,    4.95200409212670E+000,   -3.36239545600000E-014,    2.30490302530031E+000 
    4.49999999999999E-005,    3.52339511200000E-014,    4.98529594272020E+000,   -3.03933344000000E-014,    2.41212765247496E+000 
    4.59999999999999E-005,    3.17907901600000E-014,    4.98529594272020E+000,   -3.41127984000000E-014,    2.41212765247496E+000 
    4.69999999999999E-005,    3.43678473600000E-014,    4.98529594272020E+000,   -3.46919720800000E-014,    2.41212765247496E+000 
    4.79999999999999E-005,    3.52073835200000E-014,    4.98529594272020E+000,   -3.47557343200000E-014,    2.41212765247496E+000 
    4.89999999999999E-005,    3.55049406400000E-014,    4.98529594272020E+000,   -3.66632880000000E-014,    2.41212765247496E+000 
    5.00000000000000E-005,    3.88205771199928E-014,    4.97308033474993E+000,   -3.59618810399942E-014,    2.44818685295101E+000 
