001-TIME,002-NumDens-Spec-001,003-NumDens-Spec-002,004-NumDens-Spec-003,005-NumDens-Spec-004,006-TempTra-001,007-TempTra-002,008-TempTra-003,009-TempTra-004,010-TempVib001,011-TempVib002,012-TempVib003,013-XiVibMean001,014-XiVibMean002,015-XiVibMean003,016-TempRot001,017-TempRot002,018-TempRot003,019-TempTotal001,020-TempTotal002,021-TempTotal003,022-TempTotal004
1.00000000000000E-006,1.40115771790100E+022,1.00269807556095E+021,1.00269807556095E+021,1.60169733301319E+022,6.66285919869714E+003,6.98548067084977E+003,6.26913596159645E+003,6.65840807042134E+003,6.85167622269609E+003,4.47454432241808E+003,0.00000000000000E+000,1.43540664504688E+001,8.47162490883296E+000,0.00000000000000E+000,6.87452957451811E+003,6.61955411062138E+003,0.00000000000000E+000,6.82721472171089E+003,5.43973230219909E+003,6.26913596159645E+003,6.70541827424929E+003
1.99999999999999E-006,1.28312349754928E+022,2.18304027907814E+021,2.18304027907814E+021,1.71973155336491E+022,6.59090402100976E+003,6.22996432728706E+003,6.39801875632843E+003,6.52060106067917E+003,6.65515481184377E+003,4.64630678087747E+003,0.00000000000000E+000,1.42564298858902E+001,8.58249613400906E+000,0.00000000000000E+000,6.55199487146309E+003,5.75714267952926E+003,0.00000000000000E+000,6.63036109466492E+003,5.20063439810426E+003,6.39801875632843E+003,6.41937679059202E+003
2.99999999999998E-006,1.17803472633099E+022,3.23392799126108E+021,3.23392799126108E+021,1.82482032458320E+022,6.15021766918751E+003,5.82746052372735E+003,6.30046756511249E+003,6.11964611014403E+003,6.50061979935595E+003,4.77121893372558E+003,0.00000000000000E+000,1.41759351370435E+001,8.65893984786184E+000,0.00000000000000E+000,6.23843112048182E+003,5.62673060972815E+003,0.00000000000000E+000,6.40953245125314E+003,5.16246549435933E+003,6.30046756511249E+003,6.16920014741214E+003
3.99999999999997E-006,1.10853449875905E+022,3.92893026698043E+021,3.92893026698042E+021,1.89432055215514E+022,6.08139524754067E+003,5.71819074335920E+003,5.73634370152504E+003,5.93449885087615E+003,6.36125002329232E+003,4.66273738101438E+003,0.00000000000000E+000,1.41003408576052E+001,8.59274609670968E+000,0.00000000000000E+000,6.13518889788270E+003,5.84106251575116E+003,0.00000000000000E+000,6.28574146777897E+003,5.12196112456706E+003,5.73634370152504E+003,5.93041843022068E+003
4.99999999999996E-006,1.01305694337913E+022,4.88370582077963E+021,4.88370582077963E+021,1.98979810753506E+022,5.85484598653012E+003,5.76888731809746E+003,5.74507326839092E+003,5.80680621263093E+003,6.19825506486539E+003,4.52126265533750E+003,0.00000000000000E+000,1.40080896416240E+001,8.50247038239592E+000,0.00000000000000E+000,5.62676656454815E+003,5.80197739438003E+003,0.00000000000000E+000,6.06107591457572E+003,5.04427825236397E+003,5.74507326839092E+003,5.73395706772364E+003
5.99999999999995E-006,9.34538836300627E+021,5.66888689156469E+021,5.66888689156468E+021,2.06831621461356E+022,5.79052708832505E+003,5.50279312437699E+003,5.43721441526753E+003,5.61482760621846E+003,5.99916433709823E+003,4.56072249020447E+003,0.00000000000000E+000,1.38893764402337E+001,8.52811625560387E+000,0.00000000000000E+000,5.69551312790723E+003,5.11935077348627E+003,0.00000000000000E+000,5.92189367059389E+003,4.87061103137211E+003,5.43721441526753E+003,5.50091383257751E+003
6.99999999999994E-006,8.77009256139892E+021,6.24418269317204E+021,6.24418269317203E+021,2.12584579477430E+022,5.55437547751903E+003,5.57886620413418E+003,5.52796209643143E+003,5.55381074202357E+003,5.81179220111340E+003,4.57194016901280E+003,0.00000000000000E+000,1.37710912127569E+001,8.53533997660086E+000,0.00000000000000E+000,5.22491522335549E+003,5.39027452213136E+003,0.00000000000000E+000,5.68368186684806E+003,4.94866208769752E+003,5.52796209643143E+003,5.42204762728076E+003
7.99999999999993E-006,8.11011496890846E+021,6.90416028566250E+021,6.90416028566250E+021,2.19184355402335E+022,5.10090083645008E+003,5.34636139367427E+003,5.37983631154184E+003,5.26608207183656E+003,5.60762550578278E+003,4.49203070408990E+003,0.00000000000000E+000,1.36343013558093E+001,8.48323213918980E+000,0.00000000000000E+000,5.43026956822078E+003,5.49067112075256E+003,0.00000000000000E+000,5.50310221343366E+003,4.87584788421362E+003,5.37983631154184E+003,5.26669337103625E+003
8.99999999999992E-006,7.57200665602249E+021,7.44226859854847E+021,7.44226859854847E+021,2.24565438531194E+022,5.41575681387405E+003,4.86444484148663E+003,5.19102751040617E+003,5.15857086147411E+003,5.43855191953293E+003,4.52119666899157E+003,0.00000000000000E+000,1.35142312179578E+001,8.50242718657082E+000,0.00000000000000E+000,5.27979912751124E+003,5.06125378800665E+003,0.00000000000000E+000,5.41064184267884E+003,4.70391890165234E+003,5.19102751040617E+003,5.10364665918884E+003
9.99999999999991E-006,7.16325126951940E+021,7.85102398505155E+021,7.85102398505154E+021,2.28652992396225E+022,4.87398516542497E+003,4.98090423069651E+003,4.92631656750748E+003,4.92866536994470E+003,5.32174199930693E+003,4.53426196548598E+003,0.00000000000000E+000,1.34273987466798E+001,8.51095969509709E+000,0.00000000000000E+000,5.16366536348570E+003,5.08667053832214E+003,0.00000000000000E+000,5.22818853737368E+003,4.74080602439842E+003,4.92631656750748E+003,4.95719029632026E+003
