001-TIME,002-nPart-Spec-001     ,003-nPart-Spec-002     ,004-nPart-Spec-003     ,005-nPart-Spec-004     ,006-nPart-Spec-005     ,007-TempTra-001     ,008-TempTra-002     ,009-TempTra-003     ,010-TempTra-004     ,011-TempTra-005     ,012-TempVib001     ,013-TempVib002     ,014-TempVib003     ,015-TempVib004     ,016-XiVibMean001     ,017-XiVibMean002     ,018-XiVibMean003     ,019-XiVibMean004     ,020-TempRot001     ,021-TempRot002     ,022-TempRot003     ,023-TempRot004     ,024-TempTotal001     ,025-TempTotal002     ,026-TempTotal003     ,027-TempTotal004     ,028-TempTotal005     ,029-Pmean     ,030-Pmax     ,031-MeanFreePath      
    0.00000000000000E+000,    9.98970000000000E+004,    0.00000000000000E+000,    0.00000000000000E+000,    9.98970000000000E+004,    1.99794000000000E+005,    4.99992043447832E+003,    0.00000000000000E+000,    0.00000000000000E+000,    4.99996370901459E+003,    4.99994207174645E+003,    5.00144529468017E+003,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    8.79139661479810E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    4.99219255474725E+003,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    4.99925937530783E+003,    0.00000000000000E+000,    0.00000000000000E+000,    4.99996370901459E+003,    4.99961154216121E+003,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000 
    2.00000000000000E-006,    9.29710000000000E+004,    6.92600000000000E+003,    6.92600000000000E+003,    9.29710000000000E+004,    1.99794000000000E+005,    5.00997620140547E+003,    5.11646857771831E+003,    5.55451695089567E+003,    4.97041599037139E+003,    5.01413600124562E+003,    4.97716231937742E+003,    5.68538428181244E+003,    5.69420067844048E+003,    0.00000000000000E+000,    8.77791366132694E+000,    4.41291737712710E+000,    1.09029841878665E+000,    0.00000000000000E+000,    4.96365460399446E+003,    5.50928919845385E+003,    5.61145024645808E+003,    0.00000000000000E+000,    4.98108158032742E+003,    5.47074391913487E+003,    5.59821982390697E+003,    4.97041599037139E+003,    5.01448653878368E+003,    2.89730350770799E-001,    6.60260104415078E-001,    1.72540125850249E-003 
    4.00000000000000E-006,    8.72100000000000E+004,    1.26870000000000E+004,    1.26870000000000E+004,    8.72100000000000E+004,    1.99794000000000E+005,    5.03475363486504E+003,    5.07936808533836E+003,    5.27810693575701E+003,    4.97263543403806E+003,    5.02592513434676E+003,    4.95578274329565E+003,    5.65769686289220E+003,    5.65849354160980E+003,    0.00000000000000E+000,    8.76595048704316E+000,    4.40606792079871E+000,    1.08578793481536E+000,    0.00000000000000E+000,    4.97168260902038E+003,    5.42165858874299E+003,    5.42628568740921E+003,    0.00000000000000E+000,    4.97505764687413E+003,    5.42292027160875E+003,    5.39466977003629E+003,    4.97263543403806E+003,    5.02908535013415E+003,    2.90994612984987E-001,    6.60264916660410E-001,    1.70267906376080E-003 
    6.00000000000000E-006,    8.20470000000000E+004,    1.78500000000000E+004,    1.78500000000000E+004,    8.20470000000000E+004,    1.99794000000000E+005,    5.03943902038850E+003,    5.06492643372103E+003,    5.14558871268925E+003,    4.99809750686474E+003,    5.03422252327382E+003,    4.93968207488840E+003,    5.63569201466738E+003,    5.63213871459576E+003,    0.00000000000000E+000,    8.75688353305787E+000,    4.40058255007006E+000,    1.08243158183040E+000,    0.00000000000000E+000,    4.98900150229694E+003,    5.31901024469224E+003,    5.34396826036178E+003,    0.00000000000000E+000,    4.96998854967517E+003,    5.37971192509572E+003,    5.29740565812054E+003,    4.99809750686474E+003,    5.04738933872559E+003,    2.92424710087481E-001,    6.65910320394988E-001,    1.68349241501048E-003 
    8.00000000000000E-006,    7.76060000000000E+004,    2.22910000000000E+004,    2.22910000000000E+004,    7.76060000000000E+004,    1.99794000000000E+005,    5.04344620642956E+003,    5.05124604741014E+003,    5.20058419161731E+003,    5.02306984715700E+003,    5.05393351508453E+003,    4.92615487397246E+003,    5.60395425280466E+003,    5.56718511763703E+003,    0.00000000000000E+000,    8.74922719136647E+000,    4.39260510819390E+000,    1.07405927089563E+000,    0.00000000000000E+000,    4.97558476905092E+003,    5.26883884943110E+003,    5.35903456058286E+003,    0.00000000000000E+000,    4.96006605291881E+003,    5.34766905784384E+003,    5.31758203927524E+003,    5.02306984715700E+003,    5.06767148596637E+003,    2.94191441607623E-001,    6.60555306744750E-001,    1.66790021911504E-003 
    1.00000000000000E-005,    7.37730000000000E+004,    2.61240000000000E+004,    2.61240000000000E+004,    7.37730000000000E+004,    1.99794000000000E+005,    5.04251995800796E+003,    5.06374054416461E+003,    5.19056690838860E+003,    5.03700082716812E+003,    5.06261456688036E+003,    4.91137393248384E+003,    5.58612065328180E+003,    5.57212665421291E+003,    0.00000000000000E+000,    8.74082062450390E+000,    4.38808804366331E+000,    1.07470128740512E+000,    0.00000000000000E+000,    5.00068767878645E+003,    5.25685854031665E+003,    5.26403281718141E+003,    0.00000000000000E+000,    4.95624113033717E+003,    5.34017292396837E+003,    5.28225776548470E+003,    5.03700082716812E+003,    5.07889034837037E+003,    2.95184741834095E-001,    6.43803005940332E-001,    1.65434834512940E-003 
    1.20000000000000E-005,    7.04530000000000E+004,    2.94440000000000E+004,    2.94440000000000E+004,    7.04530000000000E+004,    1.99794000000000E+005,    5.05391573115218E+003,    5.14871122218157E+003,    5.09621295427278E+003,    5.03884290012390E+003,    5.06880422485568E+003,    4.90048618540516E+003,    5.56000500923476E+003,    5.55498924081402E+003,    0.00000000000000E+000,    8.73460098260889E+000,    4.38142790998745E+000,    1.07247114724108E+000,    0.00000000000000E+000,    5.01745613821653E+003,    5.22798750508062E+003,    5.28760682989201E+003,    0.00000000000000E+000,    4.95554017001137E+003,    5.34520470498406E+003,    5.24027491198003E+003,    5.03884290012390E+003,    5.08430249297842E+003,    2.95844872309779E-001,    6.66467859558195E-001,    1.64257812510782E-003 
    1.40000000000000E-005,    6.76730000000000E+004,    3.22240000000000E+004,    3.22240000000000E+004,    6.76730000000000E+004,    1.99794000000000E+005,    5.07293091843769E+003,    5.12285685345807E+003,    5.12177150800647E+003,    5.05370922268394E+003,    5.08234993338117E+003,    4.89184197408815E+003,    5.54477088354066E+003,    5.54746327334633E+003,    0.00000000000000E+000,    8.72964637335546E+000,    4.37751773660106E+000,    1.07148856206665E+000,    0.00000000000000E+000,    5.02118707245855E+003,    5.19780966346189E+003,    5.25101569938101E+003,    0.00000000000000E+000,    4.95506834792998E+003,    5.32249944936631E+003,    5.23947118461320E+003,    5.05370922268394E+003,    5.09361115071279E+003,    2.97107759371933E-001,    6.38333702737324E-001,    1.63330718531921E-003 
    1.60000000000000E-005,    6.52110000000000E+004,    3.46860000000000E+004,    3.46860000000000E+004,    6.52110000000000E+004,    1.99794000000000E+005,    5.08555037908423E+003,    5.09541215596000E+003,    5.13418282300838E+003,    5.06168574906641E+003,    5.08791628674199E+003,    4.88273585834961E+003,    5.54192959819295E+003,    5.55210952307912E+003,    0.00000000000000E+000,    8.72441105469437E+000,    4.37678639835113E+000,    1.07209540518926E+000,    0.00000000000000E+000,    5.04434961915976E+003,    5.17593530617463E+003,    5.19921113303012E+003,    0.00000000000000E+000,    4.95698567659859E+003,    5.30702689236669E+003,    5.22939112859613E+003,    5.06168574906641E+003,    5.09922108679018E+003,    2.97039319722894E-001,    6.57902552028935E-001,    1.62505449825465E-003 
    1.80000000000000E-005,    6.31450000000000E+004,    3.67520000000000E+004,    3.67520000000000E+004,    6.31450000000000E+004,    1.99794000000000E+005,    5.09212265168345E+003,    5.12311561639460E+003,    5.12667636510069E+003,    5.08218101668715E+003,    5.10103786922118E+003,    4.88412157161417E+003,    5.53425208246616E+003,    5.50289029311051E+003,    0.00000000000000E+000,    8.72520879282513E+000,    4.37480697711187E+000,    1.06562864905995E+000,    0.00000000000000E+000,    5.01749043091265E+003,    5.16841796685306E+003,    5.17006008476482E+003,    0.00000000000000E+000,    4.95366963931983E+003,    5.30958171026586E+003,    5.20707557965967E+003,    5.08218101668715E+003,    5.10636945250060E+003,    2.97722264080621E-001,    6.48446478064357E-001,    1.61843128087602E-003 
