001-TIME,002-nPart-Spec-001,003-nPart-Spec-002,004-nPart-Spec-003,005-nPart-Spec-004,006-Ekin-001,007-Ekin-002,008-Ekin-003,009-Ekin-004,010-E-kin+pot,011-Pmean,012-Pmax,013-MeanFreePath,014-CollRate001+001,015-CollRate001+002,016-CollRate001+003,017-CollRate002+002,018-CollRate002+003,019-CollRate003+003,020-TotalCollRate
0,49948,49948,49948,149844,1.03438052902619E-16,3.10318003822374E-15,1.03439513327792E-16,3.31005760445414E-15,3.31005760445414E-15,0,0,0,0,0,0,0,0,0,0
0.0002,47841,52055,52055,151951,3.75576171071022E-16,2.06834764519594E-15,4.07043212928597E-16,2.85096702919551E-15,2.85096702919551E-15,0.149443104413418,0.467207788995417,2.62E-01,89224500.0001041,2583960499.7574,193477999.998587,0,2802220499.70659,104939499.999875,5773822999.46256
0.0004,47837,52059,52059,151955,5.3541689465759E-16,1.72784832418965E-15,5.8661857321245E-16,2.84988379205964E-15,2.84988379205964E-15,0.14475291855362,0.484424079428058,2.62E-01,105243499.999871,2454600999.78752,227728499.998089,0,2674257999.73638,124082999.999597,5585913999.52146
0.0006,47837,52059,52059,151955,6.4579500166806E-16,1.50229479257861E-15,7.01994230874746E-16,2.85008402512143E-15,2.85008402512143E-15,0.140875513365371,0.470876392246102,2.62E-01,112056999.999772,2361235499.80926,244364499.997847,0,2569591499.76075,132584999.999473,5419833499.5671
0.0008,47838,52058,52058,151954,7.17380587053016E-16,1.3499520317481E-15,7.82773337039872E-16,2.85010595584096E-15,2.85010595584096E-15,0.137612409366529,0.472207560148792,2.62E-01,116001999.999714,2290508499.82573,253059999.99772,0,2490619499.77914,137765999.999398,5287955999.6017
0.001,47842,52054,52054,151950,7.69215382080704E-16,1.24739062769021E-15,8.34400517357867E-16,2.85100652712877E-15,2.85100652712877E-15,0.135521933396005,0.460675561474249,2.62E-01,118773499.999674,2234355999.8388,259234999.99763,0,2431937999.7928,140783999.999354,5185086499.62826
0.0012,47845,52051,52051,151947,8.04305348287102E-16,1.16964203147255E-15,8.77284297905665E-16,2.8512316776653E-15,2.8512316776653E-15,0.133352324728565,0.459250118903661,2.62E-01,121271999.999638,2192844499.84847,262757499.997579,0,2386210499.80345,142425999.99933,5105510499.64846
0.0014,47844,52052,52052,151948,8.29819712773863E-16,1.1179146130805E-15,9.03706735105675E-16,2.85144106096005E-15,2.85144106096005E-15,0.13199333360919,0.453731031171096,2.62E-01,121875999.999629,2157814999.85662,265262999.997542,0,2348139999.81231,144701999.999297,5037795999.6654
0.0016,47847,52049,52049,151945,8.48991797927101E-16,1.08033911097692E-15,9.22763495351452E-16,2.85209440425546E-15,2.85209440425546E-15,0.130858918950888,0.4719042396542,2.62E-01,122611499.999618,2135087499.86192,267527999.997509,0,2322010999.8184,145216499.999289,4992454499.67673
0.0018,47854,52042,52042,151938,8.61961644945353E-16,1.04899486149741E-15,9.42192780351723E-16,2.85314928679452E-15,2.85314928679452E-15,0.129824974984239,0.45750958818327,2.62E-01,123610499.999604,2114089499.86681,268306999.997498,0,2300533999.8234,145339499.999288,4951880499.68659
0.002,47853,52043,52043,151939,8.75299807662746E-16,1.03086347681736E-15,9.47238069980003E-16,2.85340135446014E-15,2.85340135446014E-15,0.129324326510397,0.455645355052123,2.62E-01,123988999.716151,2100104995.06909,269352499.381726,0,2284757994.60396,146673499.663963,4924877988.43489
