  TIME     ,002-nPart-Spec-001     ,003-nPart-Spec-002     ,004-nPart-Spec-003     ,005-nPart-Spec-004     ,006-nPart-Spec-005     ,007-TempTra-001     ,008-TempTra-002     ,009-TempTra-003     ,010-TempTra-004     ,011-TempTra-005     ,012-TempVib001     ,013-TempVib002     ,014-TempVib003     ,015-TempVib004     ,016-XiVibMean001     ,017-XiVibMean002     ,018-XiVibMean003     ,019-XiVibMean004     ,020-TempRot001     ,021-TempRot002     ,022-TempRot003     ,023-TempRot004     ,024-TempElec001     ,025-TempElec002     ,026-TempElec003     ,027-TempElec004     ,028-XiElecMean001     ,029-XiElecMean002     ,030-XiElecMean003     ,031-XiElecMean004     ,032-TempTotal001     ,033-TempTotal002     ,034-TempTotal003     ,035-TempTotal004     ,036-TempTotal005     ,037-Pmean     ,038-Pmax     ,039-MeanFreePath      
    0.00000000000000E+000,    0.25000000000000E+006,    0.00000000000000E+000,    0.00000000000000E+000,    0.25000000000000E+006,    0.50000000000000E+006,    0.49998765837194E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.49998641663068E+004,    0.49998703750131E+004,    0.50050171459411E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.87933705288073E+001,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.49975522893702E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.53415285087614E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.99542594123217E-004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.50024631299474E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.49998641663068E+004,    0.50011636481271E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000 
    0.10000000000000E-005,    0.21148300000000E+006,    0.38517000000000E+005,    0.38517000000000E+005,    0.21148300000000E+006,    0.50000000000000E+006,    0.50292645761551E+004,    0.50878165790542E+004,    0.52715843946440E+004,    0.49737065966088E+004,    0.50289427996671E+004,    0.49519195740385E+004,    0.56451246273045E+004,    0.56413028402748E+004,    0.00000000000000E+000,    0.87637795115707E+001,    0.44029384624456E+001,    0.10836012967232E+001,    0.00000000000000E+000,    0.49774550559523E+004,    0.53871416938649E+004,    0.54355194112530E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.49728248884161E+004,    0.54100109664961E+004,    0.53913321205048E+004,    0.49737065966088E+004,    0.50391152994591E+004,    0.14538705360789E+000,    0.33297654361760E+000,    0.33816725091151E-003 
    0.20000000000000E-005,    0.18477800000000E+006,    0.65222000000000E+005,    0.65222000000000E+005,    0.18477800000000E+006,    0.50000000000000E+006,    0.50747056660243E+004,    0.51058581592590E+004,    0.51911352816822E+004,    0.50385407956439E+004,    0.50805919217984E+004,    0.49080096660342E+004,    0.55843605787254E+004,    0.55916689247318E+004,    0.00000000000000E+000,    0.87389012626350E+001,    0.43876408786931E+001,    0.10772320495567E+001,    0.00000000000000E+000,    0.49899712020572E+004,    0.52821616337186E+004,    0.52210849583542E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.49586221638552E+004,    0.53588903183679E+004,    0.52719890365752E+004,    0.50385407956439E+004,    0.50812459812369E+004,    0.14744926430655E+000,    0.32970772629900E+000,    0.33061175259287E-003 
    0.30000000000000E-005,    0.16623600000000E+006,    0.83764000000000E+005,    0.83764000000000E+005,    0.16623600000000E+006,    0.50000000000000E+006,    0.50875369455751E+004,    0.51162427300089E+004,    0.51714562437606E+004,    0.50781797803540E+004,    0.51032938049808E+004,    0.48842557907680E+004,    0.55478448639828E+004,    0.55076824742899E+004,    0.00000000000000E+000,    0.87252860409222E+001,    0.43783082391909E+001,    0.10662620102375E+001,    0.00000000000000E+000,    0.50315897814274E+004,    0.51955548126907E+004,    0.51973693775014E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.49556870304381E+004,    0.53212494978019E+004,    0.52390978199484E+004,    0.50781797803540E+004,    0.51051336317657E+004,    0.14847481376234E+000,    0.33615138779110E+000,    0.32561897271236E-003 
    0.40000000000000E-005,    0.15371600000000E+006,    0.96284000000000E+005,    0.96284000000000E+005,    0.15371600000000E+006,    0.50000000000000E+006,    0.50977708297980E+004,    0.51194391766560E+004,    0.51534371995208E+004,    0.50788641737046E+004,    0.51068505104044E+004,    0.48710148964135E+004,    0.55115074748966E+004,    0.54811657466809E+004,    0.00000000000000E+000,    0.87176481775945E+001,    0.43689149446939E+001,    0.10627472277205E+001,    0.00000000000000E+000,    0.50544299966006E+004,    0.52020072588932E+004,    0.52262571054676E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.49546228945030E+004,    0.53085252386686E+004,    0.52349072655289E+004,    0.50788641737046E+004,    0.51149427068215E+004,    0.14873939638143E+000,    0.34188895967896E+000,    0.32230531362170E-003 
    0.50000000000000E-005,    0.14493400000000E+006,    0.10506600000000E+006,    0.10506600000000E+006,    0.14493400000000E+006,    0.50000000000000E+006,    0.51131096218577E+004,    0.51227056735827E+004,    0.51893776367587E+004,    0.50851485151574E+004,    0.51230473798289E+004,    0.48656679244401E+004,    0.54902770915537E+004,    0.54336928544907E+004,    0.00000000000000E+000,    0.87145539331459E+001,    0.43633770864664E+001,    0.10563920845306E+001,    0.00000000000000E+000,    0.50523501012972E+004,    0.51933435192149E+004,    0.51946054055054E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.49541770038686E+004,    0.52979155713372E+004,    0.52337189204616E+004,    0.50851485151574E+004,    0.51231126285797E+004,    0.14969845158947E+000,    0.33189495131126E+000,    0.32007406831301E-003 
    0.60000000000000E-005,    0.13880100000000E+006,    0.11119900000000E+006,    0.11119900000000E+006,    0.13880100000000E+006,    0.50000000000000E+006,    0.51110874030619E+004,    0.51510247281754E+004,    0.51599780789606E+004,    0.51146434940086E+004,    0.51318297507900E+004,    0.48677384070540E+004,    0.54585587465265E+004,    0.53952075284085E+004,    0.00000000000000E+000,    0.87157527805703E+001,    0.43550341645452E+001,    0.10511802979723E+001,    0.00000000000000E+000,    0.50511901694430E+004,    0.52155663177176E+004,    0.51694620766660E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.49547473623064E+004,    0.52990634406458E+004,    0.52039755381443E+004,    0.51146434940086E+004,    0.51311379032997E+004,    0.14961459265446E+000,    0.33397150462968E+000,    0.31858584737722E-003 
    0.69999999999999E-005,    0.13477800000000E+006,    0.11522200000000E+006,    0.11522200000000E+006,    0.13477800000000E+006,    0.50000000000000E+006,    0.51344030847208E+004,    0.51352886972510E+004,    0.51561496422217E+004,    0.51208792242715E+004,    0.51359730947842E+004,    0.48717740051731E+004,    0.54338370840776E+004,    0.53809002238218E+004,    0.00000000000000E+000,    0.87180870041782E+001,    0.43484732998808E+001,    0.10492289429920E+001,    0.00000000000000E+000,    0.50771258367496E+004,    0.51919415782580E+004,    0.51648651489962E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.49671629462070E+004,    0.52771635699316E+004,    0.51980137923646E+004,    0.51208792242715E+004,    0.51332340673825E+004,    0.15009002278410E+000,    0.33982971569446E+000,    0.31757806991301E-003 
    0.79999999999999E-005,    0.13157200000000E+006,    0.11842800000000E+006,    0.11842800000000E+006,    0.13157200000000E+006,    0.50000000000000E+006,    0.51283183880240E+004,    0.51503311271188E+004,    0.51642895322061E+004,    0.51252576895954E+004,    0.51412468142542E+004,    0.48796871064462E+004,    0.54074642138679E+004,    0.53677223187725E+004,    0.00000000000000E+000,    0.87226545843469E+001,    0.43414171989145E+001,    0.10474249441349E+001,    0.00000000000000E+000,    0.50935259722602E+004,    0.51593427651103E+004,    0.51760985457225E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.49739235387571E+004,    0.52608920780218E+004,    0.52034299273865E+004,    0.51252576895954E+004,    0.51360763980666E+004,    0.14977421775113E+000,    0.36032271323700E+000,    0.31680128117925E-003 
    0.89999999999999E-005,    0.12962700000000E+006,    0.12037300000000E+006,    0.12037300000000E+006,    0.12962700000000E+006,    0.50000000000000E+006,    0.51163962111956E+004,    0.51319887271875E+004,    0.51494285708605E+004,    0.51323127923648E+004,    0.51322288928449E+004,    0.48891359125860E+004,    0.54032239448671E+004,    0.53589412253473E+004,    0.00000000000000E+000,    0.87280923086381E+001,    0.43402771678484E+001,    0.10462192772907E+001,    0.00000000000000E+000,    0.50849247949479E+004,    0.51712365873898E+004,    0.51843096461759E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.49753078020825E+004,    0.52572251770425E+004,    0.51972201436333E+004,    0.51323127923648E+004,    0.51373069627643E+004,    0.14988856933072E+000,    0.33317132610064E+000,    0.31632654201029E-003 
