  TIME     ,002-nPart-Spec-001,003-nPart-Spec-002,004 TempTra001     ,005 TempTra002     ,006 TempVib001     ,007 XiVibMean001     ,008 TempRot001     ,009 TempTotal001     ,010 TempTotal002     ,011 Pmean     ,012 Pmax                   
     0.00000000000000E+00,                   200000,                   200000,     0.99999926709108E+04,     0.99999926709108E+04,     0.50029944029469E+04,     0.13172678415971E+02,     0.74821129809349E+04,     0.61728022957854E+04,     0.61728022957854E+04,     0.00000000000000E+00,     0.00000000000000E+00 
     0.20000000000000E-08,                   200000,                   200000,     0.99999658730242E+04,     0.99999658730242E+04,     0.50076806185674E+04,     0.13176625442435E+02,     0.74821129809349E+04,     0.61757773161702E+04,     0.61757773161702E+04,     0.44443468096133E-01,     0.90082715590117E-01 
     0.40000000000000E-08,                   200000,                   200000,     0.99998526388147E+04,     0.99998526388147E+04,     0.50117415178982E+04,     0.13180040654567E+02,     0.74821129809349E+04,     0.61783421604538E+04,     0.61783421604538E+04,     0.44455028142945E-01,     0.97387251912215E-01 
     0.60000000000000E-08,                   200000,                   200000,     0.99999496545063E+04,     0.99999496545063E+04,     0.50161010840902E+04,     0.13183701751668E+02,     0.74821129809349E+04,     0.61811307374437E+04,     0.61811307374437E+04,     0.44467475781273E-01,     0.94970736067761E-01 
     0.80000000000000E-08,                   200000,                   200000,     0.99999542268356E+04,     0.99999542268356E+04,     0.50203780259764E+04,     0.13187288147040E+02,     0.74821129809349E+04,     0.61838532026859E+04,     0.61838532026859E+04,     0.44398029564686E-01,     0.93975917408916E-01 
     0.10000000000000E-07,                   200000,                   200000,     0.99999843363677E+04,     0.99999843363677E+04,     0.50253409385473E+04,     0.13191443174265E+02,     0.74821129809349E+04,     0.61870173230789E+04,     0.61870173230789E+04,     0.44423992761796E-01,     0.95870698788370E-01 
     0.12000000000000E-07,                   200000,                   200000,     0.99999161675627E+04,     0.99999161675627E+04,     0.50297648768837E+04,     0.13195141015818E+02,     0.74821129809349E+04,     0.61898239858968E+04,     0.61898239858968E+04,     0.44399658649428E-01,     0.93264893071832E-01 
     0.14000000000000E-07,                   200000,                   200000,     0.99999541651344E+04,     0.99999541651344E+04,     0.50342094311357E+04,     0.13198850456892E+02,     0.74821129809349E+04,     0.61926613343542E+04,     0.61926613343542E+04,     0.44488492198110E-01,     0.93298455104207E-01 
     0.16000000000000E-07,                   200000,                   200000,     0.99999198834779E+04,     0.99999198834779E+04,     0.50390437677108E+04,     0.13202878816200E+02,     0.74821129809349E+04,     0.61957367927293E+04,     0.61957367927293E+04,     0.44480380155569E-01,     0.91585769369626E-01 
     0.18000000000000E-07,                   200000,                   200000,     0.99999884416154E+04,     0.99999884416154E+04,     0.50437026127392E+04,     0.13206754650836E+02,     0.74821129809349E+04,     0.61987175538110E+04,     0.61987175538110E+04,     0.44462718688857E-01,     0.95177096671842E-01 
     0.20000000000000E-07,                   200000,                   200000,     0.99999421222349E+04,     0.99999421222349E+04,     0.50477958549609E+04,     0.13210154859192E+02,     0.74821129809349E+04,     0.62013206621355E+04,     0.62013206621355E+04,     0.44473979564394E-01,     0.89762294809886E-01 
     0.22000000000000E-07,                   200000,                   200000,     0.99998683530632E+04,     0.99998683530632E+04,     0.50520314885191E+04,     0.13213668354645E+02,     0.74821129809349E+04,     0.62040111449978E+04,     0.62040111449978E+04,     0.44427123336390E-01,     0.97353677069173E-01 
     0.24000000000000E-07,                   200000,                   200000,     0.99999370016318E+04,     0.99999370016318E+04,     0.50564419098527E+04,     0.13217321449637E+02,     0.74821129809349E+04,     0.62068362843508E+04,     0.62068362843508E+04,     0.44464441691256E-01,     0.95767151666953E-01 
     0.26000000000000E-07,                   200000,                   200000,     0.99999263373550E+04,     0.99999263373550E+04,     0.50610881864397E+04,     0.13221163967458E+02,     0.74821129809349E+04,     0.62098005575330E+04,     0.62098005575330E+04,     0.44495201210278E-01,     0.93427580582432E-01 
     0.28000000000000E-07,                   200000,                   200000,     0.99999047096783E+04,     0.99999047096783E+04,     0.50655468543704E+04,     0.13224845620140E+02,     0.74821129809349E+04,     0.62126443334011E+04,     0.62126443334011E+04,     0.44429589645682E-01,     0.90961432337742E-01 
     0.30000000000000E-07,                   200000,                   200000,     0.99999072094891E+04,     0.99999072094891E+04,     0.50705132246013E+04,     0.13228939928136E+02,     0.74821129809349E+04,     0.62158171938253E+04,     0.62158171938253E+04,     0.44483649390847E-01,     0.88453760157297E-01 
