  TIME     ,002-nPart-Spec-001,003-nPart-Spec-002,004 TempTra001     ,005 TempTra002     ,006 TempVib001     ,007 XiVibMean001     ,008 TempRot001     ,009 TempTotal001     ,010 TempTotal002     ,011 Pmean     ,012 Pmax                   
     0.00000000000000E+00,                   200000,                   200000,     0.99999926709108E+04,     0.99999926709108E+04,     0.50029944029469E+04,     0.13172678415971E+02,     0.74821129809349E+04,     0.61728022957854E+04,     0.61728022957854E+04,     0.00000000000000E+00,     0.00000000000000E+00 
     0.20000000000000E-08,                   200000,                   200000,     0.99999940619151E+04,     0.99999940619151E+04,     0.50077590431931E+04,     0.13176691442564E+02,     0.74821129809349E+04,     0.61758315929591E+04,     0.61758315929591E+04,     0.44443468096133E-01,     0.90082715590117E-01 
     0.40000000000000E-08,                   200000,                   200000,     0.99999051357233E+04,     0.99999051357233E+04,     0.50121809314125E+04,     0.13180409915533E+02,     0.74821129809349E+04,     0.61786298686368E+04,     0.61786298686368E+04,     0.44449419034329E-01,     0.93750362824220E-01 
     0.60000000000000E-08,                   200000,                   200000,     0.99999144271247E+04,     0.99999144271247E+04,     0.50169967863357E+04,     0.13184453271021E+02,     0.74821129809349E+04,     0.61816951590496E+04,     0.61816951590496E+04,     0.44485299502407E-01,     0.92218719700443E-01 
     0.80000000000000E-08,                   200000,                   200000,     0.99999141456733E+04,     0.99999141456733E+04,     0.50219148640713E+04,     0.13188575566855E+02,     0.74821129809349E+04,     0.61848251654457E+04,     0.61848251654457E+04,     0.44448135849980E-01,     0.90665628514754E-01 
     0.10000000000000E-07,                   200000,                   200000,     0.99999977716924E+04,     0.99999977716924E+04,     0.50262689224862E+04,     0.13192219313306E+02,     0.74821129809349E+04,     0.61876103160535E+04,     0.61876103160535E+04,     0.44429875946216E-01,     0.90642526267155E-01 
     0.12000000000000E-07,                   200000,                   200000,     0.99999474422943E+04,     0.99999474422943E+04,     0.50301282754248E+04,     0.13195444521323E+02,     0.74821129809349E+04,     0.61900603412025E+04,     0.61900603412025E+04,     0.44410179290757E-01,     0.89989233250326E-01 
     0.14000000000000E-07,                   200000,                   200000,     0.99999531355191E+04,     0.99999531355191E+04,     0.50346807591582E+04,     0.13199243498380E+02,     0.74821129809349E+04,     0.61929614901823E+04,     0.61929614901823E+04,     0.44409451402412E-01,     0.91630122701534E-01 
     0.16000000000000E-07,                   200000,                   200000,     0.99999798706626E+04,     0.99999798706626E+04,     0.50396209980468E+04,     0.13203359366465E+02,     0.74821129809349E+04,     0.61961140960875E+04,     0.61961140960875E+04,     0.44472387674472E-01,     0.92146825646039E-01 
     0.18000000000000E-07,                   200000,                   200000,     0.99999196010251E+04,     0.99999196010251E+04,     0.50442779536016E+04,     0.13207232866739E+02,     0.74821129809349E+04,     0.61990736588529E+04,     0.61990736588529E+04,     0.44445091124246E-01,     0.89431409994105E-01 
     0.20000000000000E-07,                   200000,                   200000,     0.99999778927843E+04,     0.99999778927843E+04,     0.50487025421617E+04,     0.13210907391299E+02,     0.74821129809349E+04,     0.62019045704127E+04,     0.62019045704127E+04,     0.44481907873534E-01,     0.93098449875814E-01 
     0.22000000000000E-07,                   200000,                   200000,     0.99999591954798E+04,     0.99999591954798E+04,     0.50529345115183E+04,     0.13214416764100E+02,     0.74821129809349E+04,     0.62046014984382E+04,     0.62046014984382E+04,     0.44500805421555E-01,     0.92286128027884E-01 
     0.24000000000000E-07,                   200000,                   200000,     0.99999962890321E+04,     0.99999962890321E+04,     0.50576199315710E+04,     0.13218296261055E+02,     0.74821129809349E+04,     0.62075974280289E+04,     0.62075974280289E+04,     0.44501802302444E-01,     0.91242532688575E-01 
     0.26000000000000E-07,                   200000,                   200000,     0.99999842701533E+04,     0.99999842701533E+04,     0.50625697478720E+04,     0.13222387955974E+02,     0.74821129809349E+04,     0.62107555672708E+04,     0.62107555672708E+04,     0.44496641640923E-01,     0.90523023994461E-01 
     0.28000000000000E-07,                   200000,                   200000,     0.99999326662961E+04,     0.99999326662961E+04,     0.50668649036710E+04,     0.13225932902802E+02,     0.74821129809349E+04,     0.62134905384902E+04,     0.62134905384902E+04,     0.44462858663352E-01,     0.90631495983265E-01 
     0.30000000000000E-07,                   200000,                   200000,     0.99999762349586E+04,     0.99999762349586E+04,     0.50711081257221E+04,     0.13229429904953E+02,     0.74821129809349E+04,     0.62162080585951E+04,     0.62162080585951E+04,     0.44451936200666E-01,     0.91947463151224E-01 
     0.32000000000000E-07,                   200000,                   200000,     0.99999261722418E+04,     0.99999261722418E+04,     0.50761218169377E+04,     0.13233555385074E+02,     0.74821129809349E+04,     0.62194042791583E+04,     0.62194042791583E+04,     0.44431804474064E-01,     0.91545746272442E-01 
     0.34000000000000E-07,                   200000,                   200000,     0.99999008431697E+04,     0.99999008431697E+04,     0.50806695884618E+04,     0.13237291415012E+02,     0.74821129809349E+04,     0.62223076427881E+04,     0.62223076427881E+04,     0.44453962755650E-01,     0.97638087790336E-01 
     0.36000000000000E-07,                   200000,                   200000,     0.99999848148276E+04,     0.99999848148276E+04,     0.50853913445437E+04,     0.13241164277870E+02,     0.74821129809349E+04,     0.62253403103791E+04,     0.62253403103791E+04,     0.44517061898429E-01,     0.94103191727737E-01 
     0.38000000000000E-07,                   200000,                   200000,     0.99999799943291E+04,     0.99999799943291E+04,     0.50900153146337E+04,     0.13244950929365E+02,     0.74821129809349E+04,     0.62282976162302E+04,     0.62282976162302E+04,     0.44425249201205E-01,     0.95062131203804E-01 
     0.40000000000000E-07,                   200000,                   200000,     0.99999954364960E+04,     0.99999954364960E+04,     0.50952171652833E+04,     0.13249203731427E+02,     0.74821129809349E+04,     0.62316289652622E+04,     0.62316289652622E+04,     0.44501806991365E-01,     0.90147607216642E-01 
     0.42000000000000E-07,                   200000,                   200000,     0.99999432135674E+04,     0.99999432135674E+04,     0.51000184475463E+04,     0.13253122404264E+02,     0.74821129809349E+04,     0.62346945504412E+04,     0.62346945504412E+04,     0.44467620686453E-01,     0.95592148937463E-01 
     0.44000000000000E-07,                   200000,                   200000,     0.99999119237050E+04,     0.99999119237050E+04,     0.51044028522829E+04,     0.13256695276674E+02,     0.74821129809349E+04,     0.62374974610268E+04,     0.62374974610268E+04,     0.44457842402824E-01,     0.92837844772981E-01 
     0.46000000000000E-07,                   200000,                   200000,     0.99999535302387E+04,     0.99999535302387E+04,     0.51087610721293E+04,     0.13260241565700E+02,     0.74821129809349E+04,     0.62402958468311E+04,     0.62402958468311E+04,     0.44493667022097E-01,     0.91525806553956E-01 
     0.48000000000000E-07,                   200000,                   200000,     0.99999923171670E+04,     0.99999923171670E+04,     0.51130573065347E+04,     0.13263732309712E+02,     0.74821129809349E+04,     0.62430549469257E+04,     0.62430549469257E+04,     0.44480041214412E-01,     0.92880851899718E-01 
     0.50000000000000E-07,                   200000,                   200000,     0.99999877065583E+04,     0.99999877065583E+04,     0.51173545506992E+04,     0.13267218812459E+02,     0.74821129809349E+04,     0.62458087905102E+04,     0.62458087905102E+04,     0.44509587437836E-01,     0.89834520462319E-01 
