  TIME     ,002-nPart-Spec-001,003-nPart-Spec-002,004 TempTra001     ,005 TempTra002     ,006 TempVib001     ,007 XiVibMean001     ,008 TempRot001     ,009 TempTotal001     ,010 TempTotal002     ,011 Pmean     ,012 Pmax                   
     0.00000000000000E+00,                   200000,                   200000,     0.99999926709109E+04,     0.99999926709109E+04,     0.50072588067735E+04,     0.66702149532667E+01,     0.75106038211532E+04,     0.67197286885367E+04,     0.67197286885367E+04,     0.00000000000000E+00,     0.00000000000000E+00 
     0.20000000000000E-08,                   200000,                   200000,     0.99999731002955E+04,     0.99999731002955E+04,     0.50193224146532E+04,     0.66731452354105E+01,     0.75106038211532E+04,     0.67261901412266E+04,     0.67261901412266E+04,     0.44555380335741E-01,     0.76479613133995E-01 
     0.40000000000000E-08,                   200000,                   200000,     0.99999827215851E+04,     0.99999827215851E+04,     0.50303721620628E+04,     0.66758180131032E+01,     0.75106038211532E+04,     0.67321197376459E+04,     0.67321197376459E+04,     0.44551804784818E-01,     0.73829201108746E-01 
     0.60000000000000E-08,                   200000,                   200000,     0.99999558549499E+04,     0.99999558549499E+04,     0.50416890805683E+04,     0.66785443495119E+01,     0.75106038211532E+04,     0.67381873094030E+04,     0.67381873094030E+04,     0.44571834586155E-01,     0.72026613088694E-01 
     0.80000000000000E-08,                   200000,                   200000,     0.99999766323619E+04,     0.99999766323619E+04,     0.50532164319747E+04,     0.66813099381156E+01,     0.75106038211532E+04,     0.67443842448463E+04,     0.67443842448463E+04,     0.44597924773740E-01,     0.71737769846403E-01 
     0.10000000000000E-07,                   200000,                   200000,     0.99999162273225E+04,     0.99999162273225E+04,     0.50641373703364E+04,     0.66839194503143E+01,     0.75106038211532E+04,     0.67502384733410E+04,     0.67502384733410E+04,     0.44589825045869E-01,     0.72556930906294E-01 
     0.12000000000000E-07,                   200000,                   200000,     0.99998961059099E+04,     0.99998961059099E+04,     0.50740703462462E+04,     0.66862839980536E+01,     0.75106038211532E+04,     0.67555752824670E+04,     0.67555752824670E+04,     0.44588367920367E-01,     0.74154254930440E-01 
     0.14000000000000E-07,                   200000,                   200000,     0.99999561041215E+04,     0.99999561041215E+04,     0.50853758710963E+04,     0.66889650296906E+01,     0.75106038211532E+04,     0.67616745467634E+04,     0.67616745467634E+04,     0.44586641150688E-01,     0.73083940890817E-01 
     0.16000000000000E-07,                   200000,                   200000,     0.99999840411597E+04,     0.99999840411597E+04,     0.50967736495829E+04,     0.66916569545193E+01,     0.75106038211532E+04,     0.67678192159959E+04,     0.67678192159959E+04,     0.44565795552748E-01,     0.72060588596955E-01 
     0.18000000000000E-07,                   200000,                   200000,     0.99999840307278E+04,     0.99999840307278E+04,     0.51088677111022E+04,     0.66945013417759E+01,     0.75106038211532E+04,     0.67743360034014E+04,     0.67743360034014E+04,     0.44571850051265E-01,     0.72080017718932E-01 
     0.20000000000000E-07,                   200000,                   200000,     0.99999934441436E+04,     0.99999934441436E+04,     0.51195136095671E+04,     0.66969949863942E+01,     0.75106038211532E+04,     0.67800785623174E+04,     0.67800785623174E+04,     0.44593847503710E-01,     0.71444814835641E-01 
     0.22000000000000E-07,                   200000,                   200000,     0.99999271681061E+04,     0.99999271681061E+04,     0.51304314832380E+04,     0.66995425240604E+01,     0.75106038211532E+04,     0.67859519183834E+04,     0.67859519183834E+04,     0.44573247407961E-01,     0.71165484029870E-01 
     0.24000000000000E-07,                   200000,                   200000,     0.99999500987664E+04,     0.99999500987664E+04,     0.51430670563010E+04,     0.67024785334544E+01,     0.75106038211532E+04,     0.67927793460446E+04,     0.67927793460446E+04,     0.44601232863199E-01,     0.72911456739813E-01 
     0.26000000000000E-07,                   200000,                   200000,     0.99999270990936E+04,     0.99999270990936E+04,     0.51536350950529E+04,     0.67049240309519E+01,     0.75106038211532E+04,     0.67984824612905E+04,     0.67984824612905E+04,     0.44594663992057E-01,     0.75953467318186E-01 
     0.28000000000000E-07,                   200000,                   200000,     0.99999509393817E+04,     0.99999509393817E+04,     0.51639809759306E+04,     0.67073092619768E+01,     0.75106038211532E+04,     0.68040807760752E+04,     0.68040807760752E+04,     0.44593101748622E-01,     0.73238314740622E-01 
     0.30000000000000E-07,                   200000,                   200000,     0.99999870980557E+04,     0.99999870980557E+04,     0.51753270780237E+04,     0.67099150740623E+01,     0.75106038211532E+04,     0.68102265136960E+04,     0.68102265136960E+04,     0.44577184278844E-01,     0.72841516553002E-01 
     0.32000000000000E-07,                   200000,                   200000,     0.99999461063760E+04,     0.99999461063760E+04,     0.51865657226688E+04,     0.67124859340546E+01,     0.75106038211532E+04,     0.68162980831227E+04,     0.68162980831227E+04,     0.44610591708943E-01,     0.72328992915911E-01 
     0.34000000000000E-07,                   200000,                   200000,     0.99999492489053E+04,     0.99999492489053E+04,     0.51974402397075E+04,     0.67149638237013E+01,     0.75106038211532E+04,     0.68221873987193E+04,     0.68221873987193E+04,     0.44600581400349E-01,     0.73554529235721E-01 
     0.36000000000000E-07,                   200000,                   200000,     0.99998639768635E+04,     0.99998639768635E+04,     0.52086271067230E+04,     0.67175030136037E+01,     0.75106038211532E+04,     0.68282267788758E+04,     0.68282267788758E+04,     0.44568282153504E-01,     0.75539598723304E-01 
     0.38000000000000E-07,                   200000,                   200000,     0.99999079360323E+04,     0.99999079360323E+04,     0.52203640719385E+04,     0.67201563650159E+01,     0.75106038211532E+04,     0.68346011607186E+04,     0.68346011607186E+04,     0.44631516186857E-01,     0.72371597401968E-01 
     0.40000000000000E-07,                   200000,                   200000,     0.99999646349240E+04,     0.99999646349240E+04,     0.52312247012341E+04,     0.67226019025128E+01,     0.75106038211532E+04,     0.68405071965190E+04,     0.68405071965190E+04,     0.44591370353385E-01,     0.74654301356250E-01 
     0.42000000000000E-07,                   200000,                   200000,     0.99999047854887E+04,     0.99999047854887E+04,     0.52421354239597E+04,     0.67250493835096E+01,     0.75106038211532E+04,     0.68464139445627E+04,     0.68464139445627E+04,     0.44572302175912E-01,     0.74480177131777E-01 
     0.44000000000000E-07,                   200000,                   200000,     0.99999804561559E+04,     0.99999804561559E+04,     0.52525594958685E+04,     0.67273790072765E+01,     0.75106038211532E+04,     0.68520943552597E+04,     0.68520943552597E+04,     0.44561515494677E-01,     0.76577285090055E-01 
