  TIME     ,002-nPart-Spec-001     ,003-nPart-Spec-002     ,004-nPart-Spec-003     ,005-nPart-Spec-004     ,006-nPart-Spec-005     ,007-TempTra-001     ,008-TempTra-002     ,009-TempTra-003     ,010-TempTra-004     ,011-TempTra-005     ,012-TempVib001     ,013-TempVib002     ,014-TempVib003     ,015-TempVib004     ,016-XiVibMean001     ,017-XiVibMean002     ,018-XiVibMean003     ,019-XiVibMean004     ,020-TempRot001     ,021-TempRot002     ,022-TempRot003     ,023-TempRot004     ,024-TempElec001     ,025-TempElec002     ,026-TempElec003     ,027-TempElec004     ,028-XiElecMean001     ,029-XiElecMean002     ,030-XiElecMean003     ,031-XiElecMean004     ,032-TempTotal001     ,033-TempTotal002     ,034-TempTotal003     ,035-TempTotal004     ,036-TempTotal005     ,037-Pmean     ,038-Pmax     ,039-MeanFreePath      
    0.00000000000000E+000,    0.50000000000000E+006,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.50000000000000E+006,    0.29999872785421E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.29999872785421E+004,    0.29998507968987E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.10612469426795E+002,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.29949970594259E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.29989989206891E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.29989989206891E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000 
    0.10000000000000E-005,    0.49976800000000E+006,    0.23200000000000E+003,    0.00000000000000E+000,    0.23200000000000E+003,    0.50023200000000E+006,    0.29950338823853E+004,    0.29439222803538E+004,    0.00000000000000E+000,    0.28913567045881E+004,    0.29949620937014E+004,    0.29984698059458E+004,    0.24670864640362E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.10609808876951E+002,    0.63759024533815E+001,    0.00000000000000E+000,    0.00000000000000E+000,    0.29939356616048E+004,    0.25050231123026E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.29970302828374E+004,    0.25918706888287E+004,    0.00000000000000E+000,    0.28913567045881E+004,    0.29967933661748E+004,    0.10700940936289E+000,    0.24914706878689E+000,    0.18628088131021E-003 
    0.20000000000000E-005,    0.49953700000000E+006,    0.46300000000000E+003,    0.00000000000000E+000,    0.46300000000000E+003,    0.50046300000000E+006,    0.29908713952462E+004,    0.30867263724571E+004,    0.00000000000000E+000,    0.30433510571614E+004,    0.29910086260463E+004,    0.29961196374713E+004,    0.24747807841735E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.10605276965611E+002,    0.63883029239192E+001,    0.00000000000000E+000,    0.00000000000000E+000,    0.29967427414466E+004,    0.29564615646639E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.29952840347422E+004,    0.27396176328097E+004,    0.00000000000000E+000,    0.30433510571614E+004,    0.29950919755636E+004,    0.10684927716432E+000,    0.24309690027300E+000,    0.18613748480651E-003 
    0.30000000000000E-005,    0.49929500000000E+006,    0.70500000000000E+003,    0.00000000000000E+000,    0.70500000000000E+003,    0.50070500000000E+006,    0.29915343654456E+004,    0.30905183669750E+004,    0.00000000000000E+000,    0.30394000976797E+004,    0.29917411320293E+004,    0.29940264144467E+004,    0.24820426972221E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.10601236079416E+002,    0.63999610293237E+001,    0.00000000000000E+000,    0.00000000000000E+000,    0.29930676175829E+004,    0.28756504964797E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.29934028140386E+004,    0.27244830081168E+004,    0.00000000000000E+000,    0.30394000976797E+004,    0.29930889358504E+004,    0.10717129824108E+000,    0.26057697968852E+000,    0.18598450900876E-003 
    0.40000000000000E-005,    0.49902300000000E+006,    0.97700000000000E+003,    0.00000000000000E+000,    0.97700000000000E+003,    0.50097700000000E+006,    0.29884950637745E+004,    0.29903784895026E+004,    0.00000000000000E+000,    0.28679147446100E+004,    0.29882635823594E+004,    0.29920027730057E+004,    0.24895462433664E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.10597325524389E+002,    0.64119608818200E+001,    0.00000000000000E+000,    0.00000000000000E+000,    0.29914030155677E+004,    0.28466007721967E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.29912603401367E+004,    0.26968994850826E+004,    0.00000000000000E+000,    0.28679147446100E+004,    0.29904457334737E+004,    0.10714854587265E+000,    0.28657597143730E+000,    0.18580738289578E-003 
    0.50000000000000E-005,    0.49879200000000E+006,    0.12080000000000E+004,    0.00000000000000E+000,    0.12080000000000E+004,    0.50120800000000E+006,    0.29909195755981E+004,    0.29419817670849E+004,    0.00000000000000E+000,    0.30068120557037E+004,    0.29908399305072E+004,    0.29898918332983E+004,    0.25168834299886E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.10593242081545E+002,    0.64552859821723E+001,    0.00000000000000E+000,    0.00000000000000E+000,    0.29862435022434E+004,    0.28850084449314E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.29894180400379E+004,    0.27079404687048E+004,    0.00000000000000E+000,    0.30068120557037E+004,    0.29887815519227E+004,    0.10722172035531E+000,    0.25994850499195E+000,    0.18566615666336E-003 
    0.60000000000000E-005,    0.49856700000000E+006,    0.14330000000000E+004,    0.00000000000000E+000,    0.14330000000000E+004,    0.50143300000000E+006,    0.29826375914383E+004,    0.30312700215526E+004,    0.00000000000000E+000,    0.29451996898320E+004,    0.29826695832684E+004,    0.29885893281685E+004,    0.25332214697171E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.10590720353377E+002,    0.64808879218417E+001,    0.00000000000000E+000,    0.00000000000000E+000,    0.29877309256524E+004,    0.29414440587269E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.29873578917207E+004,    0.27510596106861E+004,    0.00000000000000E+000,    0.29451996898320E+004,    0.29865621161335E+004,    0.10699333961845E+000,    0.26022560129958E+000,    0.18552015263820E-003 
    0.69999999999999E-005,    0.49833100000000E+006,    0.16690000000000E+004,    0.00000000000000E+000,    0.16690000000000E+004,    0.50166900000000E+006,    0.29831141918751E+004,    0.30298539128124E+004,    0.00000000000000E+000,    0.29323766832443E+004,    0.29831008916559E+004,    0.29869697127742E+004,    0.25783454313856E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.10587582403352E+002,    0.65504878116071E+001,    0.00000000000000E+000,    0.00000000000000E+000,    0.29818840188177E+004,    0.27942447526850E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.29853526209090E+004,    0.27378789442047E+004,    0.00000000000000E+000,    0.29323766832443E+004,    0.29843530566418E+004,    0.10729378617064E+000,    0.28354124553600E+000,    0.18536928709938E-003 
    0.79999999999999E-005,    0.49810000000000E+006,    0.19000000000000E+004,    0.00000000000000E+000,    0.19000000000000E+004,    0.50190000000000E+006,    0.29815446763415E+004,    0.29254348020475E+004,    0.00000000000000E+000,    0.29509931014704E+004,    0.29812166094888E+004,    0.29852160977536E+004,    0.25790426457287E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.10584181984096E+002,    0.65515505947227E+001,    0.00000000000000E+000,    0.00000000000000E+000,    0.29787211984572E+004,    0.29714147694312E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.29833770584718E+004,    0.27556178683148E+004,    0.00000000000000E+000,    0.29509931014704E+004,    0.29823922567591E+004,    0.10687479000660E+000,    0.27746402197276E+000,    0.18522511806383E-003 
    0.89999999999999E-005,    0.49787700000000E+006,    0.21230000000000E+004,    0.00000000000000E+000,    0.21230000000000E+004,    0.50212300000000E+006,    0.29776569566012E+004,    0.29424171617668E+004,    0.00000000000000E+000,    0.29397236954577E+004,    0.29773475774295E+004,    0.29830364561769E+004,    0.25987694208728E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.10579951325482E+002,    0.65814639216009E+001,    0.00000000000000E+000,    0.00000000000000E+000,    0.29807064606703E+004,    0.29689014284245E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.29816414891596E+004,    0.27689673611666E+004,    0.00000000000000E+000,    0.29397236954577E+004,    0.29805650623683E+004,    0.10756004344386E+000,    0.27470902586683E+000,    0.18508738494537E-003 
