  TIME     ,002-nPart-Spec-001     ,003-nPart-Spec-002     ,004-nPart-Spec-003     ,005-nPart-Spec-004     ,006-nPart-Spec-005     ,007-TempTra-001     ,008-TempTra-002     ,009-TempTra-003     ,010-TempTra-004     ,011-TempTra-005     ,012-TempVib001     ,013-TempVib002     ,014-TempVib003     ,015-TempVib004     ,016-XiVibMean001     ,017-XiVibMean002     ,018-XiVibMean003     ,019-XiVibMean004     ,020-TempRot001     ,021-TempRot002     ,022-TempRot003     ,023-TempRot004     ,024-TempElec001     ,025-TempElec002     ,026-TempElec003     ,027-TempElec004     ,028-XiElecMean001     ,029-XiElecMean002     ,030-XiElecMean003     ,031-XiElecMean004     ,032-TempTotal001     ,033-TempTotal002     ,034-TempTotal003     ,035-TempTotal004     ,036-TempTotal005     ,037-Pmean     ,038-Pmax     ,039-MeanFreePath      
    0.00000000000000E+000,    0.10000000000000E+006,    0.00000000000000E+000,    0.00000000000000E+000,    0.10000000000000E+006,    0.20000000000000E+006,    0.49999462780065E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.49999655726551E+004,    0.49999559253308E+004,    0.49897141622550E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.87848968304299E+001,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.50107383227434E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.49960563660455E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.49999655726551E+004,    0.49980109693503E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000 
    0.10000000000000E-005,    0.73909000000000E+005,    0.26091000000000E+005,    0.26091000000000E+005,    0.73909000000000E+005,    0.20000000000000E+006,    0.50331334615692E+004,    0.50592966722595E+004,    0.51365395929710E+004,    0.50228755668495E+004,    0.50462456763877E+004,    0.49070572298551E+004,    0.56170777392946E+004,    0.55668952296365E+004,    0.00000000000000E+000,    0.87383574817856E+001,    0.43959132498549E+001,    0.10740215818144E+001,    0.00000000000000E+000,    0.50114071559379E+004,    0.52310682994353E+004,    0.52807187774396E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.49539605889468E+004,    0.53447234542372E+004,    0.52601100479754E+004,    0.50228755668495E+004,    0.50703434717249E+004,    0.29254583256869E+000,    0.64270792583480E+000,    0.16521986630995E-003 
    0.20000000000000E-005,    0.61524000000000E+005,    0.38476000000000E+005,    0.38476000000000E+005,    0.61524000000000E+005,    0.20000000000000E+006,    0.50815193734795E+004,    0.51358193545629E+004,    0.51494155433210E+004,    0.50764814693860E+004,    0.51034777089372E+004,    0.48660535079676E+004,    0.55341524422813E+004,    0.54689906806696E+004,    0.00000000000000E+000,    0.87147772580490E+001,    0.43747812565710E+001,    0.10611250639122E+001,    0.00000000000000E+000,    0.50365896691408E+004,    0.51872935686871E+004,    0.51304335921600E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.49447503213646E+004,    0.53186707054956E+004,    0.51991002606872E+004,    0.50764814693860E+004,    0.51061401019449E+004,    0.29794102445711E+000,    0.65454370060405E+000,    0.16109881228799E-003 
    0.30000000000000E-005,    0.55424000000000E+005,    0.44576000000000E+005,    0.44576000000000E+005,    0.55424000000000E+005,    0.20000000000000E+006,    0.51193562328970E+004,    0.51134585275745E+004,    0.51512308012384E+004,    0.50862369827124E+004,    0.51159679495155E+004,    0.48651455513522E+004,    0.54592019069888E+004,    0.53707057951199E+004,    0.00000000000000E+000,    0.87142513340811E+001,    0.43552041676364E+001,    0.10478339320154E+001,    0.00000000000000E+000,    0.50615245737490E+004,    0.51947002868220E+004,    0.51710279332535E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.49570135697198E+004,    0.52824081934988E+004,    0.51958033891894E+004,    0.50862369827124E+004,    0.51185693906396E+004,    0.29778207864005E+000,    0.63436456162367E+000,    0.15916791304189E-003 
    0.40000000000000E-005,    0.52692000000000E+005,    0.47308000000000E+005,    0.47308000000000E+005,    0.52692000000000E+005,    0.20000000000000E+006,    0.51173497934360E+004,    0.51466090298537E+004,    0.51315519148363E+004,    0.51317891938602E+004,    0.51314343474500E+004,    0.48800048832066E+004,    0.54047440336433E+004,    0.53348861277326E+004,    0.00000000000000E+000,    0.87228377504907E+001,    0.43406860334702E+001,    0.10429017324973E+001,    0.00000000000000E+000,    0.50451212477147E+004,    0.51943412107877E+004,    0.51568529519038E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.49620124312536E+004,    0.52688136441715E+004,    0.51750177345150E+004,    0.51317891938602E+004,    0.51296968504670E+004,    0.29981058167382E+000,    0.64129796305363E+000,    0.15837347847490E-003 
    0.50000000000000E-005,    0.51356000000000E+005,    0.48644000000000E+005,    0.48644000000000E+005,    0.51356000000000E+005,    0.20000000000000E+006,    0.51246193610905E+004,    0.51281488152458E+004,    0.51663475802565E+004,    0.51077845279857E+004,    0.51313040839511E+004,    0.48906583831314E+004,    0.53957294411107E+004,    0.53001999328931E+004,    0.00000000000000E+000,    0.87289668266394E+001,    0.43382584327838E+001,    0.10380797264011E+001,    0.00000000000000E+000,    0.50910765965377E+004,    0.51849797714603E+004,    0.50802226213499E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.49791328558785E+004,    0.52569255123953E+004,    0.51608324983564E+004,    0.51077845279857E+004,    0.51239257492037E+004,    0.29966610579452E+000,    0.65231503593010E+000,    0.15790841079555E-003 
    0.60000000000000E-005,    0.50782000000000E+005,    0.49218000000000E+005,    0.49218000000000E+005,    0.50782000000000E+005,    0.20000000000000E+006,    0.51236726401366E+004,    0.51453097312950E+004,    0.51351451954141E+004,    0.51280384089802E+004,    0.51329291053951E+004,    0.48992674421717E+004,    0.53718479865758E+004,    0.52763982199405E+004,    0.00000000000000E+000,    0.87339033256689E+001,    0.43317933202733E+001,    0.10347444395555E+001,    0.00000000000000E+000,    0.50535429912125E+004,    0.51784494366229E+004,    0.51759662188376E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.49763713986662E+004,    0.52499126771239E+004,    0.51728937414922E+004,    0.51280384089802E+004,    0.51305591258167E+004,    0.30026361185295E+000,    0.68477067166822E+000,    0.15777729930184E-003 
    0.69999999999999E-005,    0.50444000000000E+005,    0.49556000000000E+005,    0.49556000000000E+005,    0.50444000000000E+005,    0.20000000000000E+006,    0.51316743554199E+004,    0.51469931516938E+004,    0.51230135135043E+004,    0.51117428082736E+004,    0.51282969285295E+004,    0.48995210369030E+004,    0.53728097939173E+004,    0.52554269423698E+004,    0.00000000000000E+000,    0.87340485174144E+001,    0.43320546541488E+001,    0.10317877822317E+001,    0.00000000000000E+000,    0.50752177810914E+004,    0.51707961960049E+004,    0.51958746581073E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.49825633987271E+004,    0.52485856426356E+004,    0.51698229931323E+004,    0.51117428082736E+004,    0.51274592033003E+004,    0.30044805660464E+000,    0.65408500299904E+000,    0.15764872427692E-003 
    0.79999999999999E-005,    0.50356000000000E+005,    0.49644000000000E+005,    0.49644000000000E+005,    0.50356000000000E+005,    0.20000000000000E+006,    0.51265172654469E+004,    0.51439337644969E+004,    0.51703285167514E+004,    0.50929009231815E+004,    0.51332512949843E+004,    0.49103411297902E+004,    0.53515008041233E+004,    0.52913565415988E+004,    0.00000000000000E+000,    0.87402316314567E+001,    0.43262458196354E+001,    0.10368430433966E+001,    0.00000000000000E+000,    0.50510299398985E+004,    0.51545148239362E+004,    0.51933813371337E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.49829719312635E+004,    0.52339693139149E+004,    0.51987527618660E+004,    0.50929009231815E+004,    0.51265135409425E+004,    0.30105799203035E+000,    0.65730228196876E+000,    0.15761427546245E-003 
    0.89999999999999E-005,    0.50119000000000E+005,    0.49881000000000E+005,    0.49881000000000E+005,    0.50119000000000E+005,    0.20000000000000E+006,    0.50973050794598E+004,    0.51354949917199E+004,    0.51303592617114E+004,    0.51186685742113E+004,    0.51204272978188E+004,    0.49108854204610E+004,    0.53295760613361E+004,    0.53224943210412E+004,    0.00000000000000E+000,    0.87405420588760E+001,    0.43202274423151E+001,    0.10411842616182E+001,    0.00000000000000E+000,    0.50859576054781E+004,    0.51929206220843E+004,    0.51927006374754E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.49844563602349E+004,    0.52334338462396E+004,    0.51841120918428E+004,    0.51186685742113E+004,    0.51299806376350E+004,    0.29981731522285E+000,    0.64541980933483E+000,    0.15756595106809E-003 
