  TIME     ,002-nPart-Spec-001     ,003-Charge     ,004-Charge-absError,005-Charge-relError,006-nPartIn-Spec-001     ,007-nPartOut-Spec-001     ,008-W-El      ,009 -W-Mag    ,010-Ekin-001     ,011-EkinIn-001     ,012-EkinOut-001      
    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000 
    0.96096489636523E-012,    0.26200000000000E+003,   -0.41977025086000E-010,    0.32311742677853E-025,   -0.76974827567352E-015,    0.26200000000000E+003,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.34106332882379E-005,    0.34106332882379E-005,    0.00000000000000E+000 
    0.19219297927305E-011,    0.52300000000000E+003,   -0.83793832519000E-010,    0.18094575899597E-024,   -0.21594161951591E-014,    0.26100000000000E+003,    0.00000000000000E+000,    0.31804720352890E-011,    0.61752490319927E-013,    0.68061268613248E-005,    0.33976156039316E-005,    0.00000000000000E+000 
    0.28828946890957E-011,    0.78600000000000E+003,   -0.12593107525800E-009,    0.25849394142282E-025,   -0.20526620684627E-015,    0.26300000000000E+003,    0.00000000000000E+000,    0.34291150749883E-010,    0.10958176736728E-011,    0.10225516212798E-004,    0.34236509725441E-005,    0.00000000000000E+000 
    0.38438595854609E-011,    0.10480000000000E+004,   -0.16790810034400E-009,    0.16285118309638E-023,   -0.96988282734865E-014,    0.26200000000000E+003,    0.00000000000000E+000,    0.15938080684434E-009,    0.64997300723323E-011,    0.13629674115448E-004,    0.34106332882379E-005,    0.00000000000000E+000 
    0.48048244818262E-011,    0.13090000000000E+004,   -0.20972490777700E-009,    0.34379694209235E-023,   -0.16392756861189E-013,    0.26100000000000E+003,    0.00000000000000E+000,    0.48688439480529E-009,    0.22979502804631E-010,    0.17018523689140E-004,    0.33976156039316E-005,    0.00000000000000E+000 
    0.57657893781914E-011,    0.15710000000000E+004,   -0.25170193286300E-009,    0.49630836753182E-023,   -0.19718099177330E-013,    0.26200000000000E+003,    0.00000000000000E+000,    0.11453627378214E-008,    0.60007874768127E-010,    0.20418003123780E-004,    0.34106332882379E-005,    0.00000000000000E+000 
    0.67267542745566E-011,    0.18330000000000E+004,   -0.29367895794900E-009,    0.67208424769933E-023,   -0.22884998380308E-013,    0.26200000000000E+003,    0.00000000000000E+000,    0.22518038514808E-008,    0.12829482194404E-009,    0.23814971225151E-004,    0.34106332882379E-005,    0.00000000000000E+000 
    0.76877191709219E-011,    0.20950000000000E+004,   -0.33565598303500E-009,    0.83752037020994E-023,   -0.24951748592029E-013,    0.26200000000000E+003,    0.00000000000000E+000,    0.38853824580939E-008,    0.23805492980096E-009,    0.27209320344354E-004,    0.34106332882379E-005,    0.00000000000000E+000 
    0.86486840672871E-011,    0.23570000000000E+004,   -0.37763300812100E-009,    0.10132962503775E-022,   -0.26832830514985E-013,    0.26200000000000E+003,    0.00000000000000E+000,    0.60752144792155E-008,    0.39764427724449E-009,    0.30601050911831E-004,    0.34106332882379E-005,    0.00000000000000E+000 
