 Energy (eV)	Cross section (m2)
 0.000000e+0	7.500000e-20
 1.000000e-3	7.500000e-20
 2.000000e-3	7.100000e-20
 3.000000e-3	6.700000e-20
 5.000000e-3	6.100000e-20
 7.000000e-3	5.400000e-20
 8.500000e-3	5.050000e-20
 1.000000e-2	4.600000e-20
 1.500000e-2	3.750000e-20
 2.000000e-2	3.250000e-20
 3.000000e-2	2.500000e-20
 4.000000e-2	2.050000e-20
 5.000000e-2	1.730000e-20
 7.000000e-2	1.130000e-20
 1.000000e-1	5.900000e-21
 1.200000e-1	4.000000e-21
 1.500000e-1	2.300000e-21
 1.700000e-1	1.600000e-21
 2.000000e-1	1.030000e-21
 2.500000e-1	9.100000e-22
 3.000000e-1	1.530000e-21
 3.500000e-1	2.350000e-21
 4.000000e-1	3.300000e-21
 5.000000e-1	5.100000e-21
 7.000000e-1	8.600000e-21
 1.000000e+0	1.380000e-20
 1.200000e+0	1.660000e-20
 1.300000e+0	1.820000e-20
 1.500000e+0	2.100000e-20
 1.700000e+0	2.300000e-20
 1.900000e+0	2.500000e-20
 2.100000e+0	2.800000e-20
 2.200000e+0	2.900000e-20
 2.500000e+0	3.300000e-20
 2.800000e+0	3.800000e-20
 3.000000e+0	4.100000e-20
 3.300000e+0	4.500000e-20
 3.600000e+0	4.900000e-20
 4.000000e+0	5.400000e-20
 4.500000e+0	6.100000e-20
 5.000000e+0	6.700000e-20
 6.000000e+0	8.100000e-20
 7.000000e+0	9.600000e-20
 8.000000e+0	1.170000e-19
 1.000000e+1	1.500000e-19
 1.200000e+1	1.520000e-19
 1.500000e+1	1.410000e-19
 1.700000e+1	1.310000e-19
 2.000000e+1	1.100000e-19
 2.500000e+1	9.450000e-20
 3.000000e+1	8.740000e-20
 5.000000e+1	6.900000e-20
 7.500000e+1	5.850000e-20
 1.000000e+2	5.250000e-20
 1.500000e+2	4.240000e-20
 2.000000e+2	3.760000e-20
 3.000000e+2	3.020000e-20
 5.000000e+2	2.100000e-20
 7.000000e+2	1.640000e-20
 1.000000e+3	1.210000e-20
 1.500000e+3	8.800000e-21
 2.000000e+3	6.600000e-21
 3.000000e+3	4.500000e-21
 5.000000e+3	3.100000e-21
 7.000000e+3	2.300000e-21
 1.000000e+4	1.750000e-21
