LXCat, www.lxcat.net
Generated on XX Month XXXX. All rights reserved.

RECOMMENDED REFERENCE FORMAT
- BOLSIG+ solver ver. 03/2016, www.lxcat.net
- Phelps database, www.lxcat.net, retrieved on Month X, XXXX

DESCRIPTION
Swarm parameters were calculated here using BOLSIG+ solver for the numerical solution of
the Boltzmann equation for electrons in weakly ionized gases in uniform electric fields.

CONFIG
Tgas = 300 K
EEDF = non-Maxwellian

****************************************************************************************
*                                    BOLSIG+ OUTPUT                                    *
****************************************************************************************

BOLSIG+ version: 03/2016

 Transport coefficients
A1     Mean energy (eV)
A2     Mobility *N (1/m/V/s)
A6     Diffusion coefficient *N (1/m/s)
A11    Energy mobility *N (1/m/V/s)
A12    Energy diffusion coef. D*N (1/m/s)
A13    Total collision freq. /N (m3/s)
A14    Momentum frequency /N (m3/s)
A16    Total ionization freq. /N (m3/s)
A18    Townsend ioniz. coef. alpha/N (m2)
A20    Power /N (eV m3/s)
A21    Elastic power loss /N (eV m3/s)
A22    Inelastic power loss /N (eV m3/s)
A23    Growth power /N (eV m3/s)
A27    Maximum energy
A28    # of iterations
A29    # of grid trials
          R#    E/N (Td)      A1          A2          A6         A11         A12         A13         A14         A16         A18         A20         A21         A22         A23         A27         A28         A29
           1  0.1000      0.7515E-01  0.1771E+26  0.1022E+25  0.2136E+26  0.1061E+25  0.8317E-14  0.9933E-14   0.000       0.000      0.1771E-18  0.1591E-19  0.1612E-18   0.000      0.8811       12.00       3.000
           2  0.1097      0.8045E-01  0.1651E+26  0.1027E+25  0.2007E+26  0.1066E+25  0.8863E-14  0.1065E-13   0.000       0.000      0.1989E-18  0.1937E-19  0.1795E-18   0.000      0.8811       4.000       1.000
           3  0.1205      0.8629E-01  0.1536E+26  0.1033E+25  0.1883E+26  0.1072E+25  0.9457E-14  0.1145E-13   0.000       0.000      0.2229E-18  0.2347E-19  0.1994E-18   0.000      0.8811       4.000       1.000
           4  0.1322      0.9264E-01  0.1427E+26  0.1038E+25  0.1767E+26  0.1078E+25  0.1010E-13  0.1232E-13   0.000       0.000      0.2495E-18  0.2828E-19  0.2211E-18   0.000       1.049       8.000       2.000
           5  0.1451      0.9947E-01  0.1326E+26  0.1044E+25  0.1659E+26  0.1085E+25  0.1078E-13  0.1326E-13   0.000       0.000      0.2791E-18  0.3385E-19  0.2453E-18   0.000       1.049       4.000       1.000
           6  0.1592      0.1067      0.1233E+26  0.1050E+25  0.1559E+26  0.1092E+25  0.1149E-13  0.1427E-13   0.000       0.000      0.3126E-18  0.4020E-19  0.2724E-18   0.000       1.049       4.000       1.000
           7  0.1748      0.1144      0.1148E+26  0.1056E+25  0.1468E+26  0.1100E+25  0.1223E-13  0.1532E-13   0.000       0.000      0.3506E-18  0.4739E-19  0.3032E-18   0.000       1.049       4.000       1.000
           8  0.1918      0.1223      0.1072E+26  0.1062E+25  0.1385E+26  0.1108E+25  0.1300E-13  0.1641E-13   0.000       0.000      0.3941E-18  0.5542E-19  0.3387E-18   0.000       1.250       8.000       2.000
           9  0.2105      0.1306      0.1003E+26  0.1069E+25  0.1310E+26  0.1116E+25  0.1378E-13  0.1754E-13   0.000       0.000      0.4443E-18  0.6439E-19  0.3799E-18   0.000       1.250       4.000       1.000
          10  0.2310      0.1393      0.9412E+25  0.1076E+25  0.1242E+26  0.1126E+25  0.1458E-13  0.1869E-13   0.000       0.000      0.5023E-18  0.7437E-19  0.4279E-18   0.000       1.250       4.000       1.000
          11  0.2535      0.1483      0.8858E+25  0.1083E+25  0.1179E+26  0.1136E+25  0.1539E-13  0.1986E-13   0.000       0.000      0.5694E-18  0.8549E-19  0.4839E-18   0.000       1.488       8.000       2.000
          12  0.2783      0.1578      0.8358E+25  0.1091E+25  0.1121E+26  0.1147E+25  0.1623E-13  0.2104E-13   0.000       0.000      0.6471E-18  0.9796E-19  0.5491E-18   0.000       1.488       4.000       1.000
          13  0.3054      0.1679      0.7902E+25  0.1100E+25  0.1068E+26  0.1160E+25  0.1710E-13  0.2226E-13   0.000       0.000      0.7369E-18  0.1120E-18  0.6249E-18   0.000       1.488       4.000       1.000
